Date,Open,High,Low,Close,Adj Close,Volume
2006-05-01,23.510000,23.730000,23.260000,23.600000,23.600000,25700
2006-05-08,23.420000,23.500000,22.799999,23.000000,23.000000,14900
2006-05-15,23.000000,23.000000,22.350000,22.410000,22.410000,25100
2006-05-22,22.510000,23.250000,22.350000,22.700001,22.700001,31000
2006-05-29,22.600000,22.799999,22.000000,22.200001,22.200001,46200
2006-06-05,22.400000,22.700001,22.100000,22.549999,22.549999,28700
2006-06-12,22.600000,23.000000,22.000000,22.860001,22.860001,1017800
2006-06-19,22.719999,22.719999,22.150000,22.250000,22.250000,60200
2006-06-26,22.250000,22.650000,22.209999,22.650000,22.650000,475400
2006-07-03,22.549999,22.799999,22.250000,22.799999,22.799999,27000
2006-07-10,23.150000,24.200001,23.150000,23.950001,23.950001,27500
2006-07-17,23.600000,24.000000,22.750000,23.290001,23.290001,39400
2006-07-24,23.010000,23.799999,22.590000,23.500000,23.500000,47400
2006-07-31,23.600000,23.790001,23.350000,23.750000,23.750000,13200
2006-08-07,23.500000,23.500000,22.799999,23.000000,23.000000,20300
2006-08-14,23.000000,23.490000,22.900000,23.059999,23.059999,24000
2006-08-21,23.299999,23.740000,23.160000,23.490000,23.490000,107300
2006-08-28,23.700001,23.889999,23.450001,23.750000,23.750000,27600
2006-09-04,23.650000,23.900000,22.920000,23.559999,23.559999,26500
2006-09-11,23.549999,23.799999,22.910000,23.400000,23.400000,37400
2006-09-18,23.389999,23.980000,22.910000,23.850000,23.850000,48800
2006-09-25,23.900000,24.000000,23.350000,23.360001,23.360001,20000
2006-10-02,24.100000,24.100000,23.250000,23.650000,23.650000,28400
2006-10-09,23.650000,23.950001,23.650000,23.950001,23.950001,15200
2006-10-16,23.950001,24.100000,23.709999,24.000000,24.000000,15700
2006-10-23,24.000000,24.100000,23.750000,24.070000,24.070000,25900
2006-10-30,23.600000,24.000000,23.400000,23.850000,23.850000,27400
2006-11-06,23.850000,23.850000,23.250000,23.700001,23.700001,18500
2006-11-13,23.200001,23.840000,23.129999,23.240000,23.240000,22400
2006-11-20,23.120001,23.840000,23.110001,23.700001,23.700001,18400
2006-11-27,23.420000,23.750000,22.969999,23.200001,23.200001,26000
2006-12-04,23.750000,23.750000,22.690001,23.129999,23.129999,65000
2006-12-11,23.299999,23.690001,22.799999,23.549999,23.549999,36000
2006-12-18,23.580000,23.590000,22.900000,23.500000,23.500000,46200
2006-12-25,23.330000,23.540001,23.010000,23.020000,23.020000,37900
2007-01-01,23.090000,23.580000,23.000000,23.580000,23.580000,10300
2007-01-08,23.500000,23.590000,23.120001,23.430000,23.430000,25300
2007-01-15,23.400000,23.820000,22.910000,23.000000,23.000000,43200
2007-01-22,23.100000,23.580000,23.000000,23.450001,23.450001,14000
2007-01-29,23.389999,23.389999,22.900000,23.090000,23.090000,9900
2007-02-05,22.990000,23.100000,22.420000,22.790001,22.790001,21900
2007-02-12,22.790001,23.299999,22.639999,23.270000,23.270000,17400
2007-02-19,23.299999,23.299999,22.400000,22.590000,22.590000,19900
2007-02-26,22.590000,22.690001,22.400000,22.510000,22.510000,11100
2007-03-05,22.420000,22.879999,22.400000,22.549999,22.549999,21100
2007-03-12,22.610001,23.170000,22.469999,23.090000,23.090000,3400
