Date,Open,High,Low,Close,Adj Close,Volume
2013-09-02,20.000000,20.000000,20.000000,20.000000,16.870365,0
2013-09-09,20.000000,20.000000,20.000000,20.000000,16.870365,18
2013-09-16,null,null,null,null,null,null
2013-09-23,null,null,null,null,null,null
2013-09-30,null,null,null,null,null,null
2013-10-07,19.980000,19.990000,19.980000,19.990000,16.861929,454
2013-10-14,20.110001,20.340000,20.110001,20.340000,17.157160,3240
2013-10-21,null,null,null,null,null,null
2013-10-28,20.450001,20.450001,20.400000,20.400000,17.207767,1195
2013-11-04,20.299999,20.299999,20.299999,20.299999,17.123421,3130
2013-11-11,20.299999,20.299999,20.299999,20.299999,17.123421,275
2013-11-18,20.309999,20.309999,20.309999,20.309999,17.131853,245
2013-11-25,20.400000,20.400000,20.350000,20.350000,17.165598,3910
2013-12-02,20.290001,20.290001,20.290001,20.290001,17.185076,21654
2013-12-09,null,null,null,null,null,null
2013-12-16,null,null,null,null,null,null
2013-12-23,null,null,null,null,null,null
2013-12-30,null,null,null,null,null,null
2014-01-06,20.469999,20.469999,20.450001,20.450001,17.320593,4628
2014-01-13,null,null,null,null,null,null
2014-01-20,20.690001,20.690001,20.690001,20.690001,17.523861,2025
2014-01-27,null,null,null,null,null,null
2014-02-03,20.480000,20.480000,20.469999,20.469999,17.337526,550
2014-02-10,20.670000,20.670000,20.670000,20.670000,17.506924,7325
2014-02-17,null,null,null,null,null,null
2014-02-24,20.990000,20.990000,20.959999,20.959999,17.752550,5523
2014-03-03,21.000000,21.000000,21.000000,21.000000,17.857134,500
2014-03-10,20.980000,20.980000,20.910000,20.910000,17.780609,1800
2014-03-17,21.059999,21.059999,21.059999,21.059999,17.908159,950
2014-03-24,21.020000,21.020000,20.940001,20.940001,17.806118,4455
2014-03-31,null,null,null,null,null,null
2014-04-07,21.150000,21.150000,21.110001,21.110001,18.021872,2367
2014-04-14,21.250000,21.250000,21.250000,21.250000,18.141392,3950
2014-04-21,21.250000,21.260000,21.240000,21.260000,18.149929,1529
2014-04-28,21.190001,21.190001,21.190001,21.190001,18.090170,1000
2014-05-05,21.250000,21.250000,21.250000,21.250000,18.141392,150
2014-05-12,21.350000,21.400000,21.350000,21.400000,18.269449,2079
2014-05-19,21.350000,21.389999,21.320000,21.389999,18.260908,25266
2014-05-26,21.280001,21.360001,21.280001,21.280001,18.167006,2397
2014-06-02,21.309999,21.360001,21.299999,21.360001,18.235296,1952
2014-06-09,21.400000,21.400000,21.330000,21.389999,18.260908,9366
2014-06-16,21.469999,21.469999,21.469999,21.469999,18.329205,1000
2014-06-23,21.620001,21.629999,21.480000,21.480000,18.337740,14377
2014-06-30,21.480000,21.540001,21.480000,21.510000,18.434288,6110
2014-07-07,21.490000,21.500000,21.469999,21.469999,18.400011,6123
2014-07-14,21.400000,21.450001,21.400000,21.430000,18.365726,3968
2014-07-21,21.510000,21.530001,21.510000,21.520000,18.442860,11220
2014-07-28,21.450001,21.450001,21.170000,21.170000,18.142902,2957
2014-08-04,21.219999,21.219999,21.219999,21.219999,18.185749,121
2014-08-11,21.320000,21.320000,21.320000,21.320000,18.271450,8035
2014-08-18,21.440001,21.510000,21.440001,21.510000,18.434288,912
2014-08-25,21.500000,21.500000,21.500000,21.500000,18.425724,247
2014-09-01,21.530001,21.530001,21.500000,21.530001,18.451429,5230
2014-09-08,21.240000,21.240000,21.240000,21.240000,18.202892,2412
2014-09-15,21.240000,21.240000,21.240000,21.240000,18.202892,4104
2014-09-22,21.170000,21.170000,21.059999,21.059999,18.048630,7315
2014-09-29,20.860001,20.860001,20.809999,20.809999,17.834385,2061
2014-10-06,20.860001,20.860001,20.750000,20.820000,17.842957,2638
2014-10-13,20.610001,20.610001,20.590000,20.590000,17.645845,3400
2014-10-20,null,null,null,null,null,null
2014-10-27,20.870001,20.870001,20.780001,20.809999,17.834385,7179
2014-11-03,20.799999,20.799999,20.790001,20.790001,17.817244,4700
2014-11-10,20.840000,20.915001,20.840000,20.840000,17.860094,5324
2014-11-17,20.900000,20.900000,20.900000,20.900000,17.911512,973
2014-11-24,20.760000,20.760000,20.760000,20.760000,17.791533,478
2014-12-01,null,null,null,null,null,null
2014-12-08,null,null,null,null,null,null
2014-12-15,null,null,null,null,null,null
2014-12-22,null,null,null,null,null,null
2014-12-29,null,null,null,null,null,null
2015-01-05,null,null,null,null,null,null
2015-01-12,null,null,null,null,null,null
2015-01-19,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-02-02,null,null,null,null,null,null
2015-02-09,null,null,null,null,null,null
2015-02-16,null,null,null,null,null,null
2015-02-23,null,null,null,null,null,null
2015-03-02,21.049999,21.049999,20.650000,20.650000,17.697264,2769
2015-03-09,20.680000,20.680000,20.520000,20.610001,17.662977,4894
2015-03-16,20.590000,20.730000,20.590000,20.690001,17.731543,1792
2015-03-23,20.910000,20.910000,20.799999,20.799999,17.825813,1766
2015-03-30,20.770000,20.770000,20.770000,20.770000,17.871418,125
2015-04-06,20.980000,20.980000,20.980000,20.980000,18.052107,500
2015-04-13,20.969999,21.000000,20.860001,20.879999,17.966066,17980
