Date,Open,High,Low,Close,Adj Close,Volume
1983-03-31,3.843750,3.859375,3.812500,3.843750,3.843750,960000
1983-04-07,3.859375,3.906250,3.750000,3.906250,3.906250,1785600
1983-04-14,3.937500,3.992190,3.888670,3.984375,3.984375,1633600
1983-04-21,3.984375,4.093750,3.906250,4.023440,4.023440,1776000
1983-04-28,4.031250,4.117190,3.976560,3.992190,3.992190,2740800
1983-05-05,3.968750,4.078125,3.921875,4.023440,4.023440,2843200
1983-05-12,4.023440,4.140625,3.937500,4.031250,4.031250,2092800
1983-05-19,3.984375,4.117190,3.921875,4.109375,4.109375,3163200
1983-05-26,4.093750,4.250000,4.062500,4.101560,4.101560,2688000
1983-06-02,4.109375,4.117190,3.968750,4.007810,4.007810,7779200
1983-06-09,4.015625,4.125000,3.984375,4.117190,4.117190,4232000
1983-06-16,4.125000,4.164060,4.046875,4.093750,4.093750,2708800
1983-06-23,4.093750,4.109375,3.937500,3.937500,3.937500,2948800
1983-06-30,3.937500,4.023440,3.921875,3.984375,3.984375,1854400
1983-07-07,3.984375,3.992190,3.859375,3.867190,3.867190,1860800
1983-07-14,3.906250,3.937500,3.781250,3.875000,3.875000,2707200
1983-07-21,4.031250,4.312500,4.000000,4.195310,4.195310,3216000
1983-07-28,4.203125,4.210940,3.843750,3.875000,3.875000,3065600
1983-08-04,3.796875,3.843750,3.500000,3.531250,3.531250,5990400
1983-08-11,3.531250,3.765625,3.500000,3.734375,3.734375,3316800
1983-08-18,3.765625,3.812500,3.703125,3.734375,3.734375,2067200
1983-08-25,3.718750,4.070310,3.710940,3.984375,3.984375,3897600
1983-09-01,3.968750,4.335940,3.968750,4.335940,4.335940,2499200
1983-09-08,4.343750,4.375000,4.125000,4.203125,4.203125,4095200
1983-09-15,4.203125,4.468750,4.062500,4.468750,4.468750,2505600
1983-09-22,4.468750,4.578125,4.375000,4.453125,4.453125,2648000
1983-09-29,4.437500,4.500000,4.015625,4.250000,4.250000,2344000
1983-10-06,4.250000,4.625000,4.218750,4.562500,4.562500,3064800
1983-10-13,4.625000,4.656250,4.375000,4.406250,4.406250,3570400
1983-10-20,4.437500,4.593750,4.406250,4.515625,4.515625,3274400
1983-10-27,4.500000,4.593750,4.437500,4.546875,4.546875,2798400
1983-11-03,4.531250,4.531250,4.203125,4.250000,4.250000,1592800
1983-11-10,4.250000,4.437500,4.187500,4.406250,4.406250,4092800
1983-11-17,4.359375,4.656250,4.328125,4.578125,4.578125,2860800
1983-11-24,4.625000,4.625000,4.437500,4.515625,4.515625,2907200
1983-12-01,4.484375,4.562500,4.437500,4.437500,4.437500,2108000
1983-12-08,4.468750,4.468750,4.343750,4.343750,4.343750,2543200
1983-12-15,4.250000,4.375000,4.187500,4.312500,4.312500,3296000
1983-12-22,4.312500,4.343750,4.203125,4.296875,4.296875,2314400
1983-12-29,4.312500,4.468750,4.296875,4.343750,4.343750,2532800
