Date,Open,High,Low,Close,Adj Close,Volume
2016-09-19,1.150000,1.250000,0.880000,0.950000,0.950000,272600
2016-09-26,0.920000,0.950000,0.820000,0.880000,0.880000,337100
2016-10-03,0.900000,0.980000,0.860000,0.940000,0.940000,189500
2016-10-10,0.920000,0.920000,0.840000,0.890000,0.890000,128200
2016-10-17,0.870000,0.980000,0.840000,0.890000,0.890000,337000
2016-10-24,0.850000,0.940000,0.840000,0.840000,0.840000,343900
2016-10-31,0.850000,0.850000,0.670000,0.740000,0.740000,235200
2016-11-07,0.730000,0.940000,0.690000,0.860000,0.860000,349200
2016-11-14,0.870000,0.890000,0.760000,0.780000,0.780000,175600
2016-11-21,0.800000,0.800000,0.640000,0.700000,0.700000,125100
2016-11-28,0.670000,0.800000,0.670000,0.770000,0.770000,278900
2016-12-05,0.830000,0.830000,0.680000,0.750000,0.750000,215100
2016-12-12,0.800000,0.850000,0.740000,0.780000,0.780000,986300
2016-12-19,0.780000,0.790000,0.730000,0.750000,0.750000,353200
2016-12-26,0.750000,0.760000,0.730000,0.730000,0.730000,137000
2017-01-02,0.750000,0.780000,0.730000,0.760000,0.760000,440400
2017-01-09,0.760000,0.760000,0.700000,0.700000,0.700000,435600
2017-01-16,0.710000,0.740000,0.700000,0.730000,0.730000,189100
2017-01-23,0.720000,0.800000,0.700000,0.800000,0.800000,867900
2017-01-30,0.790000,0.800000,0.720000,0.740000,0.740000,245200
2017-02-06,0.740000,0.760000,0.700000,0.720000,0.720000,312100
2017-02-13,0.730000,0.740000,0.670000,0.700000,0.700000,674400
2017-02-20,0.700000,0.720000,0.680000,0.690000,0.690000,469900
2017-02-27,0.700000,0.710000,0.660000,0.660000,0.660000,503000
2017-03-06,0.680000,0.700000,0.600000,0.630000,0.630000,578200
2017-03-13,0.660000,0.660000,0.600000,0.640000,0.640000,502900
2017-03-20,0.640000,0.640000,0.590000,0.590000,0.590000,573400
2017-03-27,0.590000,0.700000,0.590000,0.680000,0.680000,1010800
2017-04-03,0.670000,0.670000,0.630000,0.650000,0.650000,415100
2017-04-10,0.660000,0.670000,0.630000,0.650000,0.650000,185000
2017-04-17,0.650000,0.650000,0.580000,0.600000,0.600000,275900
2017-04-24,0.580000,0.620000,0.570000,0.610000,0.610000,157700
2017-05-01,0.580000,0.600000,0.550000,0.570000,0.570000,156900
2017-05-08,0.560000,0.630000,0.550000,0.590000,0.590000,356700
2017-05-15,0.600000,0.600000,0.550000,0.560000,0.560000,188200
2017-05-22,0.570000,0.600000,0.550000,0.590000,0.590000,445300
2017-05-29,0.590000,0.600000,0.540000,0.550000,0.550000,590400
2017-06-05,0.570000,0.590000,0.540000,0.580000,0.580000,905900
2017-06-12,0.580000,0.580000,0.490000,0.510000,0.510000,458700
2017-06-19,0.520000,0.550000,0.500000,0.520000,0.520000,209300
2017-06-26,0.500000,0.570000,0.475000,0.500000,0.500000,172000
2017-07-03,0.500000,0.510000,0.475000,0.475000,0.475000,278500
2017-07-10,0.475000,0.500000,0.475000,0.500000,0.500000,83000
2017-07-17,0.500000,0.500000,0.480000,0.480000,0.480000,117700
2017-07-24,0.480000,0.500000,0.475000,0.490000,0.490000,241000
2017-07-31,0.485000,0.495000,0.455000,0.495000,0.495000,213500
2017-08-07,0.475000,0.485000,0.435000,0.435000,0.435000,192500
2017-08-14,0.470000,0.470000,0.415000,0.415000,0.415000,214500
2017-08-21,0.435000,0.455000,0.410000,0.430000,0.430000,160500
2017-08-28,0.450000,0.450000,0.405000,0.405000,0.405000,376500
2017-09-04,0.410000,0.420000,0.370000,0.380000,0.380000,807000
2017-09-11,0.370000,0.400000,0.350000,0.370000,0.370000,592700
2017-09-18,0.370000,0.400000,0.365000,0.375000,0.375000,691300
2017-09-25,0.380000,0.445000,0.380000,0.425000,0.425000,671700
2017-10-02,0.445000,0.510000,0.420000,0.500000,0.500000,757100
2017-10-09,0.510000,0.560000,0.450000,0.530000,0.530000,672100
2017-10-16,0.540000,0.580000,0.445000,0.450000,0.450000,742900
2017-10-23,0.450000,0.490000,0.420000,0.460000,0.460000,526800
2017-10-30,0.445000,0.520000,0.435000,0.470000,0.470000,661800
2017-11-06,0.465000,0.510000,0.450000,0.470000,0.470000,522400
2017-11-13,0.480000,0.480000,0.415000,0.450000,0.450000,284600
2017-11-20,0.440000,0.480000,0.430000,0.460000,0.460000,325800
2017-11-27,0.460000,0.470000,0.430000,0.440000,0.440000,402400
2017-12-04,0.450000,0.465000,0.420000,0.455000,0.455000,170600
2017-12-11,0.440000,0.465000,0.425000,0.435000,0.435000,377400
2017-12-18,0.430000,0.470000,0.425000,0.430000,0.430000,371300
2017-12-25,0.440000,0.460000,0.425000,0.460000,0.460000,241000
2018-01-01,0.475000,0.475000,0.420000,0.430000,0.430000,437000
2018-01-08,0.440000,0.520000,0.440000,0.495000,0.495000,442700
2018-01-15,0.510000,0.510000,0.460000,0.485000,0.485000,258200
2018-01-22,0.470000,0.510000,0.455000,0.500000,0.500000,858100
2018-01-29,0.485000,0.510000,0.430000,0.440000,0.440000,785200
2018-02-05,0.440000,0.450000,0.415000,0.425000,0.425000,572200
2018-02-12,0.425000,0.455000,0.420000,0.420000,0.420000,270800
2018-02-19,0.415000,0.425000,0.385000,0.400000,0.400000,270600
2018-02-26,0.390000,0.420000,0.370000,0.380000,0.380000,281200
2018-03-05,0.390000,0.400000,0.365000,0.380000,0.380000,310400
2018-03-12,0.370000,0.460000,0.370000,0.425000,0.425000,1011700
2018-03-19,0.425000,0.475000,0.400000,0.470000,0.470000,628400
2018-03-26,0.460000,0.470000,0.400000,0.430000,0.430000,199000
2018-04-02,0.430000,0.440000,0.415000,0.430000,0.430000,82400
2018-04-09,0.420000,0.440000,0.415000,0.430000,0.430000,147700
2018-04-16,0.445000,0.460000,0.395000,0.420000,0.420000,638300
2018-04-23,0.430000,0.460000,0.410000,0.460000,0.460000,198600
2018-04-30,0.435000,0.500000,0.430000,0.500000,0.500000,384300
2018-05-07,0.500000,0.500000,0.425000,0.445000,0.445000,720800
2018-05-14,0.460000,0.460000,0.400000,0.440000,0.440000,406000
2018-05-21,0.440000,0.455000,0.420000,0.420000,0.420000,189400
2018-05-28,0.415000,0.445000,0.410000,0.420000,0.420000,144400
2018-06-04,0.420000,0.430000,0.310000,0.375000,0.375000,883200
2018-06-11,0.370000,0.385000,0.350000,0.350000,0.350000,364100
2018-06-18,0.350000,0.365000,0.335000,0.345000,0.345000,172800
