Date,Open,High,Low,Close,Adj Close,Volume
2018-02-05,7.500000,7.650000,7.500000,7.530000,7.530000,13900
2018-02-12,7.730000,7.750000,7.730000,7.750000,7.750000,3500
2018-02-19,7.750000,7.870000,7.750000,7.810000,7.810000,3600
2018-02-26,7.950000,7.980000,7.630000,7.980000,7.980000,3100
2018-03-05,7.990000,8.660000,7.660000,7.900000,7.900000,8400
2018-03-12,7.900000,7.900000,7.850000,7.850000,7.850000,200
2018-03-19,7.850000,7.870000,7.700000,7.750000,7.750000,12700
2018-03-26,7.830000,8.490000,7.670000,7.790000,7.790000,26800
2018-04-02,7.750000,7.850000,7.660000,7.700000,7.700000,19400
2018-04-09,7.980000,8.000000,7.700000,7.750000,7.750000,39300
2018-04-16,7.750000,8.150000,7.550000,8.150000,8.150000,18600
2018-04-23,8.010000,8.010000,7.800000,7.800000,7.800000,4300
2018-04-30,7.800000,7.960000,7.800000,7.960000,7.960000,17800
2018-05-07,7.810000,7.950000,7.810000,7.950000,7.950000,1200
2018-05-14,7.840000,7.840000,7.670000,7.720000,7.720000,3800
2018-05-21,7.720000,7.900000,7.720000,7.900000,7.900000,100
2018-05-28,7.800000,7.870000,7.410000,7.860000,7.860000,28500
2018-06-04,7.810000,8.090000,7.810000,7.960000,7.960000,5800
2018-06-11,7.990000,8.200000,7.990000,8.200000,8.200000,24800
2018-06-18,7.910000,7.960000,7.850000,7.850000,7.850000,56100
2018-06-22,7.850000,7.850000,7.850000,7.850000,7.850000,4561
