Date,Open,High,Low,Close,Adj Close,Volume
2016-10-31,14.650000,15.240000,12.960000,13.500000,13.500000,39796300
2016-11-07,13.450000,14.835000,11.570000,13.970000,13.970000,20250700
2016-11-14,13.610000,15.500000,13.220000,15.290000,15.290000,6823000
2016-11-21,15.120000,15.300000,14.040000,14.550000,14.550000,2553300
2016-11-28,14.500000,16.440001,14.430000,16.000000,16.000000,8253500
2016-12-05,15.980000,16.478001,15.600000,15.710000,15.710000,4590900
2016-12-12,15.650000,16.250000,15.020000,15.270000,15.270000,4654100
2016-12-19,15.140000,15.900000,14.940000,15.200000,15.200000,4007700
2016-12-26,15.090000,15.530000,15.020000,15.500000,15.500000,2597500
2017-01-02,15.420000,16.230000,15.300000,16.120001,16.120001,3761800
2017-01-09,16.100000,16.580000,15.884000,16.020000,16.020000,2838300
2017-01-16,15.950000,16.350000,15.800000,15.900000,15.900000,2525900
2017-01-23,15.880000,17.809999,15.780000,17.750000,17.750000,6121300
2017-01-30,17.670000,18.620001,17.570000,17.930000,17.930000,12468700
2017-02-06,17.889999,18.549999,17.767000,18.020000,18.020000,7143200
2017-02-13,18.010000,18.950001,17.750000,18.830000,18.830000,2866600
2017-02-20,18.690001,19.250000,18.350000,18.900000,18.900000,3836800
2017-02-27,18.920000,19.500000,18.740000,19.129999,19.129999,2478700
2017-03-06,19.020000,19.330000,18.250000,18.400000,18.400000,2961800
2017-03-13,18.420000,18.549999,17.549999,17.700001,17.700001,3115000
2017-03-20,17.770000,18.459999,17.549999,18.150000,18.150000,3809100
2017-03-27,18.030001,19.000000,17.980000,18.860001,18.860001,2507600
2017-04-03,18.920000,19.990000,18.600000,19.290001,19.290001,5055900
2017-04-10,19.290001,19.660000,18.780001,18.820000,18.820000,1597600
2017-04-17,18.820000,19.340000,18.480000,18.600000,18.600000,2384200
2017-04-24,18.660000,18.719999,17.330000,17.350000,17.350000,2720800
2017-05-01,17.290001,18.000000,17.080000,17.549999,17.549999,4928500
2017-05-08,17.549999,17.740000,17.120001,17.540001,17.540001,2413400
2017-05-15,17.530001,17.969999,17.070000,17.510000,17.510000,2161900
2017-05-22,17.459999,17.580000,16.250000,17.080000,17.080000,2592000
2017-05-29,17.000000,17.290001,16.510000,17.209999,17.209999,1868700
2017-06-05,17.030001,17.400000,16.450001,17.260000,17.260000,4331800
2017-06-12,17.280001,18.320000,17.181999,17.629999,17.629999,5204200
2017-06-19,17.690001,18.740000,17.530001,18.540001,18.540001,12845700
2017-06-26,18.590000,19.209999,18.260000,18.309999,18.309999,5026500
2017-07-03,18.420000,18.480000,17.270000,17.330000,17.330000,2917000
2017-07-10,17.330000,18.370001,17.180000,18.280001,18.280001,4791500
2017-07-17,18.280001,18.889999,18.070000,18.570000,18.570000,3528700
2017-07-24,18.580000,18.790001,16.620001,16.620001,16.620001,3340100
2017-07-31,16.629999,17.309999,16.490000,17.020000,17.020000,2223000
2017-08-07,17.020000,17.260000,15.220000,15.620000,15.620000,2939800
2017-08-14,15.670000,15.980000,13.830000,14.140000,14.140000,6686300
2017-08-21,14.110000,14.455000,13.900000,13.950000,13.950000,4136300
2017-08-28,13.950000,14.220000,13.130000,14.100000,14.100000,4816000
2017-09-04,14.080000,14.180000,13.620000,13.960000,13.960000,3331400
2017-09-11,13.970000,14.560000,13.970000,14.490000,14.490000,3666200
2017-09-18,14.490000,14.880000,14.260000,14.760000,14.760000,2882800
2017-09-25,14.680000,15.770000,14.680000,15.500000,15.500000,3926100
2017-10-02,15.540000,16.100000,15.400000,15.800000,15.800000,4024600
2017-10-09,15.800000,16.299999,15.760000,15.920000,15.920000,1988700
2017-10-16,15.920000,16.690001,15.680000,16.660000,16.660000,2390700
2017-10-23,16.690001,16.740000,15.955000,16.490000,16.490000,1842300
2017-10-30,16.450001,16.510000,15.770000,16.059999,16.059999,3125900
2017-11-06,16.070000,16.629999,15.240000,15.370000,15.370000,4920400
2017-11-13,15.270000,15.380000,14.450000,14.770000,14.770000,5119100
2017-11-20,14.750000,15.080000,14.700000,14.790000,14.790000,1960000
2017-11-27,14.800000,15.150000,14.410000,14.690000,14.690000,3250900
2017-12-04,14.770000,14.870000,14.150000,14.680000,14.680000,4015100
2017-12-11,14.700000,14.830000,14.240000,14.720000,14.720000,3200200
2017-12-18,14.760000,15.200000,14.000000,14.020000,14.020000,2477600
2017-12-25,14.000000,14.000000,13.440000,13.810000,13.810000,3624600
2018-01-01,13.820000,14.000000,13.470000,13.830000,13.830000,2853700
2018-01-08,13.810000,13.935000,13.320000,13.410000,13.410000,2286600
2018-01-15,13.430000,13.840000,13.200000,13.380000,13.380000,2900700
2018-01-22,13.420000,13.940000,13.330000,13.650000,13.650000,2527800
2018-01-29,13.580000,13.640000,12.570000,13.160000,13.160000,5367900
2018-02-05,13.060000,13.220000,12.250000,13.000000,13.000000,4164800
2018-02-12,13.030000,13.030000,12.310000,12.940000,12.940000,2348000
2018-02-19,12.920000,13.030000,12.500000,12.720000,12.720000,1258600
2018-02-26,12.770000,16.420000,12.280000,16.260000,16.260000,9438500
2018-03-05,16.080000,18.150000,15.750000,17.950001,17.950001,8068600
2018-03-12,17.980000,20.170000,17.950001,19.629999,19.629999,5859100
2018-03-19,19.660000,19.740000,18.530001,18.590000,18.590000,3569000
2018-03-26,18.910000,19.750000,18.430000,19.430000,19.430000,2193600
2018-04-02,19.400000,19.980000,19.059999,19.809999,19.809999,2602300
2018-04-09,19.969999,20.219999,19.680000,19.799999,19.799999,2485300
2018-04-16,19.940001,21.150000,19.820000,20.530001,20.530001,2093900
2018-04-23,20.570000,22.910000,19.660999,22.100000,22.100000,11671200
2018-04-30,22.200001,22.600000,21.370001,21.790001,21.790001,4206100
2018-05-07,21.850000,21.990000,20.900000,20.990000,20.990000,2991100
2018-05-14,21.030001,21.190001,20.750000,20.990000,20.990000,4304100
2018-05-21,21.000000,21.350000,20.889999,21.049999,21.049999,1210000
2018-05-28,20.950001,21.820000,20.730000,21.110001,21.110001,3072900
2018-06-04,21.209999,21.385000,20.850000,21.200001,21.200001,2249300
2018-06-11,21.170000,22.559999,21.160000,22.070000,22.070000,5719600
2018-06-18,22.010000,22.190001,21.594999,21.809999,21.809999,2515900
2018-06-22,21.900000,22.020000,21.709999,21.809999,21.809999,756578
