Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,99.720001,99.750000,98.989998,98.989998,97.147987,6500
2018-02-05,98.419998,98.419998,98.419998,98.419998,96.588593,1000
2018-02-12,98.419998,98.419998,98.419998,98.419998,96.588593,0
2018-02-19,98.320000,98.320000,98.320000,98.320000,96.490448,200
2018-02-26,98.320000,98.580002,97.800003,97.800003,96.429855,2500
2018-03-05,98.010002,98.010002,97.980003,97.980003,96.607330,800
2018-03-12,98.360001,98.360001,97.980003,97.980003,96.607330,800
2018-03-19,97.290001,97.290001,97.290001,97.290001,95.926994,200
2018-03-26,97.290001,97.339996,97.070000,97.070000,96.160561,1400
2018-04-02,97.070000,97.070000,97.070000,97.070000,96.160561,0
2018-04-09,97.070000,98.470001,97.070000,98.470001,97.547440,1200
2018-04-16,98.470001,98.870003,98.169998,98.169998,97.250252,1400
2018-04-23,98.169998,98.169998,96.959999,97.209999,96.299240,600
2018-04-30,97.300003,97.300003,97.000000,97.000000,96.542603,1900
2018-05-07,97.190002,97.440002,97.050003,97.339996,96.880997,1300
2018-05-14,97.440002,97.440002,97.059998,97.339996,96.880997,9000
2018-05-21,96.919998,97.019997,96.919998,97.019997,96.562508,1100
2018-05-28,97.120003,97.120003,96.620003,96.959999,96.959999,2400
2018-06-04,96.959999,97.220001,96.959999,97.220001,97.220001,300
2018-06-11,97.540001,97.760002,97.540001,97.760002,97.760002,1500
2018-06-18,97.360001,97.360001,97.209999,97.349998,97.349998,2700
2018-06-22,97.349998,97.349998,97.349998,97.349998,97.349998,500
