Date,Open,High,Low,Close,Adj Close,Volume
2017-10-16,20.200001,20.200001,20.150000,20.150000,19.712896,2600
2017-10-23,20.240000,20.420000,20.200001,20.389999,19.947687,3400
2017-10-30,20.459999,20.730000,20.410000,20.719999,20.270533,91900
2017-11-06,20.600000,20.600000,20.370001,20.370001,19.928122,7400
2017-11-13,20.389999,20.670000,20.290001,20.670000,20.221615,9300
2017-11-20,20.709999,20.770000,20.540001,20.570000,20.123785,7500
2017-11-27,20.610001,20.719999,20.410000,20.719999,20.329571,3400
2017-12-04,20.840000,20.879999,20.510000,20.879999,20.486557,194600
2017-12-11,20.920000,20.920000,20.690001,20.740000,20.349194,69000
2017-12-18,20.799999,20.930000,20.799999,20.860001,20.466934,62500
2017-12-25,20.840000,20.840000,20.780001,20.780001,20.388441,15900
2018-01-01,20.799999,21.150000,20.799999,21.150000,20.751465,56100
2018-01-08,21.200001,21.260000,21.049999,21.090000,20.692598,570800
2018-01-15,21.150000,21.309999,21.010000,21.270000,20.869209,416700
2018-01-22,21.320000,21.389999,20.980000,21.070000,20.672979,860100
2018-01-29,21.010000,21.030001,20.650000,20.650000,20.318232,154300
2018-02-05,20.430000,20.440001,19.490000,19.709999,19.393332,163900
2018-02-12,20.000000,20.370001,19.790001,20.059999,19.737711,133200
2018-02-19,20.100000,20.459999,19.930000,20.459999,20.131285,176700
2018-02-26,20.510000,20.639999,20.150000,20.200001,19.939140,171000
2018-03-05,20.100000,20.549999,20.100000,20.520000,20.255009,436000
2018-03-12,20.520000,20.760000,20.510000,20.660000,20.393202,8900
2018-03-19,20.750000,20.750000,19.930000,19.969999,19.712109,59800
2018-03-26,19.969999,19.969999,19.799999,19.940001,19.747307,33000
2018-04-02,20.020000,20.020000,19.510000,19.639999,19.450203,44600
2018-04-09,19.730000,19.790001,19.400000,19.410000,19.222427,17000
2018-04-16,19.410000,19.639999,19.410000,19.570000,19.380878,6200
2018-04-23,19.549999,19.969999,19.549999,19.969999,19.777016,16500
2018-04-30,19.990000,20.059999,19.850000,20.030001,19.901520,59100
2018-05-07,20.080000,20.475000,20.080000,20.475000,20.343666,17900
2018-05-14,20.475000,20.620001,20.475000,20.570000,20.438057,11000
2018-05-21,20.690001,20.690001,20.280001,20.340000,20.209532,13600
2018-05-28,20.400000,20.400000,19.795000,19.920000,19.858452,17300
2018-06-04,20.000000,20.160000,19.980000,20.100000,20.037897,12400
2018-06-11,20.170000,20.270000,20.139999,20.180000,20.117649,5400
2018-06-18,20.190001,20.410000,20.190001,20.410000,20.346939,5000
2018-06-22,20.410000,20.410000,20.410000,20.410000,20.410000,100
