Date,Open,High,Low,Close,Adj Close,Volume
2008-07-21,9.958960,10.309280,9.948950,10.309280,5.906783,16700
2008-07-28,10.019020,10.349310,9.768790,10.349310,5.929720,34500
2008-08-04,10.059050,10.459410,10.059050,10.209190,5.891558,19400
2008-08-11,10.439400,10.439400,10.109100,10.159140,5.862675,44500
2008-08-18,10.199180,10.409370,10.119110,10.359320,5.978198,18100
2008-08-25,10.099090,10.789710,10.099090,10.359320,5.978198,26800
2008-09-01,10.309280,10.399360,10.159140,10.209190,5.932592,36900
2008-09-08,10.029030,10.359320,9.958960,10.019020,5.822085,58600
2008-09-15,9.999000,10.109100,9.278350,9.908920,5.758105,35500
2008-09-22,9.908920,10.009010,9.578620,9.688720,5.630145,39500
2008-09-29,9.688720,9.688720,9.008110,9.118210,5.337091,61500
2008-10-06,8.857970,8.857970,6.035430,6.535880,3.825597,333400
2008-10-13,7.126410,7.797020,6.906220,7.506760,4.393878,200600
2008-10-20,7.366630,7.887100,6.816130,6.906220,4.042366,68700
2008-10-27,6.876190,7.316580,6.696030,7.196480,4.212262,127700
2008-11-03,7.386650,7.606850,7.236510,7.316580,4.327036,23000
2008-11-10,7.356620,7.506760,6.666000,6.666000,3.942283,54300
2008-11-17,6.655990,6.706040,5.374840,5.595040,3.308914,129700
2008-11-24,5.504950,5.885300,5.284760,5.855270,3.462813,85800
2008-12-01,5.905310,5.905310,5.304770,5.304770,3.165668,68100
2008-12-08,5.464920,5.915320,5.464920,5.705130,3.404584,179300
2008-12-15,5.705130,5.895310,5.625060,5.855270,3.494184,128000
2008-12-22,5.705130,5.705130,5.494950,5.504950,3.285129,75600
2008-12-29,5.585030,6.285660,5.555000,6.285660,3.751022,4300
2009-01-05,6.305680,6.846160,6.255630,6.385750,3.845719,25900
2009-01-12,6.635970,6.786110,6.405770,6.505860,3.918052,72500
2009-01-19,6.505860,6.595940,6.415770,6.505860,3.918052,32500
2009-01-26,6.746070,6.756080,6.515860,6.655990,4.008464,30200
2009-02-02,6.706040,6.756080,6.605950,6.686020,4.057718,36300
2009-02-09,6.726050,6.906220,6.615950,6.655990,4.039493,68600
2009-02-16,6.706040,6.706040,6.065460,6.355720,3.857260,43700
2009-02-23,6.355720,6.585930,6.075470,6.585930,3.996974,33800
2009-03-02,6.245620,6.345710,5.705130,5.895310,3.607171,63000
2009-03-09,5.795220,6.265640,5.755180,6.055450,3.705155,39900
2009-03-16,6.085480,6.405770,6.005400,6.315680,3.864382,36100
2009-03-23,6.465820,6.505860,6.245620,6.445800,3.943998,26500
2009-03-30,6.405770,6.896210,6.325690,6.776100,4.178243,28000
2009-04-06,6.676010,6.676010,6.475830,6.625960,4.085664,23500
2009-04-13,6.696030,6.786110,6.565910,6.666000,4.110353,42000
2009-04-20,6.655990,6.776100,6.575920,6.706040,4.135044,23900
2009-04-27,6.816130,6.956260,6.706040,6.806130,4.196759,70200
2009-05-04,6.796120,7.206490,6.796120,7.206490,4.476498,106900
2009-05-11,7.176460,7.316580,7.176460,7.206490,4.476498,110400
2009-05-18,7.226500,7.226500,6.956260,6.976280,4.333497,188400
2009-05-25,7.006310,7.216490,6.926230,7.136420,4.432971,259300
2009-06-01,7.206490,7.246520,7.096390,7.196480,4.501676,309400
2009-06-08,7.176460,7.306580,7.166450,7.216490,4.514194,344700
2009-06-15,7.156440,7.276550,7.106400,7.126410,4.457844,435400
2009-06-22,7.136420,7.136420,7.016310,7.076370,4.426541,240400
2009-06-29,7.106400,7.106400,7.056350,7.096390,4.470958,123600
2009-07-06,7.066360,7.156440,6.986290,7.056350,4.445731,146100
2009-07-13,7.056350,7.086380,6.976280,7.006310,4.414205,481400
2009-07-20,7.016310,7.096390,6.956260,7.096390,4.470958,1610800
2009-07-27,7.046340,7.406670,7.046340,7.326590,4.615992,579000
2009-08-03,7.356620,7.586830,7.336600,7.576820,4.807410,150900
2009-08-10,7.576820,7.606850,7.466720,7.476730,4.743902,175700
2009-08-17,7.466720,7.726950,7.266540,7.566810,4.801058,173900
2009-08-24,7.596840,7.887100,7.596840,7.797020,4.947123,63700
2009-08-31,7.807030,7.807030,7.556800,7.726950,4.934794,124900
2009-09-07,7.736960,7.887100,7.726950,7.887100,5.037074,89800
2009-09-14,7.827040,7.997200,7.807030,7.957160,5.081816,146800
2009-09-21,7.957160,8.167350,7.897110,8.017220,5.120174,600100
2009-09-28,8.007210,8.177360,7.867080,7.907120,5.049859,201400
2009-10-05,7.937140,8.317490,7.917130,8.257430,5.306715,229300
2009-10-12,8.327490,8.397560,8.137320,8.157340,5.242391,255600
