Date,Open,High,Low,Close,Adj Close,Volume
2003-10-06,3.730000,3.750000,3.700000,3.730000,0.990177,177200
2003-10-13,3.730000,3.750000,3.640000,3.690000,0.979558,1922600
2003-10-20,3.670000,3.710000,3.610000,3.640000,0.966285,820800
2003-10-27,3.680000,3.680000,3.600000,3.620000,0.960976,1401700
2003-11-03,3.600000,3.680000,3.570000,3.680000,0.986001,1060700
2003-11-10,3.690000,3.770000,3.600000,3.650000,0.977963,1718400
2003-11-17,3.610000,3.650000,3.580000,3.610000,0.967245,494800
2003-11-24,3.630000,3.650000,3.450000,3.540000,0.948490,1673700
2003-12-01,3.450000,3.460000,3.100000,3.340000,0.903214,5620900
2003-12-08,3.340000,3.490000,3.260000,3.450000,0.932960,1636700
2003-12-15,3.450000,3.520000,3.400000,3.480000,0.941073,657900
2003-12-22,3.440000,3.550000,3.400000,3.550000,0.960002,307400
2003-12-29,3.570000,3.660000,3.550000,3.600000,0.973523,382700
2004-01-05,3.600000,3.630000,3.500000,3.550000,0.969120,1876400
2004-01-12,3.550000,3.680000,3.400000,3.670000,1.001879,3014800
2004-01-19,3.650000,3.890000,3.650000,3.890000,1.061937,2228300
2004-01-26,3.890000,4.110000,3.850000,4.070000,1.111076,1332500
2004-02-02,4.070000,4.070000,3.870000,3.940000,1.084667,785900
2004-02-09,3.900000,4.070000,3.880000,4.050000,1.114950,1017600
2004-02-16,4.100000,4.210000,4.060000,4.190000,1.153491,2184700
2004-02-23,4.170000,4.240000,4.100000,4.170000,1.147985,1570600
2004-03-01,4.190000,4.190000,4.000000,4.130000,1.146131,1682200
2004-03-08,4.140000,4.200000,4.110000,4.170000,1.157232,1636700
2004-03-15,4.190000,4.260000,4.160000,4.250000,1.179433,736700
2004-03-22,4.300000,4.350000,4.150000,4.340000,1.204409,846700
2004-03-29,4.330000,4.330000,4.170000,4.170000,1.157232,727500
2004-04-05,4.200000,4.240000,4.110000,4.160000,1.163409,430900
2004-04-12,4.150000,4.200000,3.650000,3.870000,1.082306,734600
2004-04-19,3.860000,4.100000,3.860000,3.950000,1.104680,314700
2004-04-26,3.980000,4.100000,3.760000,4.030000,1.127054,322700
2004-05-03,4.040000,4.050000,3.900000,3.950000,1.114101,701900
2004-05-10,3.950000,4.100000,3.900000,3.980000,1.122562,2935600
2004-05-17,3.960000,4.050000,3.920000,3.950000,1.114101,651800
2004-05-24,3.980000,4.050000,3.950000,3.970000,1.119741,406200
2004-05-31,3.950000,4.050000,3.950000,3.980000,1.131966,413800
2004-06-07,4.000000,4.070000,3.980000,3.990000,1.134811,1285100
2004-06-14,4.000000,4.050000,3.810000,4.000000,1.137655,465500
2004-06-21,4.010000,4.100000,3.920000,4.070000,1.157564,339100
2004-06-28,4.040000,4.070000,3.960000,4.000000,1.137655,219200
2004-07-05,4.000000,4.120000,3.980000,4.040000,1.158539,360100
2004-07-12,4.000000,4.100000,4.000000,4.060000,1.164275,255000
2004-07-19,4.060000,4.160000,4.060000,4.100000,1.175746,849700
2004-07-26,4.100000,4.170000,3.980000,4.030000,1.155672,237600
2004-08-02,4.090000,4.140000,3.960000,4.140000,1.197063,210100
2004-08-09,4.050000,4.100000,3.950000,4.020000,1.162366,440500
2004-08-16,4.050000,4.150000,4.010000,4.050000,1.171040,368700
2004-08-23,4.060000,4.140000,4.030000,4.030000,1.165258,554000
2004-08-30,4.090000,4.090000,3.980000,4.050000,1.180754,619800
2004-09-06,4.070000,4.080000,4.010000,4.050000,1.180754,220600
2004-09-13,4.090000,4.090000,4.010000,4.010000,1.169092,509400
2004-09-20,4.020000,4.050000,3.870000,3.900000,1.137022,1012800
2004-09-27,3.950000,4.030000,3.850000,3.940000,1.148685,360200
2004-10-04,4.000000,4.000000,3.860000,3.900000,1.146525,570400
2004-10-11,3.900000,3.950000,3.700000,3.890000,1.143585,1477700
2004-10-18,3.830000,3.930000,3.760000,3.920000,1.152404,418300
2004-10-25,3.940000,3.970000,3.820000,3.860000,1.134766,919400
2004-11-01,3.870000,3.950000,3.820000,3.900000,1.156327,731300
2004-11-08,3.900000,3.940000,3.820000,3.830000,1.135573,408500
