Date,Open,High,Low,Close,Adj Close,Volume
1995-09-18,13.250000,13.750000,12.875000,12.875000,9.256547,113600
1995-09-25,13.500000,14.000000,13.500000,13.750000,9.885633,32400
1995-10-02,13.750000,14.000000,13.250000,13.250000,9.526155,161200
1995-10-09,13.375000,13.500000,12.562500,13.500000,9.705894,38000
1995-10-16,13.375000,13.500000,12.250000,12.375000,8.897069,604000
1995-10-23,12.187500,12.625000,12.000000,12.000000,8.627460,72400
1995-10-30,12.625000,13.000000,12.625000,13.000000,9.346416,199600
1995-11-06,13.187500,13.531250,13.187500,13.187500,9.481219,74000
1995-11-13,13.375000,13.750000,13.375000,13.750000,9.885633,112000
1995-11-20,13.500000,13.531250,13.375000,13.500000,9.705894,117200
1995-11-27,13.562500,13.750000,13.375000,13.375000,9.616023,126800
1995-12-04,13.500000,13.781250,13.500000,13.781250,9.908100,153200
1995-12-11,13.875000,14.000000,13.875000,14.000000,10.065372,152000
1995-12-18,12.625000,12.906250,12.625000,12.750000,9.166677,202000
1995-12-25,12.875000,12.875000,12.781250,12.781250,9.189147,11200
1996-01-01,13.281250,13.625000,13.250000,13.250000,9.526155,61200
1996-01-08,13.000000,13.687500,12.625000,12.875000,9.256547,248400
1996-01-15,12.937500,12.937500,12.218750,12.781250,9.189147,120400
1996-01-22,12.937500,13.125000,12.750000,13.062500,9.391353,81600
1996-01-29,12.750000,12.875000,12.187500,12.437500,8.942007,171600
1996-02-05,12.375000,13.375000,12.281250,13.375000,9.616023,106000
1996-02-12,13.000000,13.218750,12.875000,13.000000,9.346416,55600
1996-02-19,12.500000,13.281250,12.500000,13.281250,9.548624,66800
1996-02-26,12.937500,13.156250,12.937500,13.156250,9.458755,36000
1996-03-04,12.687500,12.687500,11.375000,11.375000,8.178116,91200
1996-03-11,11.437500,12.281250,11.437500,12.187500,8.762266,332800
1996-03-18,12.031250,12.125000,11.437500,11.437500,8.223048,130400
1996-03-25,12.250000,12.250000,12.000000,12.062500,8.672396,177600
1996-04-01,11.750000,11.750000,10.750000,11.125000,7.998376,164400
1996-04-08,11.125000,11.125000,9.937500,10.875000,7.818639,732800
1996-04-15,10.937500,11.437500,10.687500,11.437500,8.223048,583200
1996-04-22,11.125000,11.250000,11.000000,11.000000,7.908508,383600
1996-04-29,11.000000,11.250000,11.000000,11.187500,8.043310,1303600
1996-05-06,11.125000,11.500000,10.875000,10.875000,7.818639,28800
1996-05-13,11.250000,11.375000,11.187500,11.375000,8.178116,510000
1996-05-20,11.312500,11.375000,10.875000,11.187500,8.043310,2132000
1996-05-27,11.250000,11.593750,11.187500,11.375000,8.178116,13600
1996-06-03,12.125000,12.500000,11.750000,12.031250,8.649928,1067600
1996-06-10,12.312500,12.375000,11.875000,12.125000,8.717333,102400
1996-06-17,12.312500,12.437500,12.125000,12.187500,8.762266,30800
1996-06-24,12.437500,12.500000,12.125000,12.500000,8.986940,18400
1996-07-01,12.500000,12.750000,12.375000,12.750000,9.477195,24000
1996-07-08,12.312500,12.750000,11.906250,11.937500,8.873256,63200
1996-07-15,11.312500,12.125000,11.125000,11.781250,8.757114,384000
1996-07-22,12.000000,12.500000,11.625000,11.875000,8.826799,64400
1996-07-29,11.937500,13.062500,11.906250,12.875000,9.570109,198000
1996-08-05,12.687500,13.125000,12.500000,13.000000,9.663022,1259200
1996-08-12,13.062500,13.218750,12.812500,13.062500,9.709482,62000
1996-08-19,13.125000,13.437500,13.000000,13.312500,9.895306,142800
1996-08-26,13.375000,13.906250,13.125000,13.875000,10.313418,385600
1996-09-02,13.375000,13.812500,13.000000,13.625000,10.127592,44400
1996-09-09,13.750000,14.312500,13.500000,14.312500,10.638616,127200
1996-09-16,14.250000,14.562500,14.000000,14.468750,10.754760,418800
1996-09-23,14.250000,14.406250,13.968750,14.187500,10.545703,447600
1996-09-30,14.187500,14.750000,14.000000,14.625000,10.870902,636000
1996-10-07,15.250000,15.312500,14.406250,14.750000,10.963817,481600
1996-10-14,14.812500,15.437500,14.562500,15.437500,11.474842,156000
1996-10-21,15.062500,15.312500,11.500000,11.937500,8.873256,1182800
1996-10-28,11.906250,12.250000,10.375000,10.500000,7.804749,330000
1996-11-04,10.625000,11.750000,10.375000,11.625000,8.640974,836000
1996-11-11,11.562500,12.125000,11.562500,12.125000,9.012630,146800
1996-11-18,11.875000,12.125000,10.875000,11.062500,8.222861,178800
1996-11-25,11.437500,11.625000,11.187500,11.625000,8.640974,177200
1996-12-02,11.437500,11.812500,11.437500,11.812500,8.780344,55200
1996-12-09,11.562500,11.875000,11.187500,11.187500,8.315776,290000
1996-12-16,11.250000,11.437500,10.812500,11.187500,8.315776,132800
1996-12-23,11.406250,11.812500,11.125000,11.375000,8.455146,348400
1996-12-30,11.375000,11.625000,11.125000,11.375000,8.455146,52000
1997-01-06,11.406250,12.156250,11.312500,11.875000,8.826799,395600
1997-01-13,11.687500,12.375000,11.687500,12.375000,9.198454,61600
1997-01-20,12.312500,12.437500,11.562500,11.937500,8.873256,85600
1997-01-27,11.562500,11.875000,10.648440,10.648440,7.915087,719600
1997-02-03,12.875000,13.000000,12.500000,12.875000,9.570109,870800
1997-02-10,12.750000,13.125000,12.562500,12.750000,9.477195,48400
1997-02-17,12.875000,12.875000,12.312500,12.500000,9.291370,790400
1997-02-24,12.687500,13.125000,12.375000,12.750000,9.477195,80400
1997-03-03,12.875000,13.437500,12.625000,13.187500,9.802393,217600
1997-03-10,13.406250,14.000000,13.250000,13.875000,10.313418,276400
1997-03-17,13.843750,14.062500,12.937500,13.062500,9.709482,120800
1997-03-24,13.750000,14.250000,13.500000,14.062500,10.452790,116400
1997-03-31,14.125000,14.187500,13.125000,13.312500,9.895306,50000
1997-04-07,13.875000,14.125000,13.406250,13.593750,10.104362,528800
1997-04-14,13.531250,14.000000,13.437500,14.000000,10.406332,618000
1997-04-21,14.375000,15.250000,14.187500,14.937500,11.103186,114400
1997-04-28,14.875000,15.843750,14.875000,15.843750,11.776809,1060400
1997-05-05,15.750000,16.000000,14.937500,16.000000,11.892952,64000
1997-05-12,16.000000,16.250000,15.562500,15.718750,12.161823,567600
1997-05-19,15.625000,16.062500,15.187500,15.687500,12.137643,83200
1997-05-26,15.812500,15.812500,15.125000,15.375000,11.895857,47200
1997-06-02,15.375000,15.750000,15.250000,15.562500,12.040931,160000
1997-06-09,15.937500,16.375000,15.656250,16.156250,12.500321,319600
1997-06-16,16.062500,17.125000,15.687500,16.937500,13.104785,319200
1997-06-23,17.125000,18.062500,16.609381,17.468750,13.515821,343200
