Date,Open,High,Low,Close,Adj Close,Volume
2003-09-15,15.600000,15.605000,14.425000,14.435000,9.352098,23000
2003-09-22,14.435000,14.800000,14.435000,14.500000,9.394208,7200
2003-09-29,14.250000,14.250000,13.700000,14.200000,9.199846,43000
2003-10-06,14.300000,16.000000,14.250000,16.000000,10.366023,6200
2003-10-13,15.950000,15.955000,14.250000,14.250000,9.232240,6200
2003-10-20,14.250000,14.525000,14.150000,14.150000,9.167452,2000
2003-10-27,14.150000,15.250000,14.150000,14.750000,9.556178,5400
2003-11-03,14.750000,16.000000,14.750000,16.000000,10.366023,11400
2003-11-10,16.000000,16.375000,15.875000,16.375000,10.608976,22800
2003-11-17,15.700000,15.700000,14.750000,14.755000,9.559417,8200
2003-11-24,13.500000,14.900000,13.470000,14.625000,9.475193,23800
2003-12-01,15.050000,15.250000,14.675000,14.875000,9.637164,45200
2003-12-08,14.875000,15.100000,14.700000,15.100000,9.782935,11400
2003-12-15,15.750000,15.750000,14.875000,15.040000,9.744061,40000
2003-12-22,15.250000,15.950000,15.250000,15.500000,10.042086,72000
2003-12-29,15.025000,16.250000,15.025000,16.174999,10.479403,18000
2004-01-05,16.200001,16.250000,15.250000,15.750000,10.945079,110800
2004-01-12,16.600000,16.875000,16.250000,16.299999,11.327286,69800
2004-01-19,17.049999,17.625000,17.000000,17.375000,12.074330,22200
2004-01-26,17.125000,17.125000,16.650000,16.650000,11.570511,21400
2004-02-02,16.750000,16.750000,16.365000,16.525000,11.483644,134800
2004-02-09,17.500000,19.650000,17.500000,19.580000,13.606644,84800
2004-02-16,19.950001,19.950001,19.000000,19.110001,13.280026,67800
2004-02-23,18.875000,18.905001,18.525000,18.549999,12.890869,73000
2004-03-01,18.549999,19.250000,18.450001,19.195000,13.339097,51600
2004-03-08,19.200001,19.225000,17.700001,17.700001,12.300183,38800
2004-03-15,17.775000,18.500000,16.725000,18.480000,12.842223,101200
2004-03-22,17.650000,18.200001,17.600000,18.150000,12.612900,146600
2004-03-29,18.299999,19.065001,18.035000,19.065001,13.248755,46200
2004-04-05,19.100000,19.799999,19.100000,19.725000,13.707408,23400
2004-04-12,19.775000,19.900000,19.200001,19.250000,13.377318,19000
2004-04-19,19.000000,20.500000,18.930000,20.400000,14.176482,70000
2004-04-26,19.875000,19.875000,17.500000,17.575001,12.213318,53200
2004-05-03,18.125000,18.725000,17.754999,17.860001,12.411371,29000
2004-05-10,16.424999,17.100000,15.000000,15.030000,10.444732,48200
2004-05-17,13.875000,15.215000,13.780000,15.000000,10.423882,69400
2004-05-24,15.450000,15.980000,14.995000,15.905000,11.052792,94400
2004-05-31,16.000000,16.000000,14.500000,15.000000,10.423882,39200
2004-06-07,15.875000,16.000000,14.600000,14.700000,10.215406,12800
2004-06-14,13.900000,14.295000,13.750000,13.880000,9.645567,25800
2004-06-21,13.975000,15.050000,13.850000,15.050000,10.458631,59800
2004-06-28,14.875000,15.115000,14.655000,15.115000,10.503799,124000
2004-07-05,15.000000,15.005000,14.350000,14.360000,9.979130,52400
2004-07-12,14.360000,14.360000,13.700000,13.775000,9.572600,101600
2004-07-19,13.775000,13.975000,13.230000,13.600000,9.450988,123200
2004-07-26,13.825000,14.750000,13.825000,14.705000,10.218880,47400
2004-08-02,14.725000,15.450000,14.650000,14.975000,10.406510,105400
2004-08-09,15.150000,17.094999,15.150000,17.094999,11.879752,142600
2004-08-16,17.090000,17.350000,16.275000,16.440001,11.424577,30600
2004-08-23,16.434999,17.450001,15.875000,17.209999,11.959669,98200
2004-08-30,17.500000,18.605000,17.100000,18.500000,12.856126,43200
2004-09-06,18.375000,18.379999,17.150000,17.200001,11.952721,49200
2004-09-13,17.750000,18.200001,17.700001,18.100000,12.578152,29200
