Date,Open,High,Low,Close,Adj Close,Volume
1997-06-16,16.375000,16.375000,15.000000,15.000000,11.887568,3143400
1997-06-23,15.000000,15.250000,13.250000,14.000000,11.095065,620200
1997-06-30,14.125000,15.062500,13.812500,14.062500,11.144594,198700
1997-07-07,14.312500,15.000000,14.062500,14.562500,11.540847,180600
1997-07-14,14.625000,15.312500,14.500000,14.750000,11.689443,175600
1997-07-21,14.625000,14.937500,13.500000,13.625000,10.797872,97600
1997-07-28,13.750000,14.250000,12.625000,13.937500,11.045531,303000
1997-08-04,13.687500,16.125000,13.687500,15.125000,11.986631,307200
1997-08-11,15.500000,15.562500,14.812500,15.250000,12.085694,68900
1997-08-18,15.125000,15.625000,14.875000,15.250000,12.085694,110700
1997-08-25,15.250000,15.812500,15.250000,15.750000,12.481948,60800
1997-09-01,15.750000,16.000000,15.687500,15.875000,12.581012,109700
1997-09-08,16.000000,16.000000,14.625000,14.625000,11.590379,73400
1997-09-15,14.750000,14.750000,13.250000,13.750000,10.896936,224200
1997-09-22,13.812500,13.875000,11.250000,13.312500,10.550216,675000
1997-09-29,13.312500,14.375000,13.250000,14.250000,11.293189,247900
1997-10-06,14.312500,14.312500,13.750000,13.937500,11.045531,171300
1997-10-13,13.875000,14.125000,13.187500,13.312500,10.550216,139100
1997-10-20,13.500000,14.000000,12.750000,12.875000,10.203496,366200
1997-10-27,12.812500,13.000000,12.250000,12.500000,9.906307,104600
1997-11-03,12.437500,13.625000,12.437500,13.062500,10.352092,33000
1997-11-10,13.000000,13.375000,12.375000,12.375000,9.807243,56300
1997-11-17,12.500000,13.125000,12.500000,12.562500,9.955839,24200
1997-11-24,12.500000,12.750000,12.375000,12.500000,9.906307,36800
1997-12-01,12.375000,12.625000,11.500000,11.500000,9.113802,15100
1997-12-08,11.500000,11.750000,11.312500,11.375000,9.014739,93600
1997-12-15,11.375000,11.750000,10.625000,10.875000,8.618487,58200
1997-12-22,10.750000,11.125000,10.625000,11.000000,8.717549,45900
1997-12-29,11.000000,11.500000,11.000000,11.375000,9.014739,81300
1998-01-05,11.500000,11.687500,11.000000,11.000000,8.717549,12000
1998-01-12,10.875000,11.562500,10.500000,11.250000,8.915674,16800
1998-01-19,11.312500,11.375000,11.000000,11.125000,8.816612,18300
1998-01-26,11.187500,11.187500,10.625000,11.000000,8.717549,20800
1998-02-02,11.062500,11.250000,11.000000,11.187500,8.866146,20000
1998-02-09,11.312500,11.375000,11.000000,11.000000,8.717549,6500
1998-02-16,11.000000,11.000000,10.000000,10.000000,7.925045,15200
1998-02-23,10.062500,10.187500,9.125000,9.250000,7.330667,195700
1998-03-02,9.312500,10.250000,9.062500,10.000000,7.925045,129700
1998-03-09,9.937500,12.000000,9.937500,11.625000,9.212865,131900
1998-03-16,11.937500,12.187500,11.500000,11.625000,9.212865,49500
1998-03-23,11.375000,11.500000,10.625000,11.062500,8.767082,24200
1998-03-30,11.062500,12.250000,11.062500,12.062500,9.559585,22800
1998-04-06,12.375000,13.125000,11.937500,12.000000,9.510055,35800
1998-04-13,12.062500,12.375000,11.937500,12.062500,9.559585,38200
1998-04-20,12.125000,12.250000,12.000000,12.062500,9.559585,28000
1998-04-27,11.937500,13.000000,11.562500,12.687500,10.054901,50500
1998-05-04,12.562500,12.937500,12.000000,12.625000,10.005371,39600
1998-05-11,12.625000,13.000000,12.375000,12.562500,9.955839,28700
1998-05-18,12.500000,13.125000,12.437500,12.937500,10.253028,39800
1998-05-25,13.000000,13.000000,12.375000,12.687500,10.054901,17700
1998-06-01,12.812500,12.937500,12.562500,12.750000,10.104433,44800
1998-06-08,12.750000,13.000000,12.687500,12.687500,10.054901,11100
