Date,Open,High,Low,Close,Adj Close,Volume
2010-09-13,4.000000,4.100000,3.980000,4.000000,4.000000,327300
2010-09-20,4.080000,4.190000,4.000000,4.150000,4.150000,564700
2010-09-27,4.200000,4.500000,4.100000,4.350000,4.350000,478500
2010-10-04,4.350000,4.390000,4.250000,4.300000,4.300000,581800
2010-10-11,4.300000,4.390000,4.250000,4.390000,4.390000,400500
2010-10-18,4.390000,4.400000,4.300000,4.300000,4.300000,152600
2010-10-25,4.330000,4.400000,4.220000,4.300000,4.300000,120000
2010-11-01,4.300000,4.450000,4.300000,4.410000,4.410000,203700
2010-11-08,4.480000,4.480000,4.300000,4.300000,4.300000,402100
2010-11-15,4.300000,4.400000,4.250000,4.250000,4.250000,65700
2010-11-22,4.340000,4.450000,4.180000,4.300000,4.300000,98700
2010-11-29,4.250000,4.250000,4.040000,4.200000,4.200000,52900
2010-12-06,4.200000,4.250000,4.050000,4.250000,4.250000,173100
2010-12-13,4.200000,4.240000,4.000000,4.080000,4.080000,456900
2010-12-20,4.100000,4.100000,3.910000,3.970000,3.970000,287800
2010-12-27,4.000000,4.010000,4.000000,4.000000,4.000000,25700
2011-01-03,4.050000,4.090000,3.910000,3.960000,3.960000,65600
2011-01-10,3.990000,4.000000,3.860000,3.950000,3.950000,133300
2011-01-17,4.050000,4.100000,4.000000,4.050000,4.050000,161000
2011-01-24,4.000000,4.080000,3.950000,4.050000,4.050000,579500
2011-01-31,4.050000,4.150000,4.000000,4.000000,4.000000,289800
2011-02-07,4.080000,4.150000,4.000000,4.150000,4.150000,256400
2011-02-14,4.000000,4.120000,4.000000,4.080000,4.080000,143500
2011-02-21,3.980000,4.450000,3.980000,4.450000,4.450000,131100
2011-02-28,4.500000,4.500000,4.250000,4.370000,4.370000,120700
2011-03-07,4.300000,4.500000,4.300000,4.350000,4.350000,301500
2011-03-14,4.400000,4.500000,4.150000,4.500000,4.500000,13700
2011-03-21,4.500000,4.500000,4.270000,4.500000,4.500000,20000
2011-03-28,4.500000,4.800000,4.410000,4.800000,4.800000,64700
2011-04-04,5.000000,5.500000,4.550000,4.900000,4.900000,25200
2011-04-11,4.900000,5.000000,4.900000,4.900000,4.900000,34400
2011-04-18,4.900000,5.000000,4.560000,4.900000,4.900000,18800
2011-04-25,5.000000,5.000000,4.510000,4.600000,4.600000,25600
2011-05-02,4.600000,4.700000,4.390000,4.610000,4.610000,15800
2011-05-09,4.650000,4.750000,4.650000,4.750000,4.750000,7100
2011-05-16,4.750000,5.000000,4.600000,4.750000,4.750000,16700
2011-05-23,4.750000,5.000000,4.600000,4.950000,4.950000,7900
2011-05-30,5.000000,5.000000,4.800000,4.800000,4.800000,20000
2011-06-06,4.810000,5.250000,4.810000,5.200000,5.200000,25100
2011-06-13,4.900000,5.100000,4.900000,4.900000,4.900000,21100
2011-06-20,5.000000,5.000000,4.900000,5.000000,5.000000,20500
2011-06-27,5.100000,5.150000,4.900000,5.000000,5.000000,11900
2011-07-04,5.150000,5.250000,4.950000,5.000000,5.000000,19700
2011-07-11,5.000000,5.000000,4.900000,5.000000,5.000000,4900
2011-07-18,5.000000,5.040000,4.900000,5.040000,5.040000,19000
2011-07-25,5.040000,5.040000,4.710000,4.950000,4.950000,13200
2011-08-01,4.950000,4.950000,4.600000,4.700000,4.700000,56600
2011-08-08,4.610000,4.700000,4.610000,4.700000,4.700000,24400
2011-08-15,4.610000,4.700000,4.300000,4.500000,4.500000,10900
2011-08-22,4.400000,4.400000,3.800000,4.250000,4.250000,27700
2011-08-29,3.810000,4.100000,3.810000,4.000000,4.000000,23700
2011-09-05,4.000000,4.150000,3.850000,4.150000,4.150000,40100
2011-09-12,4.000000,4.250000,3.900000,4.250000,4.250000,391100
2011-09-19,4.250000,4.250000,3.850000,3.850000,3.850000,6000
2011-09-26,3.990000,4.000000,3.750000,3.750000,3.750000,28500
2011-10-03,3.650000,3.820000,3.410000,3.500000,3.500000,26700
2011-10-10,3.500000,3.600000,3.480000,3.500000,3.500000,7700
2011-10-17,3.500000,3.800000,3.500000,3.800000,3.800000,4200
2011-10-24,3.800000,3.800000,3.500000,3.800000,3.800000,3800
2011-10-31,3.800000,3.850000,3.800000,3.800000,3.800000,7900
2011-11-07,3.800000,3.800000,3.650000,3.650000,3.650000,8300
2011-11-14,3.650000,3.800000,3.500000,3.800000,3.800000,30300
2011-11-21,3.800000,3.950000,3.750000,3.800000,3.800000,13800
2011-11-28,3.750000,3.950000,3.750000,3.800000,3.800000,1300
2011-12-05,3.800000,4.000000,3.800000,4.000000,4.000000,12700
2011-12-12,3.900000,4.000000,3.750000,3.750000,3.750000,42600
2011-12-19,3.750000,3.800000,3.700000,3.700000,3.700000,16800
2011-12-26,3.700000,3.740000,3.700000,3.740000,3.740000,900
2012-01-02,3.750000,3.750000,3.650000,3.750000,3.750000,6000
2012-01-09,3.750000,3.750000,3.600000,3.700000,3.700000,9500
2012-01-16,3.600000,3.600000,3.300000,3.300000,3.300000,64600
2012-01-23,3.300000,3.300000,2.750000,3.000000,3.000000,268400
2012-01-30,3.000000,3.190000,3.000000,3.190000,3.190000,465300
2012-02-06,3.160000,3.160000,3.050000,3.130000,3.130000,293000
2012-02-13,3.120000,3.160000,3.050000,3.150000,3.150000,39600
2012-02-20,3.150000,3.190000,2.900000,3.100000,3.100000,89000
2012-02-27,3.100000,3.100000,2.910000,2.930000,2.930000,14500
2012-03-05,2.990000,3.000000,2.810000,2.900000,2.900000,74900
2012-03-12,2.900000,2.900000,2.500000,2.550000,2.550000,157500
2012-03-19,2.650000,2.650000,2.280000,2.550000,2.550000,103900
2012-03-26,2.590000,2.590000,2.310000,2.310000,2.310000,160600
2012-04-02,2.340000,2.340000,2.050000,2.100000,2.100000,93900
2012-04-09,2.100000,2.100000,1.840000,1.870000,1.870000,166000
2012-04-16,1.950000,1.950000,1.690000,1.800000,1.800000,913000
2012-04-23,1.780000,2.210000,1.720000,2.150000,2.150000,659100
2012-04-30,2.150000,2.200000,1.960000,1.960000,1.960000,245800
2012-05-07,1.910000,2.110000,1.750000,1.900000,1.900000,92000
2012-05-14,1.900000,2.000000,1.750000,1.900000,1.900000,74700
2012-05-21,1.770000,1.950000,1.750000,1.770000,1.770000,69800
2012-05-28,1.850000,1.850000,1.670000,1.850000,1.850000,28700
2012-06-04,1.850000,1.850000,1.610000,1.650000,1.650000,96300
2012-06-11,1.600000,1.700000,1.360000,1.390000,1.390000,115600
2012-06-18,1.500000,1.500000,1.200000,1.200000,1.200000,77300
2012-06-25,1.050000,1.550000,1.050000,1.550000,1.550000,105600
2012-07-02,1.550000,1.800000,1.540000,1.800000,1.800000,106100
2012-07-09,1.800000,1.800000,1.500000,1.600000,1.600000,52700
2012-07-16,1.600000,1.650000,1.500000,1.600000,1.600000,29700
2012-07-23,1.500000,1.650000,1.450000,1.500000,1.500000,322000
2012-07-30,1.520000,1.670000,1.510000,1.600000,1.600000,40000
2012-08-06,1.650000,1.790000,1.560000,1.790000,1.790000,41700
2012-08-13,1.800000,1.800000,1.520000,1.580000,1.580000,49500
2012-08-20,1.560000,1.690000,1.500000,1.690000,1.690000,32800
2012-08-27,1.690000,1.690000,1.500000,1.500000,1.500000,108900
2012-09-03,1.500000,1.550000,1.500000,1.530000,1.530000,103700
2012-09-10,1.530000,1.660000,1.530000,1.550000,1.550000,181600
2012-09-17,1.550000,1.600000,1.500000,1.500000,1.500000,265500
2012-09-24,1.500000,1.570000,1.450000,1.570000,1.570000,458200
2012-10-01,1.900000,1.900000,1.610000,1.650000,1.650000,111800
2012-10-08,1.650000,1.680000,1.600000,1.680000,1.680000,33300
2012-10-15,1.630000,1.750000,1.540000,1.750000,1.750000,54200
2012-10-22,1.710000,1.900000,1.700000,1.860000,1.860000,116000
2012-10-29,1.860000,1.890000,1.780000,1.840000,1.840000,110300
2012-11-05,1.890000,1.950000,1.780000,1.780000,1.780000,299400
2012-11-12,1.650000,1.660000,1.510000,1.660000,1.660000,37200
2012-11-19,1.700000,1.970000,1.610000,1.690000,1.690000,81300
2012-11-26,1.700000,1.980000,1.650000,1.970000,1.970000,1387900
2012-12-03,1.950000,1.960000,1.600000,1.700000,1.700000,328000
2012-12-10,1.650000,1.700000,1.650000,1.650000,1.650000,38200
2012-12-17,1.650000,1.750000,1.520000,1.650000,1.650000,207600
2012-12-24,1.650000,1.870000,1.650000,1.870000,1.870000,20400
2012-12-31,1.860000,1.950000,1.690000,1.700000,1.700000,23700
2013-01-07,1.800000,1.850000,1.650000,1.750000,1.750000,21400
2013-01-14,1.810000,1.810000,1.670000,1.700000,1.700000,142800
2013-01-21,1.670000,1.900000,1.570000,1.750000,1.750000,64500
2013-01-28,1.700000,1.870000,1.610000,1.750000,1.750000,52600
2013-02-04,1.700000,1.720000,1.700000,1.720000,1.720000,88600
2013-02-11,1.720000,1.790000,1.450000,1.790000,1.790000,310800
2013-02-18,1.720000,1.750000,1.650000,1.750000,1.750000,874200
2013-02-25,1.700000,1.900000,1.650000,1.900000,1.900000,273300
2013-03-04,1.970000,1.970000,1.750000,1.870000,1.870000,188600
2013-03-11,1.800000,1.850000,1.710000,1.840000,1.840000,192400
2013-03-18,1.760000,1.900000,1.760000,1.900000,1.900000,468600
2013-03-25,1.850000,2.150000,1.850000,2.100000,2.100000,115700
2013-04-01,2.100000,2.140000,1.870000,2.000000,2.000000,111600
2013-04-08,1.950000,2.040000,1.940000,2.020000,2.020000,274100
2013-04-15,2.000000,2.020000,1.950000,1.950000,1.950000,3008500
2013-04-22,2.020000,2.020000,1.940000,2.000000,2.000000,232900
2013-04-29,2.020000,2.190000,2.000000,2.050000,2.050000,271000
2013-05-06,2.130000,2.130000,2.030000,2.030000,2.030000,2559100
2013-05-13,2.030000,2.110000,2.000000,2.110000,2.110000,675800
2013-05-20,2.070000,2.200000,2.070000,2.190000,2.190000,139800
2013-05-27,2.200000,2.500000,2.120000,2.300000,2.300000,327300
2013-06-03,2.350000,2.410000,2.250000,2.410000,2.410000,125800
2013-06-10,2.400000,2.500000,2.230000,2.490000,2.490000,96300
2013-06-17,2.490000,2.610000,2.470000,2.550000,2.550000,301700
2013-06-24,2.600000,2.700000,2.450000,2.700000,2.700000,406600
2013-07-01,2.700000,2.740000,2.600000,2.650000,2.650000,205800
2013-07-08,2.630000,2.880000,2.610000,2.860000,2.860000,164500
2013-07-15,2.890000,3.190000,2.750000,2.900000,2.900000,333600
2013-07-22,2.930000,2.990000,2.770000,2.830000,2.830000,103200
2013-07-29,2.830000,3.030000,2.730000,3.000000,3.000000,646800
2013-08-05,2.990000,3.090000,2.900000,3.030000,3.030000,806400
2013-08-12,3.050000,3.180000,3.000000,3.150000,3.150000,673000
2013-08-19,3.150000,3.300000,3.100000,3.300000,3.300000,359200
2013-08-26,3.300000,3.490000,3.300000,3.450000,3.450000,315700
2013-09-02,3.460000,3.520000,3.410000,3.500000,3.500000,793700
2013-09-09,3.520000,3.740000,3.520000,3.620000,3.620000,917900
2013-09-16,3.700000,3.740000,3.520000,3.680000,3.680000,182700
2013-09-23,3.680000,3.800000,3.580000,3.650000,3.650000,402800
2013-09-30,3.600000,3.700000,3.530000,3.530000,3.530000,457700
2013-10-07,3.640000,3.640000,3.290000,3.350000,3.350000,336100
2013-10-14,3.350000,3.630000,3.350000,3.600000,3.600000,640200
2013-10-21,3.500000,3.700000,3.370000,3.420000,3.420000,174100
2013-10-28,3.450000,3.770000,3.450000,3.500000,3.500000,1162100
2013-11-04,3.650000,3.700000,3.510000,3.700000,3.700000,519000
2013-11-11,3.650000,3.780000,3.550000,3.600000,3.600000,340300
2013-11-18,3.550000,3.710000,3.520000,3.710000,3.710000,819000
2013-11-25,3.600000,4.010000,3.560000,3.800000,3.800000,307800
2013-12-02,3.800000,4.000000,3.660000,3.750000,3.750000,364600
2013-12-09,3.860000,3.980000,3.700000,3.900000,3.900000,167100
2013-12-16,3.900000,4.200000,3.850000,4.190000,4.190000,461500
2013-12-23,4.190000,4.260000,4.040000,4.130000,4.130000,62500
2013-12-30,4.040000,4.220000,3.940000,4.100000,4.100000,215700
2014-01-06,4.160000,4.210000,4.000000,4.050000,4.050000,3641900
2014-01-13,3.830000,4.170000,3.820000,4.150000,4.150000,785300
2014-01-20,4.250000,4.500000,4.110000,4.410000,4.410000,5017900
2014-01-27,4.400000,4.400000,4.110000,4.250000,4.250000,856500
2014-02-03,4.210000,4.600000,4.150000,4.500000,4.500000,636000
2014-02-10,4.630000,4.750000,4.480000,4.670000,4.670000,807700
2014-02-17,4.720000,4.950000,4.690000,4.890000,4.890000,849700
2014-02-24,4.900000,4.920000,4.640000,4.800000,4.800000,971400
2014-03-03,4.850000,4.850000,4.670000,4.750000,4.750000,880200
2014-03-10,4.720000,4.800000,4.460000,4.480000,4.480000,1091700
2014-03-17,4.500000,4.700000,4.380000,4.580000,4.580000,463600
2014-03-24,4.600000,4.880000,4.360000,4.840000,4.840000,935000
2014-03-31,4.850000,4.900000,4.660000,4.840000,4.840000,2366700
2014-04-07,4.800000,5.310000,4.750000,5.210000,5.210000,1171400
