Date,Open,High,Low,Close,Adj Close,Volume
1999-01-04,2.594770,2.792190,2.425540,2.707580,1.523798,863700
1999-01-11,2.679380,2.820400,2.538360,2.707580,1.523798,2971900
1999-01-18,2.707580,2.806300,2.679380,2.749890,1.547610,1173400
1999-01-25,2.735790,2.778090,2.721680,2.749890,1.547610,1385600
1999-02-01,2.735790,2.792190,2.735790,2.749890,1.547610,815700
1999-02-08,2.749890,2.806300,2.637070,2.693480,1.515863,479800
1999-02-15,2.651170,2.707580,2.594770,2.622970,1.476181,458100
1999-02-22,2.594770,2.594770,2.340930,2.397340,1.349198,933500
1999-03-01,2.369130,2.439640,2.228110,2.228110,1.253958,786400
1999-03-08,2.228110,2.425540,2.171710,2.312730,1.301581,552100
1999-03-15,2.284520,2.369130,2.284520,2.355030,1.325387,273200
1999-03-22,2.340930,2.397340,2.340930,2.340930,1.317452,212400
1999-03-29,2.340930,2.481950,2.256320,2.425540,1.365070,551200
1999-04-05,2.411440,2.453750,2.242220,2.326830,1.309517,406300
1999-04-12,2.214010,2.425540,2.214010,2.312730,1.301581,278100
1999-04-19,2.270420,2.369130,2.270420,2.319780,1.305549,271000
1999-04-26,2.312730,2.369130,2.284520,2.340930,1.317452,409300
1999-05-03,2.326830,2.369130,2.298620,2.312730,1.301581,353400
1999-05-10,2.312730,2.355030,2.312730,2.326830,1.326493,144600
1999-05-17,2.326830,2.369130,2.256320,2.270420,1.294335,289200
1999-05-24,2.277470,2.298620,2.270420,2.284520,1.302372,130100
1999-05-31,2.284520,2.312730,2.256320,2.312730,1.318455,183700
1999-06-07,2.312730,2.340930,2.256320,2.256320,1.286296,164200
1999-06-14,2.298620,2.340930,2.242220,2.284520,1.302372,156200
1999-06-21,2.270420,2.369130,2.270420,2.369130,1.350607,422100
1999-06-28,2.355030,2.763990,2.312730,2.622970,1.495319,523700
1999-07-05,2.651170,2.707580,2.552460,2.622970,1.495319,340300
1999-07-12,2.637070,2.735790,2.622970,2.707580,1.543553,213400
1999-07-19,2.651170,2.763990,2.651170,2.763990,1.575713,183600
1999-07-26,2.679380,2.735790,2.679380,2.679380,1.527477,111100
1999-08-02,2.679380,2.707580,2.489000,2.594770,1.479242,211600
1999-08-09,2.707580,2.735790,2.651170,2.679380,1.544855,193500
