Date,Open,High,Low,Close,Adj Close,Volume
1994-12-05,3.708330,3.729170,3.645830,3.666670,2.324703,43852800
1994-12-12,3.666670,3.708330,3.604170,3.645830,2.311490,5404800
1994-12-19,3.645830,3.687500,3.604170,3.666670,2.324703,1840200
1994-12-26,3.708330,3.791670,3.687500,3.791670,2.403954,1810200
1995-01-02,3.791670,4.145830,3.750000,4.125000,2.615288,4169400
1995-01-09,4.250000,4.479170,4.229170,4.270830,2.707746,4315200
1995-01-16,4.333330,4.458330,4.250000,4.250000,2.694539,3378600
1995-01-23,4.125000,4.229170,4.083330,4.229170,2.681333,1065600
1995-01-30,4.187500,4.229170,4.145830,4.208330,2.668120,1645800
1995-02-06,4.229170,4.395830,4.145830,4.375000,2.773790,1933800
1995-02-13,4.395830,4.395830,4.208330,4.250000,2.694539,3490800
1995-02-20,4.291670,4.291670,4.166670,4.166670,2.641706,1946400
1995-02-27,4.166670,5.125000,4.125000,4.937500,3.130420,6769200
1995-03-06,4.916670,5.333330,4.895830,4.895830,3.104002,3055200
1995-03-13,4.916670,5.229170,4.916670,5.208330,3.302128,3430800
1995-03-20,5.208330,5.416670,5.166670,5.291670,3.354967,2778000
1995-03-27,5.250000,5.333330,4.958330,4.958330,3.143626,2589600
1995-04-03,4.958330,5.145830,4.958330,5.145830,3.262502,1993200
1995-04-10,5.125000,5.187500,5.083330,5.187500,3.288922,1651800
1995-04-17,5.166670,5.645830,5.145830,5.583330,3.539883,1969800
1995-04-24,5.583330,6.416670,5.583330,6.208330,3.936137,3397800
1995-05-01,6.229170,6.229170,5.791670,5.833330,3.698384,1536000
1995-05-08,5.833330,5.937500,5.666670,5.708330,3.619133,1009200
1995-05-15,5.666670,5.979170,5.583330,5.854170,3.711598,2769000
1995-05-22,5.833330,6.291670,5.833330,6.187500,3.922932,2344200
1995-05-29,6.187500,6.208330,5.791670,5.958330,3.777635,1968000
1995-06-05,6.166670,6.291670,6.083330,6.083330,3.856888,1124400
1995-06-12,6.125000,6.979170,6.104170,6.770830,4.292768,2323800
1995-06-19,6.770830,6.875000,6.625000,6.625000,4.200311,4565400
1995-06-26,6.645830,6.833330,6.458330,6.770830,4.292768,3069000
1995-07-03,6.729170,7.958330,6.729170,7.958330,5.045654,4663800
1995-07-10,8.000000,8.541670,8.000000,8.250000,5.230576,5588400
1995-07-17,8.250000,8.375000,7.416670,7.520830,4.768275,4957800
1995-07-24,7.520830,8.333330,7.437500,7.937500,5.032449,3067800
1995-07-31,8.041670,8.145830,7.750000,8.083330,5.124905,2598600
1995-08-07,8.083330,8.291670,8.083330,8.291670,5.256994,1989000
1995-08-14,8.291670,9.583330,8.166670,9.291670,5.891004,4365600
1995-08-21,9.270830,9.333330,8.541670,8.583330,5.441912,2692800
1995-08-28,8.583330,8.583330,7.833330,7.833330,4.966403,3282600
1995-09-04,7.729170,9.125000,7.687500,8.708330,5.521162,3006000
1995-09-11,8.666670,8.958330,8.229170,8.250000,5.230576,1554600
1995-09-18,8.083330,8.791670,8.000000,8.083330,5.124905,2884200
1995-09-25,8.104170,8.208330,7.333330,8.104170,5.138118,2641200
1995-10-02,8.104170,8.145830,7.354170,7.645830,4.847527,2028600
1995-10-09,7.604170,8.166670,6.729170,8.000000,5.072075,2446800
1995-10-16,7.937500,7.958330,7.375000,7.500000,4.755070,34149600
1995-10-23,7.479170,7.833330,7.208330,7.500000,4.755070,7348800
1995-10-30,7.562500,7.916670,7.416670,7.875000,4.992825,3858000
1995-11-06,7.854170,7.854170,7.000000,7.416670,4.702236,4570200
1995-11-13,7.416670,7.437500,7.062500,7.166670,4.543736,4264800
1995-11-20,7.166670,7.166670,6.208330,6.395830,4.055016,6055200
1995-11-27,6.479170,6.729170,6.000000,6.041670,3.830474,7121400
1995-12-04,5.833330,6.166670,5.770830,5.979170,3.790849,8676000
1995-12-11,6.041670,6.041670,4.916670,5.083330,3.222877,26067000
1995-12-18,5.125000,6.250000,4.645830,6.166670,3.909725,20535600
1995-12-25,6.250000,6.916670,6.020830,6.708330,4.253143,3393600
1996-01-01,6.750000,6.812500,5.875000,5.916670,3.751225,6529800
1996-01-08,5.875000,6.000000,5.020830,5.125000,3.249296,17271600
1996-01-15,5.125000,5.645830,4.750000,5.458330,3.460632,11958000
1996-01-22,5.500000,6.083330,5.458330,5.895830,3.738011,8858400
1996-01-29,5.875000,6.458330,5.875000,6.062500,3.843681,7452600
1996-02-05,6.000000,6.666670,6.000000,6.562500,4.160685,10242600
1996-02-12,6.541670,6.562500,5.979170,6.291670,3.988977,5986800
1996-02-19,6.333330,6.916670,6.291670,6.770830,4.292768,4158600
1996-02-26,6.854170,6.916670,5.916670,6.041670,3.830474,7467600
1996-03-04,6.062500,6.125000,5.500000,5.583330,3.539883,6317400
