Date,Open,High,Low,Close,Adj Close,Volume
1996-08-12,0.600000,0.637500,0.593750,0.637500,0.560958,90400
1996-08-19,0.625000,0.625000,0.581250,0.581250,0.511461,62400
1996-08-26,0.581250,0.600000,0.581250,0.581250,0.511461,65600
1996-09-02,0.581250,0.593750,0.568750,0.593750,0.522461,29600
1996-09-09,0.593750,0.593750,0.575000,0.575000,0.505962,103200
1996-09-16,0.593750,0.593750,0.550000,0.581250,0.511461,249600
1996-09-23,0.581250,0.581250,0.556250,0.581250,0.511461,142400
1996-09-30,0.568750,0.581250,0.556250,0.568750,0.500462,237600
1996-10-07,0.568750,0.568750,0.543750,0.562500,0.494963,354400
1996-10-14,0.562500,0.562500,0.550000,0.551250,0.485063,194400
1996-10-21,0.562500,0.568750,0.550000,0.562500,0.494963,328800
1996-10-28,0.562500,0.568750,0.543750,0.550000,0.483964,392800
1996-11-04,0.550000,0.625000,0.550000,0.625000,0.549959,1390400
1996-11-11,0.600000,0.781250,0.600000,0.781250,0.687448,837600
1996-11-18,0.781250,0.781250,0.656250,0.700000,0.615954,286400
1996-11-25,0.700000,0.800000,0.700000,0.787500,0.692948,7970400
1996-12-02,0.781250,0.806250,0.762500,0.787500,0.692948,398400
1996-12-09,0.781250,0.793750,0.762500,0.762500,0.670949,353600
1996-12-16,0.762500,0.787500,0.718750,0.775000,0.681948,203200
1996-12-23,0.787500,0.787500,0.731250,0.731250,0.643451,124000
1996-12-30,0.775000,0.812500,0.750000,0.793750,0.698447,137600
1997-01-06,0.812500,0.850000,0.812500,0.825000,0.725945,453600
1997-01-13,0.868750,0.893750,0.843750,0.881250,0.775442,192000
1997-01-20,0.906250,0.918750,0.850000,0.850000,0.747943,271200
1997-01-27,0.887500,0.900000,0.856250,0.900000,0.791940,211200
1997-02-03,0.875000,0.962500,0.875000,0.950000,0.835937,1060800
1997-02-10,1.000000,1.000000,0.925000,0.925000,0.813938,67200
1997-02-17,0.912500,0.968750,0.893750,0.968750,0.852436,308800
1997-02-24,0.968750,1.006250,0.968750,0.993750,0.874434,444800
1997-03-03,0.987500,0.987500,0.912500,0.950000,0.835937,147200
1997-03-10,0.937500,1.037500,0.925000,1.037500,0.912931,245600
1997-03-17,1.043750,1.062500,1.000000,1.000000,0.879934,718400
1997-03-24,1.000000,1.025000,0.950000,1.025000,0.901932,144000
1997-03-31,0.981250,0.987500,0.937500,0.937500,0.824938,280800
1997-04-07,0.943750,0.943750,0.875000,0.912500,0.802940,933600
1997-04-14,0.925000,0.987500,0.925000,0.987500,0.868934,61600
1997-04-21,0.987500,0.987500,0.956250,0.981250,0.863435,34400
1997-04-28,1.000000,1.000000,0.956250,0.981250,0.863435,140800
1997-05-05,0.968750,1.000000,0.950000,0.987500,0.868934,420800
1997-05-12,1.000000,1.062500,1.000000,1.031250,0.907431,894400
1997-05-19,1.031250,1.031250,1.006250,1.025000,0.901932,1532800
1997-05-26,1.018750,1.037500,1.012500,1.025000,0.901932,143200
1997-06-02,1.012500,1.031250,1.012500,1.018750,0.896432,169600
1997-06-09,1.018750,1.037500,1.018750,1.025000,0.901932,939200
1997-06-16,1.025000,1.050000,1.025000,1.043750,0.918431,90400
1997-06-23,1.031250,1.093750,1.031250,1.068750,0.940429,716000
1997-06-30,1.068750,1.187500,1.068750,1.150000,1.011924,434400
1997-07-07,1.187500,1.312500,1.187500,1.256250,1.105417,298400
1997-07-14,1.231250,1.312500,1.231250,1.256250,1.105417,244000
1997-07-21,1.250000,1.275000,1.250000,1.250000,1.099917,949600
1997-07-28,1.262500,1.268750,1.250000,1.262500,1.110916,287200
1997-08-04,1.262500,1.281250,1.262500,1.281250,1.127415,392000
1997-08-11,1.281250,1.375000,1.281250,1.312500,1.154913,232000
1997-08-18,1.287500,1.343750,1.281250,1.331250,1.171412,883200
1997-08-25,1.343750,1.406250,1.331250,1.362500,1.198909,673600
1997-09-01,1.293750,1.343750,1.293750,1.343750,1.182411,48000
1997-09-08,1.300000,1.375000,1.300000,1.368750,1.204409,514400
1997-09-15,1.350000,1.368750,1.350000,1.356250,1.193410,196000
1997-09-22,1.368750,1.406250,1.356250,1.381250,1.215408,268000
1997-09-29,1.381250,1.475000,1.343750,1.431250,1.259405,219200
1997-10-06,1.450000,1.468750,1.431250,1.468750,1.292402,97600
1997-10-13,1.468750,1.525000,1.468750,1.475000,1.297902,744800
1997-10-20,1.487500,1.500000,1.468750,1.468750,1.292402,448800
1997-10-27,1.487500,1.487500,1.387500,1.468750,1.292402,455200
1997-11-03,1.468750,1.468750,1.375000,1.375000,1.209908,64000
1997-11-10,1.375000,1.406250,1.375000,1.381250,1.215408,526400
1997-11-17,1.387500,1.450000,1.387500,1.450000,1.275904,80800
1997-11-24,1.450000,1.487500,1.431250,1.431250,1.259405,62400
1997-12-01,1.443750,1.487500,1.431250,1.437500,1.264905,189600
1997-12-08,1.443750,1.462500,1.375000,1.381250,1.215408,947200
1997-12-15,1.381250,1.381250,1.325000,1.325000,1.165912,406400
1997-12-22,1.325000,1.375000,1.325000,1.356250,1.193410,47200
1997-12-29,1.368750,1.406250,1.350000,1.406250,1.237407,43200
1998-01-05,1.337500,1.406250,1.312500,1.312500,1.154913,752800
1998-01-12,1.250000,1.275000,1.218750,1.231250,1.083418,126400
1998-01-19,1.225000,1.262500,1.212500,1.231250,1.083418,71200
1998-01-26,1.218750,1.312500,1.218750,1.281250,1.127415,188800
1998-02-02,1.312500,1.368750,1.262500,1.318750,1.160412,349600
1998-02-09,1.356250,1.500000,1.356250,1.481250,1.303402,978400
1998-02-16,1.481250,1.481250,1.381250,1.381250,1.215408,626400
1998-02-23,1.387500,1.450000,1.387500,1.425000,1.253905,80000
1998-03-02,1.468750,1.531250,1.437500,1.531250,1.347398,1111200
1998-03-09,1.487500,1.562500,1.468750,1.531250,1.347398,314400
1998-03-16,1.518750,1.531250,1.468750,1.487500,1.308901,68000
1998-03-23,1.468750,1.500000,1.406250,1.487500,1.308901,227200
1998-03-30,1.500000,1.562500,1.487500,1.562500,1.374896,1359200
1998-04-06,1.593750,1.700000,1.593750,1.700000,1.495887,168800
1998-04-13,1.750000,1.843750,1.700000,1.781250,1.567382,317600
1998-04-20,1.781250,1.843750,1.775000,1.825000,1.605879,468000
1998-04-27,1.825000,1.843750,1.812500,1.837500,1.616878,166400
1998-05-04,1.843750,1.843750,1.693750,1.693750,1.490387,608000
1998-05-11,1.750000,1.781250,1.662500,1.700000,1.495887,131200
1998-05-18,1.700000,1.750000,1.700000,1.750000,1.539884,93600
1998-05-25,1.750000,1.750000,1.562500,1.662500,1.462890,48000
1998-06-01,1.687500,1.687500,1.637500,1.662500,1.462890,64000
1998-06-08,1.718750,1.725000,1.668750,1.668750,1.468389,675200
1998-06-15,1.731250,1.731250,1.593750,1.593750,1.402394,168000
1998-06-22,1.593750,1.625000,1.593750,1.625000,1.429892,164000
1998-06-29,1.625000,1.681250,1.625000,1.681250,1.479388,237600
1998-07-06,1.675000,1.675000,1.625000,1.643750,1.446391,543200
1998-07-13,1.656250,1.662500,1.625000,1.662500,1.462890,160000
1998-07-20,1.675000,1.693750,1.468750,1.468750,1.292402,56000
1998-07-27,1.468750,1.562500,1.468750,1.500000,1.319901,306400
1998-08-03,1.500000,1.500000,1.375000,1.375000,1.209908,51200
1998-08-10,1.375000,1.412500,1.312500,1.393750,1.226408,275200
1998-08-17,1.375000,1.400000,1.312500,1.312500,1.154913,240000
1998-08-24,1.312500,1.312500,1.237500,1.250000,1.099917,205600
1998-08-31,1.368750,1.531250,1.187500,1.531250,1.347398,316000
1998-09-07,1.531250,1.550000,1.437500,1.481250,1.303402,482400
1998-09-14,1.493750,1.500000,1.418750,1.418750,1.248406,290400
1998-09-21,1.418750,1.500000,1.412500,1.500000,1.319901,90400
1998-09-28,1.487500,1.487500,1.468750,1.468750,1.292402,87200
1998-10-05,1.468750,1.468750,1.250000,1.281250,1.127415,141600
1998-10-12,1.375000,1.375000,1.250000,1.337500,1.176911,649600
1998-10-19,1.337500,1.350000,1.250000,1.250000,1.099917,293600
1998-10-26,1.218750,1.375000,1.218750,1.362500,1.198909,130400
1998-11-02,1.362500,1.412500,1.312500,1.375000,1.209908,1735200
1998-11-09,1.375000,1.375000,1.312500,1.375000,1.209908,308000
1998-11-16,1.312500,1.375000,1.275000,1.375000,1.209908,31200
1998-11-23,1.325000,1.343750,1.250000,1.287500,1.132915,36800
1998-11-30,1.287500,1.343750,1.287500,1.325000,1.165912,26400
