Date,Open,High,Low,Close,Adj Close,Volume
1995-01-09,1.968750,1.984380,1.961250,1.961250,0.764435,1304000
1995-01-16,1.976880,1.984380,1.953120,1.968750,0.767358,2275200
1995-01-23,1.953120,2.093750,1.937500,2.055000,0.800975,2416000
1995-01-30,2.031250,2.125000,2.023750,2.093750,0.816079,8472000
1995-02-06,2.086250,2.109380,2.046880,2.109380,0.822171,1595200
1995-02-13,2.093750,2.140620,2.078120,2.093750,0.816079,547200
1995-02-20,2.093750,2.156250,2.093750,2.140620,0.834347,5848000
1995-02-27,2.156250,2.171880,2.078120,2.109380,0.822171,3446400
1995-03-06,2.117500,2.218750,2.117500,2.171880,0.866777,4201600
1995-03-13,2.171880,2.211250,2.133130,2.164380,0.870502,13700800
1995-03-20,2.187500,2.289380,2.187500,2.289380,0.920776,2784000
1995-03-27,2.289380,2.375000,2.265620,2.336250,0.939627,8230400
1995-04-03,2.289380,2.343750,2.273750,2.343750,0.942643,862400
1995-04-10,2.367500,2.406250,2.359380,2.359380,0.948930,6435200
1995-04-17,2.390620,2.421880,2.351880,2.406250,0.967781,4729600
1995-04-24,2.406250,2.453120,2.367500,2.421880,0.974067,5262400
1995-05-01,2.406250,2.437500,2.398750,2.398750,0.964764,4080000
1995-05-08,2.421880,2.421880,2.336250,2.336250,0.939627,4816000
1995-05-15,2.328120,2.500000,2.328120,2.468750,0.992917,1875200
1995-05-22,2.468750,2.500000,2.320630,2.421880,0.974067,18102400
1995-05-29,2.421880,2.453120,2.414380,2.430000,0.977332,11910400
1995-06-05,2.430000,2.445630,2.398750,2.421880,0.994600,55027200
1995-06-12,2.421880,2.430000,2.406250,2.421880,0.994600,8753600
1995-06-19,2.421880,2.421880,2.359380,2.375000,0.982194,7286400
1995-06-26,2.383130,2.406250,2.367500,2.390620,0.988653,2916800
1995-07-03,2.383130,2.398750,2.383130,2.390620,0.988653,1766400
1995-07-10,2.390620,2.437500,2.375000,2.430000,1.004940,7654400
1995-07-17,2.430000,2.445630,2.414380,2.445630,1.011403,2704000
1995-07-24,2.445630,2.445630,2.406250,2.437500,1.008040,4713600
1995-07-31,2.437500,2.437500,2.430000,2.437500,1.008040,2030400
1995-08-07,2.430000,2.437500,2.421880,2.437500,1.008040,5155200
1995-08-14,2.437500,2.484380,2.421880,2.484380,1.027428,4432000
1995-08-21,2.476880,2.531250,2.476880,2.508130,1.037250,9201600
1995-08-28,2.500000,2.531250,2.492500,2.531250,1.046811,2886400
1995-09-04,2.531250,2.601880,2.515620,2.593750,1.094411,9009600
1995-09-11,2.586250,2.671880,2.578120,2.671880,1.127378,3116800
1995-09-18,2.656250,2.664380,2.633130,2.656250,1.128869,4144000
1995-09-25,2.648750,2.664380,2.625000,2.633130,1.119043,6318400
1995-10-02,2.640620,2.648750,2.531250,2.531250,1.075746,8774400
1995-10-09,2.523750,2.539380,2.484380,2.531250,1.075746,6993600
1995-10-16,2.523750,2.539380,2.476880,2.500000,1.062465,9412800
1995-10-23,2.484380,2.500000,2.445630,2.484380,1.055826,5686400
1995-10-30,2.515620,2.593750,2.484380,2.593750,1.102307,12230400
1995-11-06,2.601880,2.648750,2.601880,2.609380,1.108949,3531200
1995-11-13,2.617500,2.625000,2.562500,2.601880,1.105762,5148800
1995-11-20,2.578120,2.586250,2.546880,2.570630,1.092482,4360000
1995-11-27,2.570630,2.609380,2.570630,2.609380,1.108949,6822400
1995-12-04,2.617500,2.687500,2.609380,2.687500,1.164739,3488000
1995-12-11,2.695630,2.703120,2.625000,2.633130,1.141175,4444800
1995-12-18,2.633130,2.703120,2.625000,2.680000,1.169671,8332800
1995-12-25,2.671880,2.695630,2.664380,2.671880,1.166128,841600
1996-01-01,2.680000,2.734380,2.680000,2.711250,1.183311,4064000
1996-01-08,2.711250,2.711250,2.671880,2.687500,1.172945,3459200
1996-01-15,2.687500,2.695630,2.648750,2.664380,1.162855,2940800
1996-01-22,2.648750,2.671880,2.625000,2.625000,1.145667,9230400
1996-01-29,2.625000,2.640620,2.601880,2.633130,1.149216,6372800
1996-02-05,2.625000,2.640620,2.601880,2.640620,1.152484,6540800
1996-02-12,2.648750,2.656250,2.617500,2.648750,1.156033,8244800
1996-02-19,2.648750,2.648750,2.609380,2.617500,1.142394,6102400
1996-02-26,2.625000,2.633130,2.609380,2.625000,1.145667,4398400
1996-03-04,2.625000,2.633130,2.609380,2.633130,1.171531,4270400
1996-03-11,2.625000,2.671880,2.625000,2.625000,1.167913,8225600
1996-03-18,2.648120,2.695630,2.625000,2.656250,1.190292,15329600
1996-03-25,2.656250,2.695630,2.656250,2.695630,1.207940,7276800
1996-04-01,2.695630,2.758130,2.695630,2.750000,1.232303,7400000
1996-04-08,2.750000,2.781250,2.750000,2.757500,1.235664,20433600
1996-04-15,2.762500,2.771880,2.731250,2.734380,1.225304,4516800
1996-04-22,2.737500,2.765620,2.737500,2.753120,1.233701,4142400
1996-04-29,2.756250,2.756250,2.703120,2.706250,1.212698,4324800
1996-05-06,2.718750,2.750000,2.712500,2.750000,1.232303,9193600
1996-05-13,2.746880,2.750000,2.687500,2.687500,1.204296,1457600
1996-05-20,2.675000,2.731250,2.675000,2.703120,1.211296,2680000
1996-05-27,2.709380,2.731250,2.693750,2.703120,1.211296,4872000
1996-06-03,2.700000,2.703120,2.656250,2.675000,1.221232,5936000
1996-06-10,2.656250,2.675000,2.603120,2.615630,1.194127,1918400
1996-06-17,2.593750,2.606250,2.537500,2.587500,1.189683,5256000
1996-06-24,2.575000,2.693750,2.565620,2.693750,1.238535,4507200
1996-07-01,2.700000,2.734380,2.690620,2.728120,1.254337,14918400
1996-07-08,2.712500,2.743750,2.712500,2.737500,1.258649,3769600
1996-07-15,2.750000,2.762500,2.737500,2.759370,1.268705,16900800
1996-07-22,2.762500,2.803130,2.737500,2.800000,1.287386,38104000
1996-07-29,2.800000,2.806250,2.734380,2.803130,1.288826,8667200
1996-08-05,2.806250,2.931250,2.793750,2.931250,1.347733,61830400
1996-08-12,2.931250,3.062500,2.918750,3.040620,1.398019,16296000
1996-08-19,3.040620,3.062500,3.021880,3.050000,1.402332,20112000
1996-08-26,3.050000,3.053130,3.018750,3.018750,1.387963,14728000
1996-09-02,3.037500,3.046880,3.009370,3.015620,1.409657,63049600
1996-09-09,3.015620,3.075000,3.006250,3.075000,1.437414,6944000
1996-09-16,3.087500,3.112500,3.043750,3.056250,1.438768,28604800
1996-09-23,3.062500,3.121880,3.056250,3.071870,1.446121,4651200
1996-09-30,3.071870,3.106250,3.059380,3.090630,1.454952,23312000
1996-10-07,3.090630,3.093750,3.031250,3.046880,1.434356,3753600
1996-10-14,3.040620,3.043750,2.962500,2.993750,1.409344,11662400
1996-10-21,2.996880,3.053130,2.996880,3.025000,1.424056,11801600
1996-10-28,3.037500,3.425000,3.028130,3.162500,1.488785,31801600
1996-11-04,3.240630,3.281250,3.131250,3.281250,1.544688,6843200
1996-11-11,3.306250,3.468750,3.275000,3.275000,1.541747,21052800
1996-11-18,3.296880,3.359380,3.237500,3.350000,1.577053,6256000
1996-11-25,3.350000,3.681250,3.340630,3.681250,1.732993,4443200
1996-12-02,3.681250,3.812500,3.406250,3.500000,1.671461,18601600
1996-12-09,3.543750,3.553130,3.343750,3.453120,1.649072,36950400
1996-12-16,3.500000,3.587500,3.437500,3.506250,1.684683,68329600
1996-12-23,3.540620,3.562500,3.506250,3.550000,1.705705,1420800
1996-12-30,3.553130,3.562500,3.437500,3.475000,1.669668,1683200
1997-01-06,3.453120,3.562500,3.437500,3.562500,1.711710,12872000
1997-01-13,3.596870,3.875000,3.593750,3.756250,1.804803,21656000
1997-01-20,3.771880,4.003120,3.756250,3.906250,1.876876,23526400
1997-01-27,3.937500,3.953120,3.859380,3.881250,1.864863,9353600
1997-02-03,3.843750,3.875000,3.687500,3.718750,1.786785,5945600
1997-02-10,3.734380,3.784370,3.656250,3.743750,1.798797,5745600
1997-02-17,3.750000,3.750000,3.653130,3.678130,1.767268,26601600
1997-02-24,3.718750,3.912500,3.668750,3.806250,1.828827,4862400
1997-03-03,3.875000,3.875000,3.753120,3.843750,1.871594,7545600
1997-03-10,3.840630,3.993750,3.828120,3.921880,1.909637,10878400
1997-03-17,3.934380,3.937500,3.725000,3.818750,1.869534,7176000
1997-03-24,3.843750,3.984380,3.812500,3.818750,1.869534,7443200
1997-03-31,3.843750,3.875000,3.750000,3.750000,1.835876,16012800
1997-04-07,3.756250,3.812500,3.650000,3.659370,1.791506,22779200
1997-04-14,3.718750,3.990630,3.656250,3.981250,1.949090,8148800
1997-04-21,3.981250,4.056250,3.950000,3.993750,1.955209,8731200
1997-04-28,4.000000,4.125000,3.906250,4.062500,1.988866,10768000
1997-05-05,4.062500,4.625000,4.062500,4.462500,2.184692,11493600
1997-05-12,4.512500,4.625000,4.331250,4.431250,2.169394,8984000
1997-05-19,4.531250,4.531250,4.375000,4.412500,2.160214,3132000
1997-05-26,4.412500,4.437500,4.218750,4.281250,2.095958,4874400
1997-06-02,4.343750,4.612500,4.250000,4.531250,2.260592,7632000
1997-06-09,4.531250,4.531250,4.312500,4.500000,2.245000,3679200
1997-06-16,4.500000,4.750000,4.462500,4.712500,2.362509,4901600
1997-06-23,4.743750,4.750000,4.562500,4.631250,2.321774,4286400
1997-06-30,4.643750,4.675000,4.556250,4.625000,2.318641,2405600
1997-07-07,4.625000,4.743750,4.568750,4.587500,2.299841,4879200
1997-07-14,4.600000,4.600000,4.375000,4.550000,2.281042,3928800
1997-07-21,4.625000,4.900000,4.475000,4.812500,2.412640,6194400
1997-07-28,4.812500,6.237500,4.725000,5.843750,2.929634,10382400
1997-08-04,5.993750,6.000000,5.506250,5.587500,2.801170,6082400
1997-08-11,5.618750,5.656250,5.318750,5.481250,2.747903,5529600
1997-08-18,5.450000,5.868750,5.443750,5.800000,2.907702,9398400
1997-08-25,5.825000,5.825000,5.375000,5.443750,2.729105,6624000
1997-09-01,5.481250,5.987500,5.456250,5.950000,3.027082,5212000
1997-09-08,5.931250,6.081250,5.768750,5.787500,2.944408,4563200
1997-09-15,5.825000,5.875000,5.625000,5.681250,2.900769,4662400
1997-09-22,5.750000,5.987500,5.656250,5.937500,3.031606,11539200
1997-09-29,5.937500,6.537500,5.925000,6.356250,3.245414,7450400
1997-10-06,6.375000,6.862500,6.337500,6.525000,3.331577,14088000
1997-10-13,6.525000,6.718750,6.437500,6.525000,3.331577,7653600
1997-10-20,6.543750,6.543750,6.031250,6.125000,3.127342,6571200
1997-10-27,6.125000,6.493750,5.750000,6.343750,3.239032,7514400
1997-11-03,6.375000,6.618750,6.375000,6.450000,3.293282,11684800
1997-11-10,6.450000,6.556250,6.068750,6.118750,3.124150,10366400
1997-11-17,6.187500,6.468750,6.143750,6.387500,3.261370,8213600
1997-11-24,6.318750,6.462500,5.781250,5.868750,2.996505,6007200
1997-12-01,5.875000,6.000000,5.625000,5.756250,2.939064,16323200
1997-12-08,5.750000,6.225000,5.725000,6.000000,3.105856,6912800
1997-12-15,5.875000,6.337500,5.875000,6.281250,3.263085,4965600
1997-12-22,6.225000,6.225000,6.062500,6.156250,3.198146,1009600
1997-12-29,6.187500,6.218750,6.062500,6.137500,3.188407,1428800
1998-01-05,6.125000,6.187500,5.375000,5.393750,2.802032,11518400
1998-01-12,5.125000,5.750000,5.062500,5.687500,2.954633,5469600
1998-01-19,5.662500,6.000000,5.662500,5.906250,3.068274,13904000
1998-01-26,5.906250,6.212500,5.812500,6.156250,3.198146,10514400
1998-02-02,6.093750,6.231250,5.937500,6.218750,3.230616,9806400
1998-02-09,6.218750,6.550000,6.156250,6.437500,3.344256,5437600
1998-02-16,6.437500,6.493750,6.250000,6.312500,3.279319,9364000
1998-02-23,6.156250,6.656250,6.156250,6.531250,3.392958,15224800
1998-03-02,6.500000,6.681250,6.443750,6.593750,3.468320,10438400
1998-03-09,6.656250,6.656250,6.187500,6.187500,3.254633,5721600
1998-03-16,6.200000,6.475000,5.937500,6.368750,3.360914,14972000
1998-03-23,6.562500,6.843750,6.475000,6.518750,3.440074,10898400
1998-03-30,6.512500,6.562500,6.250000,6.368750,3.360914,5702400
1998-04-06,6.375000,6.562500,6.343750,6.468750,3.413687,3968800
1998-04-13,6.462500,6.556250,6.237500,6.275000,3.311441,9585600
1998-04-20,6.293750,6.400000,6.118750,6.187500,3.265266,9472800
1998-04-27,6.156250,6.425000,6.062500,6.425000,3.390600,11639200
1998-05-04,6.437500,6.800000,6.437500,6.762500,3.568704,6226400
1998-05-11,6.650000,6.925000,6.562500,6.593750,3.479652,6859200
1998-05-18,6.625000,6.687500,6.500000,6.581250,3.473056,6823200
1998-05-25,6.593750,6.656250,6.375000,6.437500,3.397197,6013600
1998-06-01,6.493750,6.562500,6.362500,6.531250,3.446669,5030400
1998-06-08,6.518750,6.593750,6.175000,6.225000,3.326393,4205600
1998-06-15,6.187500,6.187500,5.687500,5.843750,3.132991,9099200
1998-06-22,5.962500,6.250000,5.818750,6.250000,3.350792,8373600
1998-06-29,6.381250,6.462500,6.250000,6.343750,3.401054,2264800
1998-07-06,6.343750,6.412500,6.262500,6.350000,3.404405,4225600
1998-07-13,6.356250,6.356250,5.906250,6.331250,3.394353,7472000
1998-07-20,6.368750,6.706250,6.337500,6.562500,3.518332,7379200
1998-07-27,6.500000,6.806250,6.381250,6.381250,3.421158,7094400
1998-08-03,6.375000,6.431250,6.000000,6.168750,3.307231,7652000
1998-08-10,6.156250,6.156250,5.531250,5.687500,3.049220,16693600
1998-08-17,5.687500,5.875000,5.550000,5.793750,3.106183,8274400
1998-08-24,5.625000,5.731250,5.437500,5.643750,3.025765,11640800
1998-08-31,5.568750,5.981250,5.331250,5.962500,3.196655,17468800
1998-09-07,6.006250,6.250000,5.906250,6.225000,3.386819,7384000
1998-09-14,6.062500,6.243750,6.031250,6.156250,3.361320,8241600
1998-09-21,6.087500,6.487500,6.000000,6.200000,3.385206,8193600
1998-09-28,6.200000,6.250000,6.000000,6.137500,3.351084,5267200
1998-10-05,6.000000,6.150000,5.825000,5.850000,3.194107,5546400
1998-10-12,5.937500,6.225000,5.806250,6.125000,3.344258,3397600
1998-10-19,6.168750,6.275000,5.943750,6.243750,3.409094,6904800
1998-10-26,6.250000,6.281250,5.962500,6.125000,3.344258,6875200
1998-11-02,6.137500,6.437500,6.125000,6.387500,3.487583,11047200
1998-11-09,6.406250,6.437500,6.068750,6.137500,3.351084,7020800
1998-11-16,6.156250,6.306250,6.056250,6.193750,3.381795,12810400
1998-11-23,6.225000,6.268750,5.881250,5.906250,3.224820,7243200
1998-11-30,5.900000,5.993750,5.600000,5.831250,3.183870,8768800
1998-12-07,5.775000,6.012500,5.706250,5.725000,3.169384,8351200
1998-12-14,5.687500,5.887500,5.612500,5.718750,3.177320,9402400
1998-12-21,5.706250,5.750000,5.400000,5.556250,3.087038,3852000
1998-12-28,5.612500,5.750000,5.468750,5.750000,3.194681,1886400
1999-01-04,5.750000,6.031250,5.687500,5.831250,3.239825,14339200
1999-01-11,5.868750,5.962500,5.562500,5.687500,3.159958,6792000
1999-01-18,5.637500,5.693750,4.950000,5.375000,2.986335,31711200
1999-01-25,5.337500,5.375000,5.006250,5.081250,2.823128,21488800
1999-02-01,5.125000,5.287500,5.018750,5.287500,2.937718,17932000
1999-02-08,5.337500,5.875000,5.300000,5.750000,3.194681,11558400
1999-02-15,5.731250,5.931250,5.512500,5.737500,3.187738,42200000
1999-02-22,5.637500,5.687500,5.331250,5.518750,3.066200,12347200
1999-03-01,5.406250,5.687500,5.087500,5.681250,3.156488,15608000
1999-03-08,5.693750,6.375000,5.693750,6.243750,3.520033,13479200
1999-03-15,6.281250,6.362500,6.000000,6.250000,3.536018,16981600
1999-03-22,6.250000,6.487500,6.037500,6.456250,3.652704,9642400
1999-03-29,6.493750,6.525000,6.137500,6.187500,3.500658,8058400
1999-04-05,6.200000,6.437500,6.018750,6.262500,3.543090,7668800
1999-04-12,6.250000,6.537500,6.043750,6.525000,3.691602,8617600
1999-04-19,6.506250,6.875000,6.506250,6.718750,3.801218,8404000
1999-04-26,6.737500,7.443750,6.656250,7.281250,4.119461,10995200
1999-05-03,7.200000,7.625000,7.187500,7.462500,4.222005,13983200
1999-05-10,7.312500,7.437500,7.168750,7.250000,4.101779,9040000
1999-05-17,7.268750,7.337500,6.931250,7.081250,4.006307,10966400
1999-05-24,7.000000,7.000000,6.637500,6.943750,3.928514,13137600
1999-05-31,6.850000,7.093750,6.837500,7.000000,3.960340,6729600
1999-06-07,6.975000,7.281250,6.825000,7.275000,4.164383,10289600
1999-06-14,7.293750,7.600000,7.250000,7.512500,4.313164,9815200
1999-06-21,7.475000,7.712500,7.256250,7.675000,4.406458,7819200
1999-06-28,7.693750,7.700000,7.400000,7.525000,4.320340,12259200
