Date,Open,High,Low,Close,Adj Close,Volume
2001-05-07,0.950000,1.250000,0.950000,1.000000,1.000000,33500
2001-05-14,0.950000,1.000000,0.890000,1.000000,1.000000,285177
2001-05-21,1.000000,1.000000,0.950000,0.950000,0.950000,116800
2001-05-28,0.900000,1.000000,0.900000,1.000000,1.000000,66500
2001-06-04,0.920000,0.950000,0.900000,0.940000,0.940000,47900
2001-06-11,0.950000,0.950000,0.870000,0.940000,0.940000,34000
2001-06-18,0.900000,0.900000,0.870000,0.870000,0.870000,2500
2001-06-25,0.800000,0.880000,0.800000,0.880000,0.880000,160300
2001-07-02,null,null,null,null,null,null
2001-07-09,null,null,null,null,null,null
2001-07-16,null,null,null,null,null,null
2001-07-23,null,null,null,null,null,null
2001-07-30,null,null,null,null,null,null
2001-08-06,null,null,null,null,null,null
2001-08-13,null,null,null,null,null,null
2001-08-20,null,null,null,null,null,null
2001-08-27,0.610000,0.650000,0.600000,0.650000,0.650000,29500
2001-09-03,null,null,null,null,null,null
2001-09-10,0.510000,0.510000,0.500000,0.500000,0.500000,3000
2001-09-17,null,null,null,null,null,null
2001-09-24,null,null,null,null,null,null
2001-10-01,null,null,null,null,null,null
2001-10-08,0.350000,0.450000,0.350000,0.450000,0.450000,11900
2001-10-15,null,null,null,null,null,null
2001-10-22,0.280000,0.280000,0.270000,0.270000,0.270000,7000
2001-10-29,null,null,null,null,null,null
2001-11-05,0.250000,0.280000,0.250000,0.280000,0.280000,80100
2001-11-12,null,null,null,null,null,null
2001-11-19,0.210000,0.350000,0.210000,0.250000,0.250000,208800
2001-11-26,0.270000,0.270000,0.250000,0.250000,0.250000,15000
2001-12-03,0.220000,0.250000,0.220000,0.250000,0.250000,12000
2001-12-10,0.250000,0.250000,0.220000,0.250000,0.250000,34500
2001-12-17,0.200000,0.250000,0.200000,0.210000,0.210000,33500
2001-12-24,null,null,null,null,null,null
2001-12-31,null,null,null,null,null,null
2002-01-07,null,null,null,null,null,null
2002-01-14,null,null,null,null,null,null
2002-01-21,null,null,null,null,null,null
2002-01-28,0.210000,0.240000,0.200000,0.240000,0.240000,38000
2002-02-04,null,null,null,null,null,null
2002-02-11,null,null,null,null,null,null
2002-02-18,0.200000,0.200000,0.180000,0.180000,0.180000,10000
2002-02-25,0.100000,0.180000,0.100000,0.110000,0.110000,102000
2002-03-04,0.190000,0.190000,0.180000,0.180000,0.180000,11000
2002-03-11,0.090000,0.100000,0.090000,0.100000,0.100000,20000
2002-03-18,0.150000,0.150000,0.110000,0.120000,0.120000,105500
