Date,Open,High,Low,Close,Adj Close,Volume
1988-01-04,5.125000,5.125000,4.937500,4.937500,1.270469,217600
1988-01-11,4.875000,5.187500,4.562500,5.125000,1.318715,274800
1988-01-18,5.062500,5.187500,4.875000,5.000000,1.286552,151000
1988-01-25,5.000000,5.125000,4.937500,5.000000,1.286552,148000
1988-02-01,5.000000,5.125000,4.937500,5.125000,1.318715,206800
1988-02-08,5.062500,5.125000,4.937500,5.000000,1.286552,135400
1988-02-15,5.062500,5.125000,4.937500,4.937500,1.270469,132800
1988-02-22,5.062500,6.250000,5.062500,6.125000,1.576026,591600
1988-02-29,5.937500,6.000000,5.562500,5.875000,1.511698,390600
1988-03-07,5.812500,5.875000,5.625000,5.750000,1.479534,207600
1988-03-14,5.687500,5.812500,5.375000,5.437500,1.399125,349800
1988-03-21,5.312500,5.562500,5.312500,5.562500,1.431289,165400
1988-03-28,5.562500,5.562500,5.250000,5.312500,1.366961,106200
1988-04-04,5.437500,5.500000,5.250000,5.375000,1.383042,152000
1988-04-11,5.375000,5.437500,5.250000,5.312500,1.366961,121400
1988-04-18,5.375000,5.687500,5.375000,5.500000,1.415206,267400
1988-04-25,5.562500,5.562500,5.312500,5.375000,1.383042,115200
1988-05-02,5.437500,5.500000,5.250000,5.312500,1.366961,127400
1988-05-09,5.250000,5.312500,5.000000,5.125000,1.318715,141800
1988-05-16,5.125000,5.125000,4.875000,4.937500,1.270469,126400
1988-05-23,4.875000,5.062500,4.812500,4.812500,1.238306,95800
1988-05-30,4.875000,5.250000,4.875000,5.125000,1.318715,154800
1988-06-06,5.250000,5.375000,5.125000,5.125000,1.318715,171400
1988-06-13,5.187500,5.375000,5.187500,5.187500,1.334797,297600
1988-06-20,5.250000,5.312500,5.125000,5.250000,1.350879,148600
1988-06-27,5.250000,5.250000,4.937500,5.062500,1.302634,116600
1988-07-04,5.062500,5.125000,4.937500,5.000000,1.286552,116600
1988-07-11,5.000000,5.125000,4.937500,5.000000,1.286552,132200
1988-07-18,4.937500,5.000000,4.812500,4.937500,1.270469,102400
1988-07-25,4.937500,4.937500,4.625000,4.625000,1.190060,141400
1988-08-01,4.625000,4.937500,4.625000,4.750000,1.222224,170800
1988-08-08,4.750000,4.812500,4.437500,4.562500,1.173978,189800
1988-08-15,4.500000,4.687500,4.375000,4.500000,1.157897,130600
1988-08-22,4.500000,4.500000,4.312500,4.437500,1.141814,135000
1988-08-29,4.437500,4.625000,4.375000,4.625000,1.190060,200000
1988-09-05,4.687500,4.812500,4.625000,4.750000,1.222224,175000
1988-09-12,4.750000,4.812500,4.625000,4.750000,1.222224,164800
1988-09-19,4.750000,4.937500,4.750000,4.875000,1.255057,117200
1988-09-26,4.875000,4.875000,4.812500,4.812500,1.238967,115000
1988-10-03,4.812500,4.875000,4.812500,4.812500,1.238967,214600
1988-10-10,4.875000,4.875000,4.812500,4.812500,1.238967,172400
1988-10-17,4.812500,4.937500,4.812500,4.812500,1.238967,304800
1988-10-24,4.812500,4.875000,4.812500,4.812500,1.238967,288000
1988-10-31,4.875000,4.875000,4.750000,4.812500,1.238967,272400
1988-11-07,4.750000,5.000000,4.687500,4.937500,1.271148,238400
1988-11-14,5.000000,5.187500,4.812500,4.937500,1.271148,462600
1988-11-21,4.812500,4.875000,4.562500,4.750000,1.222876,323000
1988-11-28,4.812500,5.000000,4.562500,4.687500,1.206785,218600
1988-12-05,4.625000,4.875000,4.625000,4.750000,1.222876,217400
1988-12-12,4.750000,4.875000,4.687500,4.812500,1.238967,302600
1988-12-19,4.812500,4.875000,4.687500,4.812500,1.238967,260400
1988-12-26,4.812500,4.875000,4.750000,4.750000,1.222876,195400
1989-01-02,4.812500,4.937500,4.750000,4.875000,1.255057,167800
1989-01-09,4.937500,5.062500,4.875000,5.000000,1.287238,333400
1989-01-16,5.000000,5.000000,4.937500,5.000000,1.287238,163000
1989-01-23,5.000000,5.000000,4.750000,4.750000,1.222876,127400
1989-01-30,4.812500,4.875000,4.687500,4.875000,1.255057,220400
1989-02-06,4.812500,4.812500,4.687500,4.750000,1.222876,232000
1989-02-13,4.750000,4.875000,4.750000,4.875000,1.255057,170200
1989-02-20,4.812500,4.875000,4.625000,4.625000,1.190695,167600
1989-02-27,4.562500,4.625000,4.437500,4.562500,1.174605,255800
1989-03-06,4.562500,4.750000,4.562500,4.687500,1.206785,135000
1989-03-13,4.625000,4.687500,4.500000,4.500000,1.158514,253600
1989-03-20,4.437500,4.625000,4.437500,4.500000,1.158514,192000
1989-03-27,4.562500,4.625000,4.437500,4.562500,1.174605,93600
1989-04-03,4.562500,4.687500,4.500000,4.562500,1.174605,298200
1989-04-10,4.562500,4.750000,4.562500,4.687500,1.206785,227800
1989-04-17,4.625000,4.750000,4.562500,4.687500,1.206785,233600
1989-04-24,4.687500,4.687500,4.500000,4.625000,1.190695,269800
1989-05-01,4.562500,4.625000,4.562500,4.562500,1.174605,135200
1989-05-08,4.625000,4.875000,4.562500,4.812500,1.238967,248800
1989-05-15,4.812500,4.812500,4.500000,4.500000,1.158514,345600
1989-05-22,4.500000,4.562500,4.437500,4.500000,1.158514,121000
1989-05-29,4.437500,4.625000,4.437500,4.562500,1.174605,195400
1989-06-05,4.687500,4.687500,4.562500,4.625000,1.190695,248400
1989-06-12,4.625000,4.875000,4.625000,4.812500,1.238967,173000
1989-06-19,4.812500,5.250000,4.750000,5.187500,1.335510,235000
1989-06-26,5.250000,5.312500,4.875000,5.062500,1.303329,274400
1989-07-03,5.000000,5.375000,4.937500,5.375000,1.383781,132400
1989-07-10,5.437500,5.562500,5.375000,5.375000,1.383781,167600
1989-07-17,5.375000,5.375000,5.125000,5.250000,1.351600,177200
1989-07-24,5.250000,5.437500,5.250000,5.375000,1.383781,129400
1989-07-31,5.312500,5.562500,5.312500,5.500000,1.415962,233000
1989-08-07,5.562500,5.687500,5.500000,5.562500,1.432053,272200
1989-08-14,5.625000,5.687500,5.500000,5.562500,1.432053,141400
1989-08-21,5.500000,5.687500,5.500000,5.625000,1.448143,195000
1989-08-28,5.625000,5.812500,5.625000,5.625000,1.448143,258800
1989-09-04,5.687500,5.750000,5.562500,5.687500,1.464233,192400
1989-09-11,5.750000,5.812500,5.687500,5.687500,1.464233,291000
1989-09-18,5.750000,6.125000,5.625000,6.062500,1.560776,350000
1989-09-25,6.062500,6.250000,6.062500,6.125000,1.576867,566600
1989-10-02,6.125000,6.687500,6.000000,6.500000,1.673409,370400
1989-10-09,7.312500,7.750000,5.812500,6.250000,1.609048,1734200
1989-10-16,5.375000,6.500000,5.375000,6.312500,1.625138,649600
1989-10-23,6.250000,6.375000,5.687500,6.000000,1.544686,246600
1989-10-30,5.812500,5.937500,5.625000,5.625000,1.448143,211000
1989-11-06,5.687500,6.312500,5.500000,6.312500,1.625138,292600
1989-11-13,6.375000,6.375000,5.937500,6.125000,1.576867,258000
1989-11-20,6.062500,6.187500,5.875000,6.187500,1.592957,125000
1989-11-27,6.250000,6.750000,6.250000,6.437500,1.657318,359800
1989-12-04,6.437500,6.500000,6.375000,6.375000,1.641229,218800
1989-12-11,6.437500,6.500000,6.375000,6.437500,1.657318,280000
1989-12-18,6.500000,6.500000,6.250000,6.500000,1.673409,227400
1989-12-25,6.500000,7.937500,6.375000,7.562500,1.946947,1182000
1990-01-01,7.562500,7.562500,7.062500,7.062500,1.818224,595400
1990-01-08,7.125000,8.750000,7.000000,7.625000,1.963038,3820600
1990-01-15,7.375000,8.062500,7.312500,7.562500,1.946947,874200
1990-01-22,7.562500,7.625000,6.500000,7.125000,1.834314,810600
1990-01-29,7.250000,7.375000,6.875000,7.312500,1.882586,459400
1990-02-05,7.312500,7.625000,7.125000,7.312500,1.882586,598400
1990-02-12,7.375000,7.375000,6.750000,7.000000,1.802133,411200
1990-02-19,7.062500,7.062500,6.750000,6.812500,1.753862,124600
1990-02-26,6.687500,6.687500,6.312500,6.562500,1.689500,293600
1990-03-05,6.562500,6.687500,6.437500,6.625000,1.705590,180600
1990-03-12,6.562500,6.625000,6.312500,6.562500,1.689500,117600
1990-03-19,6.562500,6.625000,6.437500,6.437500,1.657318,229800
1990-03-26,6.500000,6.500000,6.000000,6.250000,1.609048,180600
1990-04-02,6.187500,6.750000,6.062500,6.750000,1.737771,331400
1990-04-09,6.750000,6.875000,6.562500,6.687500,1.721681,113000
1990-04-16,6.750000,6.750000,6.250000,6.250000,1.609048,136600
1990-04-23,6.250000,6.312500,5.750000,5.937500,1.528595,178800
1990-04-30,5.875000,6.375000,5.625000,6.375000,1.641229,424200
1990-05-07,6.375000,7.250000,6.375000,7.062500,1.818224,560400
1990-05-14,7.187500,7.375000,7.062500,7.062500,1.818224,433200
1990-05-21,7.062500,7.125000,6.750000,6.937500,1.786043,250000
1990-05-28,7.125000,7.375000,7.125000,7.187500,1.850405,285800
1990-06-04,7.187500,7.187500,6.937500,6.937500,1.786043,171800
1990-06-11,6.937500,7.312500,6.812500,7.125000,1.834314,169000
1990-06-18,7.062500,7.312500,7.000000,7.250000,1.866495,313600
1990-06-25,7.250000,7.312500,7.187500,7.250000,1.866495,129800
1990-07-02,7.312500,7.500000,7.250000,7.500000,1.930856,251400
1990-07-09,7.500000,7.562500,7.312500,7.375000,1.898677,366800
1990-07-16,7.312500,7.500000,7.312500,7.312500,1.882586,322000
1990-07-23,7.312500,7.375000,7.062500,7.062500,1.818224,254800
1990-07-30,7.125000,7.375000,6.875000,6.875000,1.769952,223200
1990-08-06,6.875000,6.875000,6.500000,6.812500,1.753862,180400
1990-08-13,6.750000,6.812500,6.375000,6.437500,1.657318,160600
1990-08-20,6.375000,6.500000,5.937500,6.000000,1.544686,333400
1990-08-27,6.625000,6.687500,6.250000,6.312500,1.625138,172000
1990-09-03,6.375000,6.625000,6.312500,6.500000,1.673409,87000
1990-09-10,6.562500,6.562500,6.187500,6.250000,1.609048,69600
1990-09-17,6.312500,6.375000,6.250000,6.250000,1.609048,74800
1990-09-24,6.250000,6.250000,5.437500,5.625000,1.448143,180200
1990-10-01,5.625000,6.062500,5.625000,5.875000,1.518834,165200
1990-10-08,6.000000,6.000000,5.812500,5.875000,1.518834,108000
1990-10-15,5.937500,6.250000,5.937500,6.250000,1.615780,99200
1990-10-22,6.250000,6.312500,6.125000,6.187500,1.599622,44000
1990-10-29,6.250000,6.312500,6.000000,6.000000,1.551149,108200
1990-11-05,6.000000,6.250000,6.000000,6.125000,1.583465,91200
1990-11-12,6.187500,6.625000,6.187500,6.312500,1.631938,212400
1990-11-19,6.375000,6.437500,6.250000,6.312500,1.631938,52200
1990-11-26,6.312500,6.375000,6.062500,6.125000,1.583465,128200
1990-12-03,6.125000,6.312500,6.000000,6.250000,1.615780,189200
1990-12-10,6.250000,6.250000,6.062500,6.062500,1.567306,138400
1990-12-17,6.125000,6.187500,5.937500,5.937500,1.534991,160200
1990-12-24,5.937500,5.937500,5.875000,5.937500,1.534991,58800
1990-12-31,5.937500,6.062500,5.875000,5.937500,1.534991,111600
1991-01-07,5.875000,6.062500,5.812500,6.000000,1.551149,100400
1991-01-14,5.875000,6.250000,5.750000,6.062500,1.567306,191400
1991-01-21,6.125000,6.375000,5.812500,6.375000,1.648096,144600
1991-01-28,6.312500,6.312500,5.937500,6.187500,1.599622,239000
1991-02-04,6.312500,6.750000,6.187500,6.562500,1.696569,224200
1991-02-11,6.625000,7.062500,6.562500,7.062500,1.825832,439000
1991-02-18,7.062500,7.062500,6.750000,6.812500,1.761200,144200
1991-02-25,6.812500,6.937500,6.687500,6.812500,1.761200,110200
1991-03-04,6.812500,7.125000,6.750000,7.125000,1.841989,188600
1991-03-11,7.062500,7.187500,6.937500,7.125000,1.841989,262200
1991-03-18,7.062500,7.250000,6.812500,6.875000,1.777358,276600
1991-03-25,6.937500,6.937500,6.625000,6.625000,1.712727,162600
1991-04-01,6.687500,6.812500,6.500000,6.500000,1.680411,157800
1991-04-08,6.500000,6.750000,6.375000,6.687500,1.728885,119000
1991-04-15,6.625000,6.625000,6.312500,6.437500,1.664253,180200
1991-04-22,6.375000,6.375000,5.937500,6.062500,1.567306,183600
1991-04-29,6.062500,6.187500,5.937500,6.062500,1.567306,79600
1991-05-06,6.125000,6.312500,6.062500,6.125000,1.583465,82600
1991-05-13,6.062500,6.125000,5.875000,6.000000,1.551149,128800
1991-05-20,6.125000,6.187500,5.937500,6.000000,1.551149,213600
1991-05-27,6.062500,6.437500,6.062500,6.437500,1.664253,125000
1991-06-03,6.375000,6.437500,6.125000,6.187500,1.599622,163400
1991-06-10,6.187500,6.187500,6.000000,6.125000,1.583465,108600
1991-06-17,6.187500,6.312500,5.875000,6.062500,1.567306,116400
1991-06-24,6.000000,6.125000,5.875000,5.937500,1.534991,86000
1991-07-01,6.000000,6.062500,5.937500,6.000000,1.551149,33400
