Date,Open,High,Low,Close,Adj Close,Volume
2005-07-18,1.083744,1.379310,1.073892,1.073892,0.981344,736800
2005-07-25,1.231527,1.231527,1.182266,1.182266,1.080379,52700
2005-08-01,1.231527,1.280788,1.133005,1.231527,1.125395,283100
2005-08-08,1.231527,1.527094,1.201970,1.497537,1.368480,531100
2005-08-15,1.517241,1.527094,1.310345,1.399015,1.278449,865000
2005-08-22,1.399015,1.399015,1.211823,1.280788,1.170411,472700
2005-08-29,1.310345,1.674877,1.280788,1.625616,1.485521,1135700
2005-09-05,1.655172,1.655172,1.330049,1.517241,1.386487,345100
2005-09-12,1.527094,1.625616,1.477833,1.625616,1.485521,762700
2005-09-19,1.625616,1.625616,1.349754,1.418719,1.296455,158900
2005-09-26,1.477833,1.477833,1.280788,1.418719,1.296455,847800
2005-10-03,1.379310,1.379310,1.142857,1.231527,1.125395,352800
2005-10-10,1.182266,1.280788,1.083744,1.211823,1.107389,172100
2005-10-17,1.182266,1.182266,0.985222,1.034483,0.945332,418800
2005-10-24,1.034483,1.083744,0.886699,0.945813,0.864303,316900
2005-10-31,0.955665,1.083744,0.906404,1.083744,0.990348,745900
2005-11-07,1.103448,1.103448,0.916256,0.965517,0.882310,687400
2005-11-14,0.935961,1.064039,0.896552,1.044335,0.954335,241800
2005-11-21,1.083744,1.083744,0.886699,0.985222,0.900316,52300
2005-11-28,0.985222,1.014778,0.719212,0.748768,0.684240,923600
2005-12-05,0.768473,0.827586,0.699507,0.738916,0.675237,307300
2005-12-12,0.768473,0.788177,0.699507,0.788177,0.720253,178700
2005-12-19,0.768473,0.788177,0.620690,0.679803,0.621218,539800
2005-12-26,0.689655,0.699507,0.630542,0.650246,0.594209,176900
2006-01-02,0.650246,0.886699,0.650246,0.788177,0.720253,258100
2006-01-09,0.837438,1.064039,0.798030,0.935961,0.855300,885800
2006-01-16,0.886699,1.172414,0.886699,1.054187,0.963338,1031700
2006-01-23,1.133005,1.133005,0.788177,0.945813,0.864303,1439200
2006-01-30,0.985222,1.034483,0.926108,0.935961,0.855300,869800
2006-02-06,0.945813,0.945813,0.847291,0.866995,0.792278,512000
2006-02-13,0.866995,0.886699,0.738916,0.798030,0.729256,647700
2006-02-20,0.738916,0.788177,0.689655,0.689655,0.630221,559900
2006-02-27,0.699507,0.837438,0.699507,0.827586,0.756265,890400
2006-03-06,0.788177,0.837438,0.788177,0.788177,0.720253,149200
2006-03-13,0.788177,0.827586,0.788177,0.788177,0.720253,208000
2006-03-20,0.788177,0.827586,0.709360,0.738916,0.675237,643200
2006-03-27,0.738916,0.738916,0.679803,0.709360,0.648228,254600
2006-04-03,0.689655,0.788177,0.689655,0.788177,0.720253,362700
2006-04-10,0.768473,0.788177,0.729064,0.778325,0.711250,458400
2006-04-17,0.748768,0.955665,0.748768,0.916256,0.837294,604300
2006-04-24,0.985222,0.985222,0.827586,0.866995,0.792278,874300
2006-05-01,0.886699,0.886699,0.758621,0.778325,0.711250,493400
2006-05-08,0.788177,0.886699,0.788177,0.807882,0.738259,2066600
2006-05-15,0.788177,0.837438,0.709360,0.729064,0.666234,611200
2006-05-22,0.738916,0.738916,0.689655,0.689655,0.630221,124700
2006-05-29,0.709360,0.788177,0.660099,0.738916,0.675237,414200
2006-06-05,0.729064,0.886699,0.660099,0.886699,0.810284,724900
2006-06-12,0.758621,0.876847,0.669951,0.748768,0.684240,421100
2006-06-19,0.748768,0.798030,0.689655,0.798030,0.729256,204000
2006-06-26,0.798030,0.837438,0.768473,0.778325,0.711250,612400
2006-07-03,0.807882,0.817734,0.709360,0.738916,0.675237,882100
2006-07-10,0.729064,0.748768,0.679803,0.689655,0.630221,359600
2006-07-17,0.709360,0.709360,0.630542,0.689655,0.630221,1324300
2006-07-24,0.689655,0.778325,0.679803,0.738916,0.675237,592700
2006-07-31,0.738916,0.758621,0.679803,0.679803,0.621218,780600
2006-08-07,0.679803,0.709360,0.669951,0.669951,0.612215,207200
2006-08-14,0.679803,0.679803,0.620690,0.640394,0.585205,386700
2006-08-21,0.650246,0.679803,0.571429,0.640394,0.585205,717000
2006-08-28,0.640394,0.719212,0.610837,0.719212,0.657231,237900
2006-09-04,0.709360,0.738916,0.650246,0.650246,0.594209,205100
2006-09-11,0.640394,0.669951,0.630542,0.630542,0.576202,110400
2006-09-18,0.620690,0.689655,0.591133,0.630542,0.576202,3765700
2006-09-25,0.600985,0.630542,0.492611,0.561576,0.513180,2755100
2006-10-02,0.551724,0.591133,0.443350,0.472906,0.432152,1821900
2006-10-09,0.482759,0.492611,0.443350,0.472906,0.432152,354500
2006-10-16,0.492611,0.492611,0.463054,0.463054,0.423149,586400
2006-10-23,0.463054,0.512315,0.433498,0.512315,0.468164,618200
2006-10-30,0.482759,0.541872,0.472906,0.532020,0.486171,285800
2006-11-06,0.512315,0.581281,0.502463,0.512315,0.468164,600100
2006-11-13,0.512315,0.541872,0.492611,0.532020,0.486171,1307900
2006-11-20,0.532020,0.551724,0.492611,0.541872,0.495174,337800
2006-11-27,0.502463,0.591133,0.492611,0.581281,0.531186,339100
2006-12-04,0.610837,0.640394,0.482759,0.492611,0.450158,489000
2006-12-11,0.522167,0.541872,0.463054,0.512315,0.468164,439500
2006-12-18,0.522167,0.541872,0.482759,0.492611,0.450158,920800
2006-12-25,0.492611,0.512315,0.463054,0.482759,0.441155,386700
2007-01-01,0.492611,0.502463,0.463054,0.492611,0.450158,2289800
2007-01-08,0.492611,0.502463,0.472906,0.482759,0.441155,389800
2007-01-15,0.492611,0.532020,0.463054,0.512315,0.468164,643100
2007-01-22,0.512315,0.581281,0.492611,0.581281,0.531186,752700
2007-01-29,0.541872,0.610837,0.541872,0.561576,0.513180,424700
2007-02-05,0.600985,0.600985,0.394089,0.453202,0.414145,1706400
2007-02-12,0.423645,0.463054,0.413793,0.443350,0.405142,764100
2007-02-19,0.472906,0.472906,0.394089,0.394089,0.360126,1456500
2007-02-26,0.403941,0.433498,0.354680,0.354680,0.324114,379700
2007-03-05,0.354680,0.364532,0.315271,0.315271,0.288101,351500
2007-03-12,0.315271,0.334975,0.236453,0.256158,0.234082,499800
2007-03-19,0.256158,0.334975,0.246305,0.256158,0.234082,607000
2007-03-26,0.246305,0.295567,0.246305,0.266010,0.243085,391700
2007-04-02,0.266010,0.285714,0.256158,0.285714,0.261092,92800
2007-04-09,0.256158,0.285714,0.187192,0.197044,0.180063,964700
2007-04-16,0.197044,0.226601,0.098522,0.187192,0.171060,4740600
2007-04-23,0.187192,0.206897,0.177340,0.187192,0.171060,2055500
2007-04-30,0.187192,0.187192,0.157635,0.167488,0.153054,949100
2007-05-07,0.177340,0.187192,0.177340,0.177340,0.162057,444600
2007-05-14,0.177340,0.206897,0.167488,0.187192,0.171060,748400
2007-05-21,0.197044,0.197044,0.177340,0.197044,0.180063,227900
2007-05-28,0.197044,0.197044,0.177340,0.177340,0.162057,156700
2007-06-04,0.197044,0.197044,0.177340,0.177340,0.162057,204800
2007-06-11,0.177340,0.197044,0.177340,0.197044,0.180063,834600
