Date,Open,High,Low,Close,Adj Close,Volume
2005-08-22,4.360000,6.120000,4.360000,4.960000,4.960000,385100
2005-08-29,5.160000,5.160000,4.480000,4.560000,4.560000,68300
2005-09-05,4.560000,5.080000,4.520000,4.800000,4.800000,68100
2005-09-12,4.800000,4.960000,4.680000,4.720000,4.720000,23200
2005-09-19,4.720000,4.800000,4.000000,4.280000,4.280000,29300
2005-09-26,4.360000,4.520000,4.160000,4.240000,4.240000,71300
2005-10-03,4.560000,4.600000,4.320000,4.400000,4.400000,13800
2005-10-10,4.320000,4.360000,3.960000,4.360000,4.360000,21400
2005-10-17,4.480000,4.680000,4.160000,4.360000,4.360000,6900
2005-10-24,4.360000,4.360000,4.160000,4.160000,4.160000,5400
2005-10-31,4.160000,4.560000,4.160000,4.400000,4.400000,6800
2005-11-07,4.320000,4.440000,3.680000,3.920000,3.920000,36800
2005-11-14,4.000000,4.160000,3.800000,3.880000,3.880000,8800
2005-11-21,3.800000,4.280000,3.720000,4.000000,4.000000,30300
2005-11-28,4.520000,4.520000,3.800000,3.880000,3.880000,16700
2005-12-05,4.520000,4.520000,3.680000,3.680000,3.680000,14400
2005-12-12,3.720000,3.840000,3.600000,3.840000,3.840000,9800
2005-12-19,3.720000,3.920000,3.680000,3.800000,3.800000,12300
2005-12-26,3.920000,3.920000,3.720000,3.800000,3.800000,6400
2006-01-02,3.960000,4.680000,3.600000,4.520000,4.520000,26000
2006-01-09,4.680000,4.880000,4.200000,4.200000,4.200000,16300
2006-01-16,4.240000,4.520000,4.000000,4.200000,4.200000,17000
2006-01-23,4.400000,4.400000,3.960000,4.040000,4.040000,14700
2006-01-30,4.560000,4.560000,4.000000,4.240000,4.240000,8100
2006-02-06,4.200000,4.400000,4.200000,4.200000,4.200000,13500
2006-02-13,4.080000,4.160000,4.000000,4.040000,4.040000,8500
2006-02-20,4.000000,4.120000,3.880000,4.000000,4.000000,5300
2006-02-27,3.880000,4.160000,3.840000,4.160000,4.160000,8000
2006-03-06,4.000000,4.240000,3.760000,4.160000,4.160000,10900
2006-03-13,4.160000,4.160000,3.920000,4.000000,4.000000,15100
2006-03-20,4.000000,4.000000,3.600000,3.840000,3.840000,7300
2006-03-27,3.200000,4.400000,3.200000,4.120000,4.120000,33900
2006-04-03,4.120000,4.400000,3.920000,3.920000,3.920000,3300
2006-04-10,4.120000,4.800000,4.000000,4.320000,4.320000,42400
2006-04-17,4.520000,4.520000,4.000000,4.040000,4.040000,24300
2006-04-24,3.920000,4.080000,3.600000,3.800000,3.800000,21200
2006-05-01,3.800000,4.000000,3.720000,3.960000,3.960000,2300
2006-05-08,3.960000,4.000000,3.680000,3.680000,3.680000,7400
2006-05-15,3.680000,3.760000,3.520000,3.760000,3.760000,2400
2006-05-22,3.680000,3.800000,3.560000,3.560000,3.560000,2100
2006-05-29,4.000000,4.000000,3.520000,3.600000,3.600000,3700
2006-06-05,3.600000,3.600000,3.400000,3.400000,3.400000,128400
2006-06-12,3.400000,3.600000,3.200000,3.600000,3.600000,7000
2006-06-19,3.600000,3.840000,3.600000,3.840000,3.840000,143500
2006-06-26,3.840000,4.400000,3.760000,4.400000,4.400000,511500
2006-07-03,4.400000,4.400000,4.160000,4.280000,4.280000,14200
2006-07-10,4.360000,4.360000,4.040000,4.120000,4.120000,11600
2006-07-17,4.000000,4.280000,3.280000,4.240000,4.240000,14100
2006-07-24,4.240000,4.240000,4.040000,4.120000,4.120000,7500
2006-07-31,4.080000,4.080000,4.040000,4.040000,4.040000,1400
