Date,Open,High,Low,Close,Adj Close,Volume
1990-03-26,11.900000,12.000000,11.700000,11.900000,11.262470,116000
1990-04-02,11.900000,12.100000,11.500000,11.550000,10.931221,204400
1990-04-09,11.400000,11.900000,11.400000,11.800000,11.167829,107400
1990-04-16,11.900000,12.700000,11.700000,12.000000,11.403501,622200
1990-04-23,12.300000,12.300000,11.900000,11.900000,11.308470,192000
1990-04-30,12.050000,12.100000,11.800000,11.950000,11.355986,199000
1990-05-07,12.000000,12.000000,11.700000,11.900000,11.308470,93400
1990-05-14,11.700000,11.900000,11.500000,11.700000,11.118412,162800
1990-05-21,11.500000,12.250000,11.500000,12.125000,11.522286,259400
1990-05-28,12.250000,13.500000,12.000000,13.312500,12.650758,211400
1990-06-04,13.500000,13.625000,13.250000,13.250000,12.591366,190400
1990-06-11,13.250000,13.375000,12.750000,12.875000,12.235008,108400
1990-06-18,13.125000,13.125000,11.875000,11.875000,11.284713,637000
1990-06-25,11.750000,12.000000,10.750000,11.000000,10.453208,370600
1990-07-02,11.000000,11.125000,10.375000,10.625000,10.096847,163800
1990-07-09,10.375000,11.875000,10.375000,11.687500,11.106533,332600
1990-07-16,11.875000,12.125000,10.750000,10.750000,10.215633,240200
1990-07-23,10.625000,10.875000,9.875000,10.000000,9.502916,186200
1990-07-30,10.000000,10.375000,9.250000,9.375000,8.908985,163000
1990-08-06,9.375000,9.750000,8.250000,8.250000,7.839906,100400
1990-08-13,8.250000,8.625000,7.625000,8.000000,7.602334,628600
1990-08-20,8.000000,8.125000,6.500000,7.000000,6.652041,584600
1990-08-27,7.125000,7.750000,6.875000,7.500000,7.127187,379200
1990-09-03,7.500000,7.500000,6.000000,6.250000,5.939323,371600
1990-09-10,6.000000,6.375000,5.250000,5.375000,5.107817,560600
1990-09-17,5.375000,5.625000,4.625000,4.625000,4.395099,493400
1990-09-24,4.625000,4.875000,3.625000,4.250000,4.038739,353800
1990-10-01,4.500000,5.375000,4.500000,5.000000,4.751458,728000
1990-10-08,5.000000,5.250000,4.125000,4.125000,3.919953,581600
1990-10-15,4.500000,4.625000,4.125000,4.500000,4.276313,197400
1990-10-22,4.375000,4.750000,3.750000,3.875000,3.682380,509000
1990-10-29,3.875000,4.125000,3.375000,3.875000,3.682380,296000
1990-11-05,3.875000,4.000000,3.625000,3.812500,3.622988,83000
1990-11-12,3.937500,5.875000,3.875000,4.750000,4.513885,760800
1990-11-19,5.125000,5.125000,4.375000,4.375000,4.157526,27600
1990-11-26,4.375000,4.625000,4.125000,4.500000,4.276313,131800
1990-12-03,4.500000,4.937500,4.375000,4.750000,4.513885,217400
1990-12-10,4.750000,4.875000,4.500000,4.687500,4.454493,261200
1990-12-17,4.625000,4.875000,4.625000,4.750000,4.513885,337600
1990-12-24,4.750000,5.000000,4.750000,5.000000,4.751458,93000
1990-12-31,5.000000,5.125000,4.500000,5.000000,4.751458,134000
1991-01-07,4.750000,4.875000,4.500000,4.625000,4.395099,104800
1991-01-14,4.625000,5.375000,4.625000,4.625000,4.395099,146600
1991-01-21,4.625000,5.500000,4.625000,5.250000,4.989032,85000
1991-01-28,5.250000,6.625000,5.250000,6.625000,6.295683,723200
1991-02-04,6.625000,7.000000,5.750000,5.875000,5.582963,453800
1991-02-11,5.875000,7.750000,5.875000,7.375000,7.008402,405800
1991-02-18,7.625000,7.687500,7.375000,7.625000,7.245975,369800
1991-02-25,7.625000,8.625000,7.375000,8.500000,8.077477,411000
1991-03-04,8.625000,8.750000,8.000000,8.375000,7.958692,399200
1991-03-11,8.250000,8.500000,7.750000,8.000000,7.602334,499200
1991-03-18,7.875000,7.875000,6.875000,7.125000,6.770828,56000
1991-03-25,7.125000,7.187500,6.937500,6.937500,6.592648,107600
1991-04-01,7.000000,7.000000,6.937500,6.937500,6.592648,16800
1991-04-08,6.937500,7.000000,6.562500,6.562500,6.236288,122400
1991-04-15,6.437500,7.375000,5.500000,7.375000,7.008402,541400
1991-04-22,7.375000,7.375000,6.500000,6.500000,6.176896,125000
1991-04-29,6.437500,6.562500,5.937500,6.187500,5.879930,233200
1991-05-06,6.125000,6.125000,5.937500,5.937500,5.642356,97000
1991-05-13,5.875000,5.875000,5.250000,5.250000,4.989032,71600
1991-05-20,5.187500,5.187500,4.500000,4.750000,4.560461,321000
1991-05-27,4.750000,6.562500,4.687500,6.437500,6.180625,697200
1991-06-03,6.437500,6.875000,6.000000,6.375000,6.120617,673200
1991-06-10,6.437500,6.625000,6.375000,6.375000,6.120617,70800
