Date,Open,High,Low,Close,Adj Close,Volume
1995-11-13,17.592592,17.592592,16.898148,17.129629,9.108426,9052800
1995-11-20,17.129629,18.981482,17.013889,18.981482,10.093121,2455000
1995-11-27,19.212963,19.675926,18.981482,19.444445,10.339295,2730100
1995-12-04,19.444445,21.643518,19.444445,21.643518,11.508622,1723700
1995-12-11,21.064816,22.106482,20.833334,22.106482,11.754792,1202600
1995-12-18,21.990740,23.379629,21.527779,23.148148,12.308682,1435400
1995-12-25,22.800926,23.611111,22.800926,23.379629,12.431773,782300
1996-01-01,23.379629,24.884260,23.148148,24.421297,12.985660,2446800
1996-01-08,24.421297,25.347221,23.032408,25.231482,13.416467,3171300
1996-01-15,25.694445,27.893518,25.694445,27.546297,14.647335,2144300
1996-01-22,27.662037,27.662037,26.620371,27.199074,14.462702,2206400
1996-01-29,27.314816,29.398148,27.199074,28.935184,15.385859,1308100
1996-02-05,29.050926,30.902779,28.703703,29.050926,15.447399,1369800
1996-02-12,28.819445,30.902779,28.587963,29.861111,15.878204,1608300
1996-02-19,29.513889,29.629629,28.356482,28.703703,15.262774,1294900
1996-02-26,28.935184,29.976852,28.703703,29.513889,15.693577,799500
1996-03-04,29.629629,30.208334,25.462963,26.388889,14.031900,508800
1996-03-11,25.694445,29.282408,25.694445,28.935184,15.385859,1054400
1996-03-18,29.282408,29.745371,28.703703,29.050926,15.447399,872800
1996-03-25,29.050926,29.050926,28.587963,28.587963,15.201223,433200
1996-04-01,29.166666,31.365740,28.703703,31.250000,16.616724,477500
1996-04-08,30.324074,31.481482,30.092592,31.250000,16.616724,698700
1996-04-15,31.250000,31.250000,30.439816,30.555555,16.247465,566100
1996-04-22,30.902779,31.250000,30.324074,31.250000,16.616724,657600
1996-04-29,31.250000,31.597221,27.430555,27.662037,14.708882,874500
1996-05-06,28.125000,30.092592,28.125000,29.282408,15.570482,902000
1996-05-13,29.050926,29.166666,28.587963,28.819445,15.324311,242100
1996-05-20,28.587963,28.819445,28.240740,28.472221,15.139679,435100
1996-05-27,28.356482,28.703703,28.240740,28.240740,15.016599,580700
1996-06-03,28.125000,28.125000,26.388889,26.736111,14.216530,772700
1996-06-10,26.851852,27.546297,24.652779,26.041666,13.847270,699000
1996-06-17,26.157408,26.504629,25.925926,26.157408,13.964682,5652500
1996-06-24,26.851852,28.125000,26.851852,27.546297,14.706171,383600
1996-07-01,27.546297,27.777779,26.157408,26.504629,14.150056,376400
1996-07-08,26.967592,28.009260,26.967592,27.083334,14.459009,281300
1996-07-15,27.083334,27.083334,25.578703,26.736111,14.273641,466600
1996-07-22,26.504629,26.620371,25.462963,25.694445,13.717523,387900
1996-07-29,24.884260,27.546297,24.189816,27.199074,14.520799,716500
1996-08-05,27.083334,27.083334,25.462963,25.578703,13.655726,239100
1996-08-12,25.578703,25.578703,24.768518,25.000000,13.346781,284700
1996-08-19,25.231482,26.736111,25.231482,26.504629,14.150056,197800
1996-08-26,26.388889,26.736111,25.810184,25.810184,13.779311,177000
1996-09-02,25.578703,26.273148,25.578703,26.273148,14.026470,90000
1996-09-09,26.157408,26.851852,25.694445,26.851852,14.335428,778800
1996-09-16,26.967592,27.546297,26.967592,27.546297,14.706171,491200
1996-09-23,27.314816,28.703703,27.199074,28.703703,15.324075,271100
1996-09-30,28.472221,30.902779,28.472221,29.629629,15.818402,824500
1996-10-07,29.513889,29.513889,27.430555,28.125000,15.015127,511200
1996-10-14,28.240740,28.703703,27.662037,28.703703,15.324075,474300
1996-10-21,28.356482,28.587963,27.777779,27.777779,14.829753,239100
1996-10-28,27.777779,28.125000,27.662037,28.125000,15.015127,273400
1996-11-04,28.356482,31.365740,28.356482,31.365740,16.745266,345200
1996-11-11,31.134260,34.143520,29.976852,33.680557,17.981077,491400
1996-11-18,32.638889,32.754631,29.513889,30.555555,16.312727,779300
1996-11-25,30.787037,30.902779,30.092592,30.439816,16.250937,483300
1996-12-02,30.671297,33.912037,30.671297,32.523148,17.363167,382500
1996-12-09,32.523148,32.870369,30.092592,31.018518,16.559887,1314200
1996-12-16,31.018518,32.638889,30.787037,32.523148,17.363167,172700
1996-12-23,32.754631,32.754631,32.175926,32.175926,17.177795,22900
1996-12-30,32.291668,33.680557,31.828703,33.564816,17.919283,246600
1997-01-06,33.564816,33.912037,32.870369,33.101852,17.672123,286600
1997-01-13,32.870369,32.986111,30.902779,31.597221,16.868839,465200
1997-01-20,32.638889,33.101852,31.597221,31.828703,16.992420,429900
1997-01-27,31.828703,33.564816,31.712963,33.564816,17.919283,246000
1997-02-03,33.564816,33.564816,31.712963,32.754631,17.486752,196200
1997-02-10,32.986111,33.217594,32.523148,32.638889,17.424957,213500
1997-02-17,32.523148,32.523148,31.597221,31.597221,16.868839,176800
1997-02-24,31.712963,32.407406,31.481482,31.828703,16.992420,259300
1997-03-03,31.828703,31.828703,31.250000,31.712963,16.930641,266500
