Date,Open,High,Low,Close,Adj Close,Volume
2003-07-14,2.490000,3.180000,2.490000,3.100000,3.100000,826800
2003-07-21,3.230000,3.230000,2.800000,2.990000,2.990000,338400
2003-07-28,3.000000,3.000000,2.700000,2.860000,2.860000,102100
2003-08-04,2.940000,3.150000,2.850000,2.990000,2.990000,189800
2003-08-11,3.000000,3.150000,2.900000,3.060000,3.060000,232600
2003-08-18,3.100000,3.500000,3.000000,3.450000,3.450000,461900
2003-08-25,3.460000,3.500000,3.370000,3.500000,3.500000,366300
2003-09-01,3.500000,4.100000,3.500000,3.800000,3.800000,1418400
2003-09-08,3.840000,3.840000,3.020000,3.260000,3.260000,689300
2003-09-15,3.260000,3.660000,3.250000,3.370000,3.370000,473600
2003-09-22,3.300000,3.450000,3.220000,3.250000,3.250000,297900
2003-09-29,3.390000,3.400000,3.250000,3.300000,3.300000,531000
2003-10-06,3.350000,3.450000,3.300000,3.450000,3.450000,137900
2003-10-13,3.490000,3.490000,3.250000,3.370000,3.370000,69600
2003-10-20,3.390000,3.390000,2.500000,3.270000,3.270000,261700
2003-10-27,3.300000,3.460000,3.220000,3.260000,3.260000,207200
2003-11-03,3.380000,3.450000,3.250000,3.400000,3.400000,227000
2003-11-10,3.400000,3.400000,3.040000,3.200000,3.200000,119500
2003-11-17,3.200000,3.300000,3.050000,3.050000,3.050000,134700
2003-11-24,3.050000,3.140000,2.950000,3.100000,3.100000,398800
2003-12-01,3.050000,3.060000,2.880000,2.970000,2.970000,234700
2003-12-08,3.000000,3.040000,2.810000,2.840000,2.840000,361900
2003-12-15,2.820000,2.980000,2.650000,2.860000,2.860000,386100
2003-12-22,2.830000,3.000000,2.820000,2.820000,2.820000,247000
2003-12-29,2.820000,3.100000,2.750000,2.980000,2.980000,157600
2004-01-05,2.720000,3.040000,2.650000,2.930000,2.930000,1904900
2004-01-12,3.000000,3.040000,2.760000,2.890000,2.890000,281100
2004-01-19,2.880000,2.910000,2.800000,2.900000,2.900000,197500
2004-01-26,2.900000,2.900000,2.650000,2.750000,2.750000,280500
2004-02-02,2.710000,2.780000,2.650000,2.780000,2.780000,147400
2004-02-09,2.770000,2.780000,2.600000,2.750000,2.750000,143600
2004-02-16,2.730000,2.890000,2.700000,2.790000,2.790000,225600
