Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,1.863450,2.204325,1.863450,2.124788,0.311280,1910600
1980-03-24,2.102062,2.102062,1.749825,2.033887,0.297964,1177400
1980-03-31,2.033887,2.192962,2.022525,2.181600,0.319604,506600
1980-04-07,2.181600,2.272500,1.977075,2.158875,0.316274,731800
1980-04-14,2.158875,2.170238,1.942987,1.954350,0.286312,522600
1980-04-21,1.942987,2.102062,1.863450,2.022525,0.296299,560200
1980-04-28,2.022525,2.033887,1.818000,1.840725,0.269666,605200
1980-05-05,1.840725,1.874812,1.749825,1.818000,0.266336,1294200
1980-05-12,1.818000,2.295225,1.806638,2.192962,0.321268,1750400
1980-05-19,2.192962,2.249775,2.113425,2.238413,0.327927,980600
1980-05-26,2.238413,2.272500,2.147512,2.227050,0.326262,640800
1980-06-02,2.215688,2.215688,1.965713,1.999800,0.292970,1297200
1980-06-09,2.011163,2.158875,2.011163,2.113425,0.309616,922000
1980-06-16,2.113425,2.329313,2.079338,2.295225,0.336250,1414400
1980-06-23,2.295225,2.567925,2.283863,2.420213,0.354560,1526200
1980-06-30,2.420213,2.545200,2.272500,2.522475,0.369542,787000
1980-07-07,2.522475,2.567925,2.431575,2.477025,0.362883,1178400
1980-07-14,2.477025,2.954250,2.477025,2.897438,0.424474,2369400
1980-07-21,2.886075,2.942888,2.772450,2.886075,0.422809,1622800
1980-07-28,2.886075,3.022425,2.829262,2.908800,0.426138,918000
1980-08-04,2.908800,3.033787,2.795175,2.908800,0.426138,1500800
1980-08-11,2.920162,3.431475,2.920162,3.386025,0.496051,1451200
1980-08-18,3.363300,3.363300,3.067875,3.363300,0.492722,1344800
1980-08-25,3.329212,3.329212,3.056513,3.181500,0.466089,956000
1980-09-01,3.192863,3.351938,3.147413,3.192863,0.467753,437000
1980-09-08,3.192863,3.567825,2.999700,3.533737,0.517691,1446800
1980-09-15,3.533737,3.829163,3.522375,3.749625,0.549319,1435800
1980-09-22,3.749625,3.772350,3.340575,3.363300,0.492722,1159600
1980-09-29,3.329212,3.670088,3.204225,3.636000,0.532673,972600
1980-10-06,3.647362,3.806437,3.556463,3.590550,0.526014,673400
1980-10-13,3.590550,3.817800,3.567825,3.749625,0.549319,1030400
1980-10-20,3.749625,3.988237,3.726900,3.840525,0.562635,1748200
1980-10-27,3.840525,4.135950,3.636000,4.090500,0.599257,758200
1980-11-03,4.249575,5.067675,4.249575,4.726800,0.692475,1573000
1980-11-10,4.772250,5.363100,4.772250,5.204025,0.762388,1266000
1980-11-17,5.226750,5.590350,4.840425,4.999500,0.732425,1637400
1980-11-24,4.999500,5.226750,4.726800,5.135850,0.752400,702600
1980-12-01,5.135850,5.135850,4.704075,4.794975,0.702462,797600
1980-12-08,4.681350,4.817700,4.295025,4.567725,0.669170,1047200
1980-12-15,4.567725,4.954050,4.363200,4.681350,0.685816,1988600
1980-12-22,4.681350,4.772250,4.522275,4.545000,0.665841,518400
1980-12-29,4.545000,4.863150,4.522275,4.863150,0.712450,689800
1981-01-05,4.885875,5.067675,4.090500,4.090500,0.599257,1514800
1981-01-12,4.249575,4.840425,4.249575,4.499550,0.659182,893000
1981-01-19,4.499550,4.613175,4.226850,4.272300,0.625891,549800
1981-01-26,4.272300,4.340475,4.045050,4.226850,0.619232,1247400
1981-02-02,4.226850,4.272300,3.999600,4.272300,0.625891,606000
1981-02-09,4.272300,4.340475,4.067775,4.090500,0.599257,335200
1981-02-16,4.090500,4.181400,3.726900,3.908700,0.572623,589600
1981-02-23,3.908700,4.340475,3.908700,4.317750,0.632549,566200
1981-03-02,4.317750,4.499550,4.067775,4.226850,0.619232,461000
1981-03-09,4.226850,4.476825,4.135950,4.295025,0.629220,470800
1981-03-16,4.317750,4.431375,4.226850,4.363200,0.639207,923200
1981-03-23,4.385925,4.658625,4.385925,4.499550,0.659182,925000
1981-03-30,4.499550,4.590450,4.363200,4.363200,0.639207,364600
1981-04-06,4.317750,4.499550,4.135950,4.431375,0.649195,739800
1981-04-13,4.431375,4.476825,4.295025,4.317750,0.632549,436600
1981-04-20,4.317750,4.385925,4.090500,4.113225,0.602586,959000
1981-04-27,4.113225,4.158675,3.954150,3.976875,0.582610,593200
1981-05-04,3.976875,4.045050,3.840525,3.954150,0.579282,520400
1981-05-11,3.954150,4.135950,3.863250,3.976875,0.582610,295000
1981-05-18,3.954150,4.158675,3.863250,4.022325,0.589269,1152000
1981-05-25,4.022325,4.067775,3.908700,3.999600,0.585940,932800
1981-06-01,3.999600,4.022325,3.726900,3.817800,0.559306,808600
1981-06-08,3.817800,4.499550,3.726900,4.408650,0.645866,984200
1981-06-15,4.408650,4.567725,4.022325,4.090500,0.599257,914000
1981-06-22,4.090500,4.476825,4.090500,4.226850,0.619232,767400
1981-06-29,4.226850,4.317750,4.067775,4.158675,0.609244,407000
1981-07-06,4.135950,4.340475,4.022325,4.226850,0.619232,345400
1981-07-13,4.226850,4.226850,3.908700,3.999600,0.585940,1211000
1981-07-20,3.999600,4.090500,3.863250,3.999600,0.585940,239600
1981-07-27,3.999600,4.067775,3.954150,4.045050,0.592598,407800
1981-08-03,4.045050,4.067775,3.908700,3.976875,0.582610,775200
1981-08-10,3.976875,4.022325,3.817800,3.840525,0.562635,417600
1981-08-17,3.840525,3.885975,3.636000,3.795075,0.555977,470800
1981-08-24,3.704175,3.704175,3.317850,3.363300,0.492722,481600
1981-08-31,3.363300,3.454200,3.181500,3.408750,0.499381,452200
1981-09-07,3.386025,3.386025,3.045150,3.113325,0.456101,693800
1981-09-14,3.113325,3.136050,3.022425,3.090600,0.452772,727400
1981-09-21,3.022425,3.090600,2.658825,2.727000,0.399504,496000
1981-09-28,2.727000,3.090600,2.590650,2.908800,0.426138,833000
1981-10-05,2.908800,2.954250,2.840625,2.908800,0.426138,371000
1981-10-12,2.908800,2.954250,2.727000,2.840625,0.416151,1248400
1981-10-19,2.840625,2.908800,2.727000,2.727000,0.399504,289800
1981-10-26,2.727000,2.908800,2.681550,2.795175,0.409492,366800
1981-11-02,2.886075,3.136050,2.817900,2.908800,0.426138,500200
1981-11-09,2.908800,2.954250,2.840625,2.886075,0.422809,220800
1981-11-16,2.886075,2.954250,2.704275,2.727000,0.399504,435600
1981-11-23,2.704275,2.817900,2.636100,2.727000,0.399504,228400
1981-11-30,2.727000,2.840625,2.613375,2.772450,0.406163,431400
1981-12-07,2.772450,2.772450,2.681550,2.704275,0.396175,408200
1981-12-14,2.704275,2.908800,2.613375,2.908800,0.426138,563400
1981-12-21,2.908800,2.954250,2.727000,2.772450,0.406163,303000
1981-12-28,2.772450,2.954250,2.681550,2.954250,0.432796,412800
1982-01-04,2.954250,3.022425,2.795175,2.817900,0.412821,429000
1982-01-11,2.817900,2.840625,2.317950,2.340675,0.342908,288800
1982-01-18,2.340675,2.545200,2.249775,2.272500,0.332921,973400
1982-01-25,2.272500,2.363400,2.136150,2.272500,0.332921,763200
1982-02-01,2.272500,2.272500,1.977075,2.090700,0.306287,457800
1982-02-08,2.090700,2.113425,1.908900,2.022525,0.296299,508400
1982-02-15,2.022525,2.067975,1.954350,1.977075,0.289641,213600
1982-02-22,1.977075,2.113425,1.818000,2.045250,0.299628,488600
1982-03-01,2.045250,2.067975,1.704375,1.727100,0.253020,533600
1982-03-08,1.772550,1.863450,1.772550,1.818000,0.266336,408200
1982-03-15,1.818000,2.045250,1.795275,1.999800,0.292970,348800
1982-03-22,1.999800,2.045250,1.818000,1.840725,0.269666,1104000
1982-03-29,1.840725,1.999800,1.795275,1.999800,0.292970,384400
1982-04-05,1.999800,2.113425,1.954350,2.045250,0.299628,360600
1982-04-12,2.045250,2.067975,1.931625,2.045250,0.299628,584600
1982-04-19,2.045250,2.158875,2.022525,2.090700,0.306287,798400
1982-04-26,2.090700,2.272500,2.045250,2.136150,0.312945,2784000
1982-05-03,2.158875,2.204325,1.977075,2.067975,0.302958,775600
1982-05-10,2.067975,2.136150,1.999800,2.045250,0.299628,280200
1982-05-17,2.045250,2.136150,1.886175,1.908900,0.279653,665400
1982-05-24,1.931625,1.977075,1.772550,1.840725,0.269666,473800
1982-05-31,1.840725,1.840725,1.772550,1.795275,0.263007,555800
1982-06-07,1.795275,1.818000,1.704375,1.772550,0.259678,252000
1982-06-14,1.772550,1.795275,1.636200,1.704375,0.249690,642600
1982-06-21,1.704375,1.795275,1.658925,1.704375,0.249690,483000
1982-06-28,1.727100,1.886175,1.727100,1.818000,0.266336,333000
1982-07-05,1.818000,1.818000,1.681650,1.772550,0.259678,135800
1982-07-12,1.795275,1.863450,1.749825,1.818000,0.266336,686000
1982-07-19,1.818000,2.045250,1.772550,1.999800,0.292970,1119600
1982-07-26,1.999800,1.999800,1.704375,1.772550,0.259678,1613600
1982-08-02,1.795275,1.886175,1.749825,1.749825,0.256349,186200
1982-08-09,1.749825,1.795275,1.658925,1.704375,0.249690,1035000
1982-08-16,1.704375,1.908900,1.636200,1.795275,0.263007,545200
1982-08-23,1.795275,2.158875,1.772550,2.067975,0.302958,681800
1982-08-30,2.067975,2.227050,1.863450,2.204325,0.322933,788800
1982-09-06,2.204325,2.227050,2.113425,2.113425,0.309616,404400
1982-09-13,2.113425,2.181600,2.090700,2.136150,0.312945,874400
1982-09-20,2.136150,2.158875,2.067975,2.090700,0.306287,262200
1982-09-27,2.090700,2.204325,1.999800,2.022525,0.296299,538000
1982-10-04,2.022525,2.181600,1.977075,2.181600,0.319604,405600
1982-10-11,2.181600,2.522475,2.158875,2.340675,0.342908,1366200
1982-10-18,2.340675,2.613375,2.340675,2.522475,0.369542,819400
1982-10-25,2.522475,2.567925,2.363400,2.454300,0.359554,474600
1982-11-01,2.454300,2.590650,2.454300,2.499750,0.366213,386400
1982-11-08,2.499750,2.886075,2.431575,2.817900,0.412821,1270600
1982-11-15,2.817900,2.840625,2.522475,2.567925,0.376200,617000
1982-11-22,2.567925,2.590650,2.272500,2.363400,0.346237,413600
1982-11-29,2.363400,2.590650,2.340675,2.454300,0.359554,408600
1982-12-06,2.454300,2.499750,2.227050,2.272500,0.332921,710400
1982-12-13,2.272500,2.408850,2.090700,2.181600,0.319604,492800
1982-12-20,2.181600,2.340675,2.067975,2.317950,0.339579,216200
1982-12-27,2.317950,2.363400,2.204325,2.272500,0.332921,406000
1983-01-03,2.272500,2.727000,2.181600,2.658825,0.389517,550200
1983-01-10,2.658825,2.795175,2.363400,2.386125,0.349567,367600
1983-01-17,2.386125,2.704275,2.386125,2.636100,0.386188,828400
1983-01-24,2.613375,2.749725,2.499750,2.681550,0.392846,659200
1983-01-31,2.681550,3.136050,2.613375,3.113325,0.456101,754800
1983-02-07,3.113325,3.113325,2.863350,3.022425,0.442784,1176400
1983-02-14,3.022425,3.158775,2.976975,3.090600,0.452772,591800
1983-02-21,3.090600,3.113325,2.931525,3.090600,0.452772,234600
1983-02-28,3.090600,3.158775,2.954250,3.090600,0.452772,1252800
1983-03-07,3.090600,3.545100,3.090600,3.454200,0.506039,1799600
1983-03-14,3.408750,3.454200,3.295125,3.408750,0.499381,717000
1983-03-21,3.408750,3.499650,3.340575,3.499650,0.512697,785800
1983-03-28,3.499650,3.499650,3.386025,3.431475,0.502710,336800
1983-04-04,3.431475,3.454200,2.908800,3.090600,0.452772,818000
1983-04-11,3.158775,3.317850,3.158775,3.204225,0.469418,279800
1983-04-18,3.204225,3.249675,2.999700,3.158775,0.462759,280400
1983-04-25,3.158775,3.272400,2.999700,3.272400,0.479406,643400
1983-05-02,3.272400,3.363300,3.158775,3.295125,0.482735,574200
1983-05-09,3.272400,3.272400,3.158775,3.181500,0.466089,321800
1983-05-16,3.136050,3.181500,3.022425,3.090600,0.452772,403600
1983-05-23,3.090600,3.317850,3.045150,3.317850,0.486064,334600
1983-05-30,3.317850,3.317850,3.226950,3.272400,0.479406,262400
1983-06-06,3.272400,3.272400,3.090600,3.090600,0.452772,476400
1983-06-13,3.090600,3.113325,3.022425,3.090600,0.452772,571800
1983-06-20,3.090600,3.090600,2.976975,3.067875,0.449443,1257600
1983-06-27,3.045150,3.067875,2.976975,3.045150,0.446113,445200
1983-07-04,3.045150,3.045150,2.999700,3.022425,0.442784,334800
1983-07-11,3.022425,3.090600,2.840625,2.908800,0.426138,695200
1983-07-18,2.908800,3.113325,2.886075,3.022425,0.442784,366200
1983-07-25,3.022425,3.431475,2.999700,3.204225,0.469418,407800
1983-08-01,3.204225,3.249675,3.022425,3.045150,0.446113,435000
1983-08-08,2.999700,3.045150,2.908800,2.976975,0.436126,223400
1983-08-15,2.976975,3.158775,2.886075,3.158775,0.462759,254600
1983-08-22,3.158775,3.272400,2.999700,3.067875,0.449443,155600
1983-08-29,3.067875,3.067875,2.908800,2.999700,0.439455,275800
1983-09-05,2.999700,3.090600,2.954250,3.067875,0.449443,293400
1983-09-12,3.067875,3.317850,2.976975,3.249675,0.476076,1043200
1983-09-19,3.249675,3.249675,3.158775,3.226950,0.472747,366200
1983-09-26,3.226950,3.226950,3.181500,3.181500,0.466089,372000
1983-10-03,3.181500,3.863250,3.113325,3.840525,0.562635,2175000
1983-10-10,3.817800,3.908700,3.590550,3.704175,0.542660,1075200
1983-10-17,3.704175,3.954150,3.636000,3.817800,0.559306,1393800
1983-10-24,3.817800,3.908700,3.749625,3.795075,0.555977,798400
1983-10-31,3.817800,4.158675,3.817800,4.090500,0.599257,758400
1983-11-07,4.067775,4.067775,3.590550,3.840525,0.562635,646000
1983-11-14,3.840525,4.045050,3.817800,3.817800,0.559306,716600
1983-11-21,3.817800,3.976875,3.772350,3.772350,0.552648,501000
1983-11-28,3.772350,4.090500,3.726900,4.090500,0.599257,1388400
1983-12-05,4.135950,4.658625,4.135950,4.635900,0.679158,1762800
1983-12-12,4.590450,4.590450,4.045050,4.181400,0.612574,1285800
1983-12-19,4.181400,4.317750,4.181400,4.317750,0.632549,830200
1983-12-26,4.295025,4.317750,4.090500,4.249575,0.622561,1514000
1984-01-02,4.249575,4.635900,4.181400,4.499550,0.659182,2609400
1984-01-09,4.522275,4.635900,4.363200,4.476825,0.655853,695600
1984-01-16,4.454100,4.454100,4.158675,4.226850,0.619232,635600
1984-01-23,4.226850,4.272300,3.590550,3.840525,0.562635,747400
1984-01-30,3.840525,4.022325,3.726900,3.726900,0.545990,941800
1984-02-06,3.681450,3.681450,3.317850,3.454200,0.506039,834800
1984-02-13,3.431475,3.590550,3.363300,3.454200,0.506039,555400
1984-02-20,3.454200,3.545100,3.408750,3.545100,0.519356,426600
1984-02-27,3.545100,3.795075,3.476925,3.795075,0.555977,584800
1984-03-05,3.795075,3.999600,3.726900,3.726900,0.545990,639600
1984-03-12,3.681450,3.726900,3.499650,3.590550,0.526014,390600
1984-03-19,3.590550,3.590550,3.408750,3.522375,0.516027,355400
1984-03-26,3.522375,3.999600,3.499650,3.999600,0.585940,279800
1984-04-02,3.999600,3.999600,3.772350,3.772350,0.552648,653400
1984-04-09,3.749625,3.817800,3.545100,3.590550,0.526014,1109000
1984-04-16,3.590550,3.636000,3.522375,3.636000,0.532673,407200
1984-04-23,3.636000,3.726900,3.567825,3.704175,0.542660,1431600
1984-04-30,3.749625,3.840525,3.749625,3.749625,0.549319,755000
1984-05-07,3.749625,3.885975,3.545100,3.636000,0.532673,711000
1984-05-14,3.636000,3.863250,3.522375,3.522375,0.516027,371800
1984-05-21,3.522375,3.522375,3.158775,3.181500,0.466089,835000
1984-05-28,3.158775,3.158775,2.863350,3.113325,0.456101,765400
1984-06-04,3.113325,3.136050,2.999700,3.136050,0.459430,251000
1984-06-11,3.136050,3.136050,2.999700,2.999700,0.439455,192600
1984-06-18,2.999700,3.090600,2.999700,3.090600,0.452772,228600
1984-06-25,3.090600,3.272400,3.022425,3.272400,0.479406,1101000
1984-07-02,3.340575,3.499650,3.204225,3.226950,0.472747,398800
1984-07-09,3.204225,3.272400,2.840625,2.908800,0.426138,547200
1984-07-16,2.908800,2.908800,2.499750,2.522475,0.369542,697000
1984-07-23,2.522475,2.613375,2.408850,2.499750,0.366213,937200
1984-07-30,2.499750,3.113325,2.477025,3.067875,0.449443,762400
1984-08-06,3.067875,3.386025,3.067875,3.317850,0.486064,718600
1984-08-13,3.317850,3.317850,3.136050,3.226950,0.472747,379200
1984-08-20,3.226950,3.363300,3.181500,3.340575,0.489393,385600
1984-08-27,3.317850,3.408750,3.295125,3.295125,0.482735,448400
1984-09-03,3.272400,3.295125,3.181500,3.272400,0.479406,560200
1984-09-10,3.272400,3.317850,3.226950,3.295125,0.482735,509200
1984-09-17,3.295125,3.340575,3.204225,3.226950,0.472747,1435000
1984-09-24,3.226950,3.386025,3.226950,3.363300,0.492722,666000
1984-10-01,3.363300,3.431475,3.317850,3.363300,0.492722,1038200
1984-10-08,3.363300,3.408750,3.317850,3.317850,0.486064,406200
1984-10-15,3.317850,3.386025,3.272400,3.317850,0.486064,1234400
1984-10-22,3.317850,3.363300,3.295125,3.295125,0.482735,756600
1984-10-29,3.295125,3.340575,3.090600,3.181500,0.466089,237600
1984-11-05,3.181500,3.226950,3.181500,3.204225,0.469418,183200
1984-11-12,3.204225,3.249675,3.113325,3.113325,0.456101,297800
1984-11-19,3.113325,3.136050,3.022425,3.136050,0.459430,250000
1984-11-26,3.136050,3.181500,3.022425,3.090600,0.452772,960400
1984-12-03,3.090600,3.136050,2.681550,2.681550,0.392846,447600
1984-12-10,2.681550,2.772450,2.681550,2.772450,0.406163,479800
1984-12-17,2.772450,3.045150,2.772450,2.976975,0.436126,423800
1984-12-24,2.976975,3.067875,2.954250,3.045150,0.446113,143800
1984-12-31,3.045150,3.090600,3.045150,3.067875,0.449443,457200
1985-01-07,3.067875,3.113325,2.908800,3.067875,0.449443,505600
1985-01-14,3.067875,3.113325,2.908800,2.954250,0.445271,1229400
1985-01-21,2.954250,3.022425,2.908800,2.908800,0.438420,999200
1985-01-28,2.908800,2.931525,2.817900,2.817900,0.424720,1132000
1985-02-04,2.817900,2.954250,2.749725,2.908800,0.438420,2309000
1985-02-11,2.908800,2.954250,2.795175,2.908800,0.438420,2076000
1985-02-18,2.908800,2.908800,2.681550,2.681550,0.404169,409800
1985-02-25,2.681550,2.704275,2.590650,2.681550,0.404169,1164400
1985-03-04,2.681550,2.795175,2.658825,2.749725,0.414444,874400
1985-03-11,2.749725,2.772450,2.681550,2.681550,0.404169,580600
1985-03-18,2.681550,2.704275,2.386125,2.386125,0.359642,675000
1985-03-25,2.386125,2.545200,2.272500,2.522475,0.380193,3808800
1985-04-01,2.522475,2.522475,2.363400,2.454300,0.369917,341200
1985-04-08,2.454300,2.590650,2.363400,2.590650,0.390468,593800
1985-04-15,2.590650,2.658825,2.545200,2.590650,0.404472,738800
1985-04-22,2.613375,2.636100,2.522475,2.545200,0.397376,343600
1985-04-29,2.545200,2.567925,2.477025,2.477025,0.386732,279000
1985-05-06,2.499750,2.567925,2.386125,2.386125,0.372540,532200
1985-05-13,2.386125,2.522475,2.340675,2.522475,0.393828,530200
1985-05-20,2.522475,2.590650,2.431575,2.454300,0.383184,419800
1985-05-27,2.454300,2.499750,2.431575,2.431575,0.379636,697000
1985-06-03,2.431575,2.522475,2.408850,2.454300,0.383184,210000
1985-06-10,2.454300,2.499750,2.317950,2.363400,0.368992,775000
1985-06-17,2.363400,2.545200,2.317950,2.454300,0.383184,324800
1985-06-24,2.431575,2.499750,2.386125,2.454300,0.383184,663000
1985-07-01,2.477025,2.636100,2.477025,2.613375,0.408020,338400
1985-07-08,2.613375,2.908800,2.590650,2.908800,0.454144,359800
1985-07-15,2.908800,2.908800,2.545200,2.636100,0.425135,835800
1985-07-22,2.636100,2.704275,2.545200,2.545200,0.410475,847400
1985-07-29,2.545200,2.613375,2.454300,2.590650,0.417805,1588000
1985-08-05,2.590650,2.727000,2.567925,2.704275,0.436130,916800
1985-08-12,2.704275,2.704275,2.613375,2.613375,0.421470,995400
1985-08-19,2.613375,2.658825,2.567925,2.590650,0.417805,1147000
1985-08-26,2.590650,2.590650,2.499750,2.499750,0.403145,1280800
1985-09-02,2.499750,2.499750,2.408850,2.454300,0.395816,710600
1985-09-09,2.454300,2.499750,2.317950,2.363400,0.381156,1112400
1985-09-16,2.363400,2.386125,2.272500,2.363400,0.381156,1672400
1985-09-23,2.386125,2.454300,2.340675,2.363400,0.381156,409600
1985-09-30,2.340675,2.363400,2.272500,2.363400,0.381156,706600
1985-10-07,2.363400,2.408850,2.317950,2.340675,0.377491,306600
1985-10-14,2.340675,2.386125,2.317950,2.386125,0.398897,291400
1985-10-21,2.386125,2.454300,2.340675,2.386125,0.398897,273800
1985-10-28,2.386125,2.477025,2.317950,2.454300,0.410294,587600
1985-11-04,2.454300,2.590650,2.386125,2.499750,0.417892,455600
1985-11-11,2.499750,2.545200,2.431575,2.499750,0.417892,327400
1985-11-18,2.499750,2.499750,2.408850,2.499750,0.417892,315800
1985-11-25,2.499750,2.590650,2.454300,2.545200,0.425490,611400
1985-12-02,2.545200,2.999700,2.522475,2.886075,0.482476,1418400
1985-12-09,2.886075,2.999700,2.840625,2.954250,0.493873,1244400
1985-12-16,2.954250,2.954250,2.681550,2.772450,0.463480,639200
1985-12-23,2.749725,2.795175,2.658825,2.658825,0.444485,328600
1985-12-30,2.658825,2.840625,2.636100,2.817900,0.471078,420800
1986-01-06,2.795175,2.863350,2.681550,2.749725,0.459681,799400
1986-01-13,2.749725,3.045150,2.749725,3.045150,0.524595,1899600
1986-01-20,3.022425,3.136050,2.976975,3.067875,0.528510,1329200
1986-01-27,3.067875,3.090600,2.886075,2.954250,0.508935,918600
1986-02-03,2.954250,3.090600,2.931525,2.999700,0.516765,1043200
1986-02-10,2.999700,3.067875,2.908800,2.908800,0.501105,1195000
1986-02-17,2.908800,2.999700,2.840625,2.976975,0.512850,1878200
1986-02-24,2.976975,3.181500,2.908800,3.113325,0.536339,1805400
1986-03-03,3.113325,3.181500,3.045150,3.113325,0.536339,2238600
1986-03-10,3.113325,3.272400,3.090600,3.158775,0.544169,1707400
1986-03-17,3.158775,3.545100,3.136050,3.545100,0.610722,2690200
1986-03-24,3.545100,3.545100,3.454200,3.545100,0.610722,664600
1986-03-31,3.545100,3.545100,3.386025,3.408750,0.587233,996600
1986-04-07,3.408750,3.454200,3.386025,3.454200,0.595063,810000
1986-04-14,3.454200,3.636000,3.454200,3.590550,0.633960,1574800
1986-04-21,3.590550,3.613275,3.476925,3.499650,0.617910,1032800
1986-04-28,3.522375,3.567825,3.431475,3.522375,0.621923,1068400
1986-05-05,3.522375,3.636000,3.499650,3.590550,0.633960,622800
1986-05-12,3.590550,3.590550,3.408750,3.431475,0.605873,1452200
1986-05-19,3.431475,3.567825,3.408750,3.408750,0.601861,2058000
1986-05-26,3.408750,3.522375,3.363300,3.499650,0.617910,1314200
1986-06-02,3.499650,3.522375,3.340575,3.363300,0.593836,690600
1986-06-09,3.363300,3.431475,3.249675,3.340575,0.589824,876200
1986-06-16,3.340575,3.431475,3.272400,3.295125,0.581799,813800
1986-06-23,3.295125,3.340575,3.272400,3.317850,0.585811,941800
1986-06-30,3.317850,3.386025,3.226950,3.317850,0.585811,1099400
1986-07-07,3.317850,3.317850,3.204225,3.204225,0.565749,1791000
1986-07-14,3.204225,3.204225,2.817900,2.817900,0.510550,3175200
1986-07-21,2.795175,2.795175,2.590650,2.590650,0.469377,1596400
1986-07-28,2.590650,2.636100,2.408850,2.567925,0.465259,1601400
1986-08-04,2.613375,2.681550,2.590650,2.636100,0.477611,1105600
1986-08-11,2.636100,2.727000,2.567925,2.704275,0.489963,748800
1986-08-18,2.704275,3.249675,2.704275,3.249675,0.588780,1036000
1986-08-25,3.226950,3.340575,3.136050,3.272400,0.592897,3121200
1986-09-01,3.226950,3.272400,3.090600,3.226950,0.584662,1299600
1986-09-08,3.226950,3.249675,2.954250,2.954250,0.535254,770400
1986-09-15,2.954250,3.045150,2.863350,2.863350,0.518784,835200
1986-09-22,2.863350,3.045150,2.863350,2.976975,0.539372,385200
1986-09-29,2.976975,3.113325,2.954250,3.045150,0.551723,1368600
1986-10-06,3.045150,3.067875,2.954250,2.976975,0.539372,574000
1986-10-13,2.976975,2.999700,2.772450,2.863350,0.533393,2734800
1986-10-20,2.863350,2.908800,2.840625,2.863350,0.533393,1577200
1986-10-27,2.886075,3.113325,2.886075,3.090600,0.575726,1222600
1986-11-03,3.090600,3.181500,3.067875,3.181500,0.592659,572800
1986-11-10,3.181500,3.363300,3.158775,3.204225,0.596893,757200
1986-11-17,3.181500,3.204225,3.022425,3.113325,0.579959,596200
1986-11-24,3.113325,3.158775,3.022425,3.090600,0.575726,1445600
1986-12-01,3.090600,3.113325,3.022425,3.067875,0.571493,1572400
1986-12-08,3.022425,3.045150,2.886075,2.999700,0.558793,2354000
1986-12-15,2.999700,3.136050,2.999700,3.136050,0.584192,689800
1986-12-22,3.136050,3.136050,3.045150,3.090600,0.575726,332800
1986-12-29,3.067875,3.090600,2.999700,3.067875,0.571493,343000
1987-01-05,3.067875,3.431475,3.045150,3.340575,0.622292,1440000
1987-01-12,3.340575,3.726900,3.295125,3.613275,0.690089,4253600
1987-01-19,3.613275,3.704175,3.476925,3.636000,0.694429,3786600
1987-01-26,3.636000,3.772350,3.590550,3.636000,0.694429,1735800
1987-02-02,3.636000,4.317750,3.613275,4.181400,0.798593,1816400
1987-02-09,4.181400,4.385925,3.885975,4.340475,0.828975,3834000
1987-02-16,4.340475,4.545000,4.272300,4.476825,0.855016,1453000
1987-02-23,4.454100,4.499550,4.272300,4.476825,0.855016,1790800
1987-03-02,4.476825,4.567725,4.272300,4.340475,0.828975,5177800
1987-03-09,4.340475,4.522275,4.295025,4.499550,0.859356,2538400
1987-03-16,4.499550,4.522275,4.454100,4.522275,0.863696,2531600
1987-03-23,4.522275,4.635900,4.454100,4.476825,0.855016,1099000
1987-03-30,4.431375,4.772250,4.317750,4.749525,0.907098,2111800
1987-04-06,4.749525,4.885875,4.704075,4.772250,0.911438,2898400
1987-04-13,4.772250,4.840425,4.499550,4.817700,0.936485,1553600
1987-04-20,4.817700,4.976775,4.726800,4.817700,0.936485,9374800
