Date,Open,High,Low,Close,Adj Close,Volume
1998-01-19,3.479130,3.677930,3.479130,3.677930,0.741409,13100
1998-01-26,3.479130,3.777340,3.379720,3.757460,0.757441,577800
1998-02-02,3.876740,3.976140,3.518890,3.777340,0.761449,1060200
1998-02-09,3.677930,3.976140,3.578530,3.976140,0.801524,190800
1998-02-16,3.956260,3.976140,3.777340,3.976140,0.801524,69700
1998-02-23,3.976140,4.135190,3.876740,3.996020,0.805531,457700
1998-03-02,4.075550,4.274350,3.976140,4.075550,0.821563,110500
1998-03-09,4.095430,4.970180,4.075550,4.671970,0.941791,234300
1998-03-16,4.572560,4.771370,4.334000,4.572560,0.921752,522000
1998-03-23,4.771370,4.771370,4.075550,4.274350,0.974244,17900
1998-03-30,4.174950,4.473160,3.976140,4.373760,0.996902,86000
1998-04-06,4.473160,4.473160,4.334000,4.373760,0.996902,92800
1998-04-13,4.373760,4.473160,4.274350,4.274350,0.974244,707300
1998-04-20,4.274350,4.671970,4.274350,4.671970,1.064872,90300
1998-04-27,4.572560,4.671970,4.512920,4.532800,1.033152,34700
1998-05-04,4.572560,4.671970,4.473160,4.512920,1.028620,16400
1998-05-11,4.512920,4.612330,4.473160,4.512920,1.028620,78900
1998-05-18,4.512920,4.572560,4.473160,4.512920,1.028620,44600
1998-05-25,4.671970,4.671970,4.512920,4.512920,1.028620,252300
1998-06-01,4.512920,4.572560,4.174950,4.274350,0.974244,168300
1998-06-08,4.274350,4.473160,3.976140,4.373760,0.996902,31200
1998-06-15,4.373760,4.373760,4.174950,4.274350,0.974244,62500
1998-06-22,4.274350,4.373760,3.976140,4.174950,1.075206,79700
1998-06-29,4.075550,4.473160,4.075550,4.473160,1.152005,54900
1998-07-06,4.274350,4.572560,4.274350,4.572560,1.177605,208000
1998-07-13,4.572560,4.572560,4.373760,4.373760,1.126407,64900
1998-07-20,4.512920,4.512920,4.274350,4.473160,1.152005,24500
1998-07-27,4.373760,4.572560,4.373760,4.373760,1.126407,150500
1998-08-03,4.373760,4.473160,4.174950,4.373760,1.126407,16600
1998-08-10,4.274350,4.274350,3.976140,4.274350,1.100805,17100
1998-08-17,3.976140,3.976140,3.976140,3.976140,1.024005,39000
1998-08-24,4.075550,4.075550,3.777340,3.777340,0.972806,190400
1998-08-31,3.777340,3.777340,3.777340,3.777340,0.972806,60200
1998-09-07,3.777340,3.976140,3.677930,3.677930,0.947204,24800
1998-09-14,3.976140,3.976140,3.677930,3.677930,0.947204,23300
1998-09-21,3.677930,3.876740,3.677930,3.876740,1.148622,78600
1998-09-28,3.677930,3.876740,3.677930,3.677930,1.089718,11200
1998-10-05,3.677930,3.677930,3.479130,3.479130,1.030816,25600
1998-10-12,3.677930,3.677930,3.479130,3.479130,1.030816,9900
1998-10-19,3.479130,3.677930,3.479130,3.479130,1.030816,24000
1998-10-26,3.499010,3.876740,3.499010,3.876740,1.148622,17300
1998-11-02,3.876740,4.174950,3.777340,3.976140,1.178073,55900
1998-11-09,4.075550,4.075550,3.578530,3.976140,1.178073,44800
1998-11-16,3.976140,3.976140,3.777340,3.777340,1.119171,32900
1998-11-23,3.976140,3.976140,3.777340,3.876740,1.148622,11100
1998-11-30,3.777340,3.876740,3.677930,3.677930,1.089718,20300
1998-12-07,3.677930,3.876740,3.677930,3.876740,1.148622,600
1998-12-14,3.876740,3.976140,3.677930,3.976140,1.178073,6500
1998-12-21,3.677930,3.956260,3.677930,3.876740,1.346286,8600
1998-12-28,3.876740,3.976140,3.677930,3.976140,1.380805,15100
1999-01-04,3.976140,4.174950,3.777340,3.976140,1.380805,335100
1999-01-11,3.876740,3.976140,3.777340,3.976140,1.380805,40200
1999-01-18,3.976140,4.174950,3.876740,3.976140,1.380805,59900
1999-01-25,3.976140,4.174950,3.976140,4.174950,1.449847,189100
1999-02-01,4.174950,4.373760,4.174950,4.174950,1.449847,92100
1999-02-08,4.174950,4.174950,3.876740,4.075550,1.415328,208800
1999-02-15,4.174950,4.174950,4.075550,4.095430,1.422231,26500
1999-02-22,4.095430,4.174950,3.876740,3.976140,1.380805,167700
1999-03-01,3.976140,3.976140,3.797220,3.976140,1.380805,7300
