Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,4.250000,5.062500,4.250000,4.625000,0.889347,65600
1980-03-24,4.562500,4.562500,3.875000,3.937500,0.757147,72400
1980-03-31,4.000000,4.312500,4.000000,4.156250,0.799210,62000
1980-04-07,4.156250,4.343750,3.906250,4.343750,0.835265,64400
1980-04-14,4.343750,4.468750,4.125000,4.218750,0.811228,84000
1980-04-21,4.218750,4.437500,4.062500,4.250000,0.817237,36000
1980-04-28,4.312500,5.062500,4.312500,5.000000,0.961456,81200
1980-05-05,5.000000,5.437500,4.937500,5.062500,0.973474,76800
1980-05-12,5.062500,5.250000,5.031250,5.250000,1.009529,60000
1980-05-19,5.250000,5.468750,5.125000,5.468750,1.051593,53600
1980-05-26,5.468750,5.656250,5.406250,5.531250,1.063611,66000
1980-06-02,5.500000,6.125000,5.500000,6.031250,1.159756,130000
1980-06-09,6.031250,6.375000,6.000000,6.062500,1.165766,136800
1980-06-16,6.062500,6.343750,5.968750,6.000000,1.153747,135200
1980-06-23,5.937500,6.125000,5.625000,6.000000,1.153747,194800
1980-06-30,6.000000,6.375000,5.937500,6.343750,1.219847,135600
1980-07-07,6.343750,6.500000,6.125000,6.250000,1.201820,221600
1980-07-14,6.250000,6.312500,6.000000,6.250000,1.201820,139600
1980-07-21,6.250000,6.281250,6.000000,6.250000,1.201820,232000
1980-07-28,6.250000,7.250000,6.156250,7.218750,1.388102,622000
1980-08-04,7.156250,7.687500,6.937500,7.437500,1.430165,606800
1980-08-11,7.500000,7.843750,7.187500,7.406250,1.424156,554400
1980-08-18,7.406250,7.468750,7.125000,7.218750,1.388102,258400
1980-08-25,7.187500,7.187500,6.687500,6.718750,1.291956,82000
1980-09-01,6.718750,7.250000,6.562500,7.250000,1.394111,113600
1980-09-08,7.250000,7.437500,7.156250,7.250000,1.394111,178000
1980-09-15,7.312500,8.000000,7.312500,7.781250,1.496267,123600
1980-09-22,7.781250,7.906250,7.312500,7.312500,1.406129,56000
1980-09-29,7.218750,7.250000,6.937500,7.250000,1.394111,66800
1980-10-06,7.250000,7.312500,7.156250,7.281250,1.400120,24800
1980-10-13,7.281250,7.562500,7.281250,7.406250,1.424156,76800
1980-10-20,7.406250,7.500000,7.000000,7.125000,1.370075,73200
1980-10-27,7.062500,7.343750,7.000000,7.000000,1.346038,70800
1980-11-03,7.000000,7.718750,7.000000,7.468750,1.436176,75200
1980-11-10,7.468750,8.562500,7.468750,8.437500,1.622457,66000
1980-11-17,8.343750,8.343750,8.187500,8.281250,1.592411,64000
1980-11-24,8.281250,8.531250,8.250000,8.343750,1.604430,48000
1980-12-01,8.343750,8.562500,8.250000,8.312500,1.598420,97200
1980-12-08,8.250000,8.250000,7.812500,7.843750,1.508284,59600
1980-12-15,7.843750,8.125000,7.812500,8.125000,1.562366,137600
1980-12-22,8.125000,8.250000,8.031250,8.031250,1.544338,25600
1980-12-29,8.093750,8.187500,8.062500,8.125000,1.562366,33600
1981-01-05,8.125000,8.281250,7.937500,8.250000,1.586402,125600
1981-01-12,8.250000,8.718750,8.250000,8.531250,1.640485,100800
1981-01-19,8.500000,8.500000,8.312500,8.312500,1.598420,58000
1981-01-26,8.312500,8.500000,8.250000,8.468750,1.628466,51200
1981-02-02,8.437500,8.625000,7.937500,7.937500,1.526312,86800
1981-02-09,7.906250,7.906250,7.281250,7.375000,1.418148,86400
1981-02-16,7.312500,7.312500,6.937500,7.156250,1.376084,65200
1981-02-23,7.093750,7.125000,6.843750,7.125000,1.370075,87200
1981-03-02,7.125000,7.562500,7.062500,7.437500,1.430165,123600
1981-03-09,7.375000,7.375000,6.875000,6.875000,1.322002,77200
1981-03-16,6.875000,7.093750,6.625000,7.093750,1.364066,143200
1981-03-23,7.093750,7.187500,6.750000,6.968750,1.340030,68400
1981-03-30,6.968750,7.312500,6.968750,7.156250,1.376084,38000
1981-04-06,7.156250,7.187500,6.812500,6.968750,1.340030,175600
1981-04-13,6.968750,6.968750,6.750000,6.750000,1.297966,30800
1981-04-20,6.781250,6.906250,6.375000,6.750000,1.297966,83200
1981-04-27,6.625000,6.750000,6.500000,6.687500,1.285948,62400
1981-05-04,6.593750,6.750000,6.500000,6.656250,1.279939,42000
1981-05-11,6.625000,6.625000,6.125000,6.437500,1.237875,154000
1981-05-18,6.312500,6.375000,6.187500,6.187500,1.189802,59600
1981-05-25,6.187500,6.468750,6.156250,6.343750,1.219847,40000
1981-06-01,6.343750,6.343750,5.562500,6.125000,1.177783,100000
1981-06-08,6.125000,6.250000,5.812500,6.031250,1.159756,203200
1981-06-15,6.000000,6.125000,5.812500,5.968750,1.147738,106400
1981-06-22,6.031250,6.250000,6.031250,6.125000,1.177783,110000
1981-06-29,6.187500,6.281250,6.000000,6.000000,1.153747,60400
1981-07-06,5.937500,5.937500,5.593750,5.750000,1.105675,116800
1981-07-13,5.750000,6.187500,5.718750,6.093750,1.171774,45200
1981-07-20,6.093750,6.156250,5.812500,5.968750,1.147738,47200
1981-07-27,5.968750,6.000000,5.750000,5.968750,1.147738,58800
1981-08-03,6.000000,6.312500,6.000000,6.187500,1.189802,66400
1981-08-10,6.187500,6.406250,6.031250,6.031250,1.159756,45200
1981-08-17,6.062500,6.187500,5.937500,6.031250,1.159756,89200
1981-08-24,6.062500,6.406250,6.062500,6.312500,1.213839,52800
1981-08-31,6.312500,6.312500,6.000000,6.093750,1.171774,38800
1981-09-07,6.093750,6.156250,5.812500,5.812500,1.117693,141200
1981-09-14,5.812500,6.000000,5.562500,5.625000,1.081638,84800
1981-09-21,5.625000,5.812500,5.593750,5.593750,1.075629,48000
1981-09-28,5.562500,5.718750,5.437500,5.625000,1.081638,100400
1981-10-05,5.625000,6.375000,5.562500,6.250000,1.201820,78400
1981-10-12,6.250000,6.312500,6.000000,6.000000,1.153747,56800
1981-10-19,6.000000,6.000000,5.812500,5.875000,1.129711,58400
1981-10-26,5.875000,6.000000,5.750000,5.750000,1.105675,78000
1981-11-02,5.812500,6.000000,5.687500,5.875000,1.129711,246400
1981-11-09,5.812500,5.812500,5.562500,5.781250,1.111684,523600
1981-11-16,5.781250,5.875000,5.562500,5.750000,1.105675,86000
1981-11-23,5.687500,5.718750,5.562500,5.718750,1.099665,60000
