Date,Open,High,Low,Close,Adj Close,Volume
2018-04-16,3.250000,3.320000,3.220000,3.270000,3.270000,102000
2018-04-23,3.250000,3.750000,3.220000,3.740000,3.740000,612100
2018-04-30,3.740000,4.230000,3.740000,4.150000,4.150000,761600
2018-05-07,4.260000,4.450000,4.150000,4.400000,4.400000,594500
2018-05-14,4.430000,4.550000,4.150000,4.520000,4.520000,461300
2018-05-21,4.600000,5.090000,4.600000,4.950000,4.950000,499200
2018-05-28,5.000000,5.000000,4.340000,4.710000,4.710000,492600
2018-06-04,4.850000,4.880000,4.050000,4.480000,4.480000,541600
2018-06-11,4.430000,4.650000,4.190000,4.280000,4.280000,231200
2018-06-18,4.200000,4.390000,4.010000,4.270000,4.270000,464600
2018-06-22,4.210000,4.270000,4.160000,4.270000,4.270000,106002
