Date,Open,High,Low,Close,Adj Close,Volume
2016-06-20,24.500000,25.059999,24.500000,25.059999,24.646948,700
2016-06-27,25.000000,25.840000,25.000000,25.840000,25.414091,1000
2016-07-04,25.840000,25.840000,25.809999,25.809999,25.384586,500
2016-07-11,27.240000,27.290001,26.850000,26.850000,26.407444,10700
2016-07-18,26.870001,27.650000,26.870001,27.330000,26.879532,7600
2016-07-25,27.520000,27.520000,27.340000,27.379999,26.928707,3000
2016-08-01,27.389999,27.389999,27.209999,27.250000,26.800852,1700
2016-08-08,27.510000,27.930000,27.379999,27.379999,26.928707,2500
2016-08-15,27.469999,27.469999,26.879999,27.389999,26.938543,1900
2016-08-22,27.030001,27.290001,27.030001,27.190001,26.741840,4200
2016-08-29,27.700001,27.700001,26.600000,27.469999,27.017223,17800
2016-09-05,27.500000,27.900000,27.200001,27.200001,26.751675,22200
2016-09-12,27.170000,27.170000,26.629999,26.980000,26.535299,1800
2016-09-19,27.200001,27.530001,27.200001,27.530001,27.076237,3100
2016-09-26,27.530001,27.750000,27.530001,27.629999,27.174587,700
2016-10-03,27.900000,27.900000,27.170000,27.170000,26.722170,1100
2016-10-10,26.900000,26.940001,26.740000,26.740000,26.299257,800
2016-10-17,26.740000,27.160000,26.590000,26.760000,26.318928,12200
2016-10-24,27.150000,27.280001,26.650000,26.650000,26.210741,4600
2016-10-31,26.770000,27.000000,26.230000,26.230000,25.797663,2600
2016-11-07,27.000000,27.030001,26.690001,27.030001,26.584478,3900
2016-11-14,27.100000,27.250000,27.000000,27.250000,26.800852,1100
2016-11-21,27.040001,27.900000,27.040001,27.860001,27.400797,4100
2016-11-28,27.700001,27.700001,26.860001,26.860001,26.417280,30500
2016-12-05,27.219999,27.670000,27.219999,27.590000,27.135246,8200
2016-12-12,27.260000,27.610001,27.129999,27.530001,27.076237,16300
2016-12-19,27.580000,28.049999,27.580000,28.000000,27.538488,3800
2016-12-26,27.709999,27.780001,27.450001,27.450001,26.997555,19200
2017-01-02,27.469999,27.549999,27.299999,27.299999,26.986887,18200
2017-01-09,27.480000,27.480000,27.010000,27.299999,26.986887,5900
2017-01-16,27.530001,27.590000,27.000000,27.559999,27.243906,2200
2017-01-23,27.559999,28.000000,27.400000,27.719999,27.402071,1600
2017-01-30,27.709999,27.709999,27.150000,27.650000,27.332874,7500
2017-02-06,27.650000,27.870001,27.610001,27.780001,27.461384,4400
2017-02-13,28.090000,28.200001,28.020000,28.049999,27.728285,1700
2017-02-20,28.400000,28.400000,27.770000,27.830000,27.510809,9600
2017-02-27,27.870001,28.900000,27.870001,28.639999,28.311518,4200
2017-03-06,28.600000,28.620001,28.480000,28.480000,28.153355,1900
2017-03-13,28.650000,28.799999,28.420000,28.799999,28.469683,2200
2017-03-20,28.799999,28.799999,28.049999,28.490000,28.163239,2500
2017-03-27,28.580000,28.740000,28.170000,28.629999,28.301634,9900
2017-04-03,28.799999,28.799999,28.430000,28.430000,28.103928,2300
2017-04-10,28.580000,28.580000,28.000000,28.049999,27.728285,7900
2017-04-17,28.049999,28.730000,28.049999,28.730000,28.400486,900
2017-04-24,29.320000,30.059999,29.320000,29.940001,29.596609,9800
2017-05-01,29.940001,30.309999,29.910000,30.160000,29.814085,6500
2017-05-08,30.299999,30.299999,30.000000,30.120001,29.774546,24400
2017-05-15,30.150000,30.190001,29.540001,29.780001,29.438444,5800
2017-05-22,29.780001,30.030001,29.760000,29.850000,29.507641,5800
2017-05-29,29.969999,30.459999,29.790001,30.459999,30.110643,7600
