Date,Open,High,Low,Close,Adj Close,Volume
2007-10-22,2.050000,2.050000,1.980000,2.000000,1.662640,5700
2007-10-29,1.980000,2.450000,1.980000,2.220000,1.845531,50500
2007-11-05,2.220000,2.220000,1.920000,2.090000,1.737459,17600
2007-11-12,2.090000,2.150000,1.810000,1.810000,1.504690,70000
2007-11-19,1.870000,1.900000,1.750000,1.750000,1.454810,35700
2007-11-26,1.650000,1.850000,1.500000,1.600000,1.330113,156400
2007-12-03,1.550000,1.600000,1.420000,1.540000,1.280233,63200
2007-12-10,1.740000,1.740000,1.410000,1.500000,1.246981,94000
2007-12-17,1.500000,1.550000,1.370000,1.550000,1.288546,89000
2007-12-24,1.550000,1.560000,1.550000,1.560000,1.296860,41800
2007-12-31,1.550000,1.550000,1.340000,1.460000,1.213727,20200
2008-01-07,1.460000,1.550000,1.350000,1.390000,1.155535,5600
2008-01-14,1.500000,1.700000,1.400000,1.460000,1.213727,35800
2008-01-21,1.350000,1.640000,1.350000,1.400000,1.163848,18700
2008-01-28,1.400000,1.540000,1.400000,1.450000,1.205414,23300
2008-02-04,1.540000,1.550000,1.410000,1.500000,1.246981,9400
2008-02-11,1.500000,1.550000,1.400000,1.400000,1.163848,16500
2008-02-18,1.500000,1.650000,1.500000,1.650000,1.371678,7500
2008-02-25,1.650000,1.650000,1.500000,1.640000,1.363365,14000
2008-03-03,1.640000,1.650000,1.400000,1.400000,1.163848,11600
2008-03-10,1.350000,1.350000,1.120000,1.120000,0.931079,76900
2008-03-17,1.150000,1.300000,1.150000,1.150000,0.956018,22500
2008-03-24,1.150000,1.250000,1.120000,1.120000,0.931079,48000
2008-03-31,1.120000,1.180000,1.100000,1.100000,0.914452,23000
2008-04-07,1.150000,1.340000,1.120000,1.200000,0.997584,65700
2008-04-14,1.220000,1.350000,1.210000,1.250000,1.039150,24000
2008-04-21,1.250000,1.250000,1.150000,1.150000,0.956018,23400
2008-04-28,1.200000,1.350000,1.130000,1.350000,1.122282,208900
2008-05-05,1.350000,1.350000,1.100000,1.210000,1.005898,11600
2008-05-12,1.210000,1.330000,1.150000,1.160000,0.964331,79900
2008-05-19,1.160000,1.300000,1.150000,1.150000,0.956018,27800
2008-05-26,1.290000,1.290000,1.100000,1.200000,0.997584,53500
