Date,Open,High,Low,Close,Adj Close,Volume
1986-05-05,6.442060,6.482420,6.286830,6.404800,2.699280,231400
1986-05-12,6.404800,6.442060,6.364440,6.364440,2.682269,646600
1986-05-19,6.364440,6.364440,5.551040,5.588290,2.355165,414000
1986-05-26,5.588290,6.209210,5.240580,6.209210,2.616848,333600
1986-06-02,6.053980,6.053980,5.743520,5.743520,2.420585,248400
1986-06-09,5.743520,5.898750,5.743520,5.783880,2.437596,36000
1986-06-16,5.783880,5.939110,5.783880,5.939110,2.503016,57600
1986-06-23,5.976370,6.131600,5.743520,5.743520,2.420585,79800
1986-06-30,5.743520,6.053980,5.743520,6.053980,2.551427,18200
1986-07-07,6.053980,6.053980,5.783880,5.898750,2.486006,212200
1986-07-14,5.976370,5.976370,5.821140,5.898750,2.486006,561600
1986-07-21,5.898750,5.976370,5.743520,5.898750,2.486006,146200
1986-07-28,5.898750,5.976370,5.898750,5.976370,2.518719,24200
1986-08-04,5.976370,5.976370,5.588290,5.628650,2.372173,212800
1986-08-11,5.588290,5.628650,5.588290,5.588290,2.355165,288200
1986-08-18,5.588290,5.588290,5.510680,5.588290,2.355165,13800
1986-08-25,5.588290,5.588290,5.510680,5.510680,2.322455,31800
1986-09-01,5.510680,5.588290,5.433060,5.588290,2.355165,41000
1986-09-08,5.743520,5.743520,5.665910,5.665910,2.387877,104600
1986-09-15,5.628650,5.706270,5.551040,5.551040,2.339465,45000
1986-09-22,5.510680,5.588290,5.433060,5.433060,2.289743,35600
1986-09-29,5.510680,5.551040,5.433060,5.433060,2.289743,22400
1986-10-06,5.433060,5.433060,4.812140,5.122600,2.158901,8400
1986-10-13,5.122600,5.743520,5.122600,5.355450,2.257034,31800
1986-10-20,5.277830,5.277830,5.122600,5.200220,2.191613,30800
1986-10-27,5.240580,5.433060,5.240580,5.433060,2.289743,341400
1986-11-03,5.433060,5.433060,5.200220,5.277830,2.224321,136000
1986-11-10,5.277830,5.433060,5.122600,5.318190,2.241332,11000
1986-11-17,5.318190,5.318190,5.162960,5.277830,2.224321,28400
1986-11-24,5.277830,5.277830,5.200220,5.200220,2.191613,15800
1986-12-01,5.200220,6.053980,5.200220,5.976370,2.518719,420600
1986-12-08,5.976370,5.976370,5.743520,5.821140,2.453298,303200
1986-12-15,5.821140,5.821140,5.743520,5.743520,2.420585,103200
1986-12-22,5.743520,5.743520,5.743520,5.743520,2.420585,10400
1986-12-29,5.743520,5.821140,5.743520,5.783880,2.437596,29600
1987-01-05,5.783880,6.131600,5.665910,6.053980,2.551427,31800
1987-01-12,6.053980,6.094340,5.976370,6.094340,2.568437,30800
1987-01-19,6.053980,6.597290,6.053980,6.364440,2.682269,350200
1987-01-26,6.364440,6.364440,6.209210,6.286830,2.649561,179800
1987-02-02,6.286830,7.528670,6.286830,7.218210,3.042089,780000
1987-02-09,7.180960,7.569030,7.140600,7.451060,3.140221,584600
1987-02-16,7.569030,8.500410,7.569030,7.957110,3.353495,463000
1987-02-23,7.994360,7.994360,7.606290,7.606290,3.205644,164000
1987-03-02,7.683900,8.304820,7.683900,8.304820,3.500035,232800
1987-03-09,8.304820,9.624280,8.227210,9.469050,3.990695,777200
1987-03-16,9.391440,9.897490,9.003360,9.897490,4.171258,401600
1987-03-23,9.857130,9.934740,9.391440,9.664640,4.073127,949000
1987-03-30,9.509410,9.509410,9.003360,9.391440,3.957988,604600
1987-04-06,9.469050,9.934740,8.925740,9.313820,3.925275,275000
1987-04-13,9.313820,9.354180,8.848130,9.236200,3.892563,119200
1987-04-20,9.236200,9.236200,8.071980,8.227210,3.467329,147400
1987-04-27,7.916750,8.537670,7.761520,8.382440,3.532748,184000
1987-05-04,8.460050,8.460050,8.227210,8.304820,3.500035,144200
