Date,Open,High,Low,Close,Adj Close,Volume
2012-12-10,27.639999,28.650000,27.120001,27.600000,22.877071,1924900
2012-12-17,27.469999,31.950001,27.260000,28.510000,23.631348,337800
2012-12-24,29.639999,29.690001,27.799999,28.790001,23.863438,767700
2012-12-31,28.969999,32.400002,28.889999,31.680000,26.258896,728000
2013-01-07,31.379999,32.000000,31.270000,31.600000,26.192587,541500
2013-01-14,31.770000,32.070000,30.379999,31.450001,26.068254,567100
2013-01-21,31.309999,32.080002,29.799999,31.020000,25.711834,198600
2013-01-28,31.240000,35.000000,30.370001,33.959999,28.148743,449500
2013-02-04,34.000000,35.529999,33.070000,34.250000,28.419806,435000
2013-02-11,33.860001,35.320000,33.740002,34.000000,28.212357,280000
2013-02-18,34.259998,34.430000,33.090000,33.799999,28.046406,511700
2013-02-25,34.480000,34.599998,33.410000,33.630001,27.905350,291300
2013-03-04,33.529999,33.740002,32.060001,33.090000,27.457268,484200
2013-03-11,33.090000,33.310001,31.820000,32.189999,26.710466,678100
2013-03-18,31.840000,34.310001,31.840000,33.889999,28.121084,1145400
2013-03-25,33.889999,34.709999,33.580002,34.180000,28.361723,263000
2013-04-01,34.290001,35.500000,32.520000,32.570000,27.025784,325800
2013-04-08,33.049999,34.240002,32.750000,33.189999,27.540239,404100
2013-04-15,32.980000,34.330002,32.080002,34.220001,28.394909,373400
2013-04-22,34.470001,35.000000,34.380001,34.619999,28.726828,311500
2013-04-29,34.970001,40.009998,34.950001,39.990002,33.354378,740200
2013-05-06,39.799999,40.000000,38.470001,39.689999,33.104160,263600
2013-05-13,39.799999,40.549999,38.349998,38.919998,32.461937,218400
2013-05-20,38.830002,39.630001,37.770000,38.810001,32.370197,234500
2013-05-27,39.000000,39.209999,37.150002,37.419998,31.210831,268100
2013-06-03,36.910000,38.490002,35.150002,37.240002,31.060699,584800
2013-06-10,37.580002,39.630001,36.599998,39.090000,32.603725,290900
2013-06-17,39.349998,39.480000,37.660000,37.919998,31.627863,241900
2013-06-24,38.180000,42.959999,37.060001,41.169998,34.338589,202500
2013-07-01,41.650002,41.869999,39.509998,39.849998,33.237610,82800
2013-07-08,39.689999,44.000000,39.520000,41.500000,34.613831,340600
2013-07-15,41.660000,44.270000,41.000000,41.200001,34.363609,575600
2013-07-22,41.509998,42.130001,38.770000,39.750000,33.154205,258300
2013-07-29,40.599998,40.750000,38.619999,38.980000,32.511978,242400
2013-08-05,38.799999,41.189999,38.310001,40.720001,34.132843,525500
2013-08-12,40.580002,41.560001,39.410000,39.669998,33.252697,119800
2013-08-19,40.080002,40.270000,39.150002,39.500000,33.110207,130600
2013-08-26,39.689999,40.189999,38.529999,39.380001,33.009609,117100
2013-09-02,39.480000,39.750000,37.669998,38.279999,32.087559,240400
2013-09-09,38.779999,39.720001,36.299999,38.200001,32.020496,402700
2013-09-16,38.270000,38.630001,36.029999,37.049999,31.056536,674600
2013-09-23,36.740002,37.680000,35.869999,37.080002,31.081682,527500
2013-09-30,36.810001,38.209999,36.070000,36.520000,30.612267,357100
2013-10-07,36.360001,36.970001,35.279999,36.500000,30.595503,492400
2013-10-14,36.299999,38.910000,35.919998,38.230000,32.045647,422900
2013-10-21,38.439999,40.669998,37.799999,38.720001,32.456383,397500
