Date,Open,High,Low,Close,Adj Close,Volume
2005-08-15,24.900000,26.750000,24.889999,25.900000,7.715245,3961400
2005-08-22,26.049999,27.850000,25.930000,27.350000,8.147182,704200
2005-08-29,27.299999,27.309999,25.799999,26.150000,7.789717,562200
2005-09-05,26.400000,28.650000,26.200001,28.459999,8.477832,387800
2005-09-12,28.700001,29.500000,27.660000,28.360001,8.448045,319700
2005-09-19,28.200001,28.700001,26.760000,28.030001,8.349743,290000
2005-09-26,27.830000,32.750000,27.350000,32.509998,9.684274,776000
2005-10-03,32.500000,34.240002,31.000000,32.070000,9.553201,575500
2005-10-10,32.200001,33.099998,29.750000,31.959999,9.520431,229300
2005-10-17,32.110001,32.799999,30.400000,30.950001,9.219571,123900
2005-10-24,30.750000,32.490002,30.690001,31.790001,9.469794,99400
2005-10-31,31.650000,34.299999,31.650000,34.099998,10.157911,194200
2005-11-07,34.150002,34.150002,32.299999,32.299999,9.664848,176600
2005-11-14,32.400002,33.900002,31.750000,33.689999,10.080770,93600
2005-11-21,33.849998,33.849998,33.000000,33.590000,10.050846,34000
2005-11-28,33.599998,34.459999,33.400002,33.939999,10.155578,98300
2005-12-05,33.990002,33.990002,32.500000,32.830002,9.823438,72900
2005-12-12,32.799999,33.299999,32.349998,33.000000,9.874309,55000
2005-12-19,32.799999,33.160000,32.500000,32.599998,9.754618,39200
2005-12-26,32.599998,32.610001,30.400000,31.150000,9.320747,53100
2006-01-02,31.000000,32.500000,31.000000,32.040001,9.587052,111000
2006-01-09,32.250000,32.500000,32.000000,32.480000,9.718713,88300
2006-01-16,33.000000,33.299999,32.070000,32.070000,9.596030,45500
2006-01-23,32.299999,33.000000,32.200001,32.750000,9.799503,43600
2006-01-30,32.950001,32.950001,31.650000,32.000000,9.575084,71700
2006-02-06,31.799999,32.180000,31.250000,31.610001,9.562163,118900
2006-02-13,31.500000,33.330002,31.200001,33.299999,10.073400,259800
2006-02-20,33.500000,33.560001,33.299999,33.500000,10.133896,51100
2006-02-27,33.380001,33.599998,31.750000,33.400002,10.103646,290000
2006-03-06,33.400002,33.439999,33.000000,33.419998,10.109699,265700
