Date,Open,High,Low,Close,Adj Close,Volume
2015-06-22,57.167313,57.167313,55.770790,55.770790,50.533447,7900
2015-06-29,54.887829,64.989998,54.356247,64.989998,58.886894,4165600
2015-07-06,58.671951,59.825211,52.716461,55.320297,50.125259,14929000
2015-07-13,55.896927,57.374538,55.077034,55.635643,50.410992,6695800
2015-07-20,55.860889,56.698803,51.950626,53.076855,48.092499,7722000
2015-07-27,52.662403,57.437607,51.797459,56.815929,51.480438,10918200
2015-08-03,57.095234,58.329578,54.491394,56.365437,51.072254,9909400
2015-08-10,56.752861,57.662853,55.599602,56.969097,51.619232,7017400
2015-08-17,56.428509,57.284439,52.824577,53.166950,48.496784,6496300
2015-08-24,51.049644,54.437336,48.184521,54.293179,49.524086,10808700
2015-08-31,54.140011,54.266151,51.581223,51.671322,47.132530,7433300
2015-09-07,52.383099,54.112984,51.977657,52.932697,48.283108,4880100
2015-09-14,52.932697,56.752861,50.094604,50.184700,45.776493,9191200
2015-09-21,51.968647,51.968647,45.499596,46.806019,42.694588,10465700
2015-09-28,46.274441,50.500046,43.967926,47.761059,43.565742,10266800
2015-10-05,48.112442,52.004684,46.436615,51.869537,47.313335,12700500
2015-10-12,51.833500,52.121811,49.337780,50.265789,45.850468,7059500
2015-10-19,49.725201,50.210831,46.274441,48.085415,43.861603,8275800
2015-10-26,48.022343,49.481934,46.869087,48.436794,44.182121,6776400
2015-11-02,48.256599,49.409855,43.427338,48.346699,44.099937,9899600
2015-11-09,46.067215,48.734119,43.634563,43.742680,39.900333,7200700
2015-11-16,43.787727,45.679790,41.706459,45.148212,41.182404,9949800
2015-11-23,44.247231,47.409676,44.139111,45.418507,41.791866,4585200
2015-11-30,46.941166,46.941166,44.841877,45.427517,41.800159,6297400
2015-12-07,44.427425,45.427517,41.093792,41.228939,37.936836,9997600
2015-12-14,41.129833,41.382107,38.516983,39.724300,36.552334,19611300
2015-12-21,39.868458,41.544285,39.035049,41.003693,37.729572,8969700
2015-12-28,40.913597,41.765022,40.463104,41.102802,37.820774,4271400
2016-01-04,40.373005,41.179386,37.606991,37.778179,34.761616,10593700
2016-01-11,37.904316,38.021442,33.246239,33.381386,30.715902,17916300
2016-01-18,33.732769,34.399494,31.101902,34.003063,31.287943,9522100
2016-01-25,30.696459,31.903774,28.407965,31.786648,29.248507,23246700
2016-02-01,31.345167,31.768627,29.633301,30.092802,27.689911,16721900
2016-02-08,29.912605,30.083792,26.786198,27.957474,25.725090,14762000
2016-02-15,28.380936,29.876566,27.534012,28.434994,26.501904,10956100
2016-02-22,29.705379,30.717182,28.525093,30.236958,28.181364,9048100
2016-02-29,29.317957,34.237320,29.317957,33.120102,30.868504,14741800
2016-03-07,33.011982,33.507523,31.137939,33.300297,31.036446,11280200
2016-03-14,32.705650,35.949184,32.705650,35.525723,33.110584,18207600
2016-03-21,35.381565,36.622219,34.372467,34.714840,32.354832,8563200
2016-03-28,34.831966,35.570770,33.696728,35.318497,32.917446,9174300
2016-04-04,35.138302,35.489685,32.002884,33.507523,31.229586,8768900
2016-04-11,33.867916,35.318497,33.300297,34.795929,32.430408,7808100
2016-04-18,34.291378,36.913235,34.291378,36.706009,34.210629,10024500
