Date,Open,High,Low,Close,Adj Close,Volume
2006-11-06,20.219999,20.230000,20.219999,20.230000,13.952724,1200
2006-11-13,20.240000,20.260000,20.209999,20.209999,13.938931,6700
2006-11-20,20.290001,20.290001,20.230000,20.270000,13.980315,7900
2006-11-27,20.270000,20.430000,20.260000,20.430000,14.090663,3200
2006-12-04,20.440001,20.440001,20.379999,20.379999,14.056178,18000
2006-12-11,20.360001,20.389999,20.290001,20.290001,13.994097,28900
2006-12-18,20.350000,20.350000,20.219999,20.219999,13.945827,8200
2006-12-25,20.180000,20.180000,20.040001,20.120001,13.949151,3500
2007-01-01,20.120001,20.180000,20.120001,20.180000,13.990744,4700
2007-01-08,20.190001,20.190001,20.090000,20.100000,13.935279,7700
2007-01-15,20.090000,20.120001,20.049999,20.100000,13.935279,23800
2007-01-22,20.110001,20.110001,20.049999,20.049999,13.900611,11500
2007-01-29,20.049999,20.080000,19.920000,20.040001,13.893678,13400
2007-02-05,20.040001,20.150000,20.010000,20.150000,13.969950,8200
2007-02-12,20.080000,20.200001,20.080000,20.110001,13.942215,2300
2007-02-19,20.209999,20.209999,20.120001,20.120001,13.949151,2700
2007-02-26,20.260000,20.379999,20.219999,20.360001,14.115540,6400
2007-03-05,20.370001,20.389999,20.309999,20.309999,14.080870,7800
2007-03-12,20.320000,20.370001,20.320000,20.370001,14.122470,4500
2007-03-19,20.309999,20.350000,20.209999,20.209999,14.011546,22100
2007-03-26,20.250000,20.250000,19.950001,20.049999,13.900611,10700
2007-04-02,20.049999,20.059999,19.950001,20.059999,14.046281,19300
2007-04-09,19.980000,20.030001,19.930000,19.990000,13.997261,10100
2007-04-16,19.950001,20.020000,19.920000,20.000000,14.004268,8200
2007-04-23,20.000000,20.049999,19.940001,19.990000,13.997261,16900
2007-04-30,20.000000,20.090000,20.000000,20.000000,14.004268,7800
2007-05-07,20.000000,20.070000,19.969999,19.990000,13.997261,11500
2007-05-14,20.070000,20.070000,19.870001,19.870001,13.913244,24200
2007-05-21,19.959999,19.959999,19.840000,19.840000,13.892230,2800
2007-05-28,19.840000,19.840000,19.750000,19.750000,13.829218,6000
2007-06-04,19.690001,19.809999,19.549999,19.549999,13.689166,7300
2007-06-11,19.549999,19.600000,19.410000,19.600000,13.724185,13900
2007-06-18,19.629999,19.629999,19.420000,19.420000,13.598146,9900
2007-06-25,19.600000,19.600000,19.370001,19.469999,13.633153,11600
2007-07-02,19.469999,19.480000,19.270000,19.280001,13.655478,3200
2007-07-09,19.280001,19.450001,19.280001,19.360001,13.712136,16900
2007-07-16,19.360001,19.459999,19.340000,19.459999,13.782972,17000
2007-07-23,19.459999,19.559999,19.459999,19.459999,13.782972,13200
2007-07-30,19.549999,19.620001,19.490000,19.620001,13.896294,17400
2007-08-06,19.610001,19.610001,19.459999,19.549999,13.846707,5300
2007-08-13,19.549999,19.719999,19.549999,19.670000,13.931703,47600
2007-08-20,19.670000,19.730000,19.639999,19.680000,13.938789,34000
2007-08-27,19.760000,19.830000,19.700001,19.700001,13.952958,27100
2007-09-03,19.690001,19.910000,19.690001,19.870001,14.073364,36200
2007-09-10,19.889999,19.900000,19.680000,19.780001,14.009609,41600
2007-09-17,19.799999,19.860001,19.690001,19.690001,13.945863,20500
2007-09-24,19.680000,19.770000,19.440001,19.639999,13.910453,13400
2007-10-01,19.690001,19.700001,19.500000,19.580000,14.016129,60000
2007-10-08,19.440001,19.549999,19.410000,19.510000,13.966024,9400
2007-10-15,19.510000,19.730000,19.500000,19.730000,14.123503,17500
2007-10-22,19.750000,19.790001,19.680000,19.790001,14.166451,14600
2007-10-29,19.790001,19.809999,19.700001,19.780001,14.159301,15900
2007-11-05,19.830000,19.879999,19.770000,19.879999,14.230886,5400
2007-11-12,19.879999,19.990000,19.850000,19.980000,14.302469,12100
2007-11-19,20.000000,20.080000,19.969999,19.980000,14.302469,21700
2007-11-26,20.000000,20.139999,20.000000,20.110001,14.395535,81200
2007-12-03,20.180000,20.270000,20.000000,20.000000,14.316783,21800
2007-12-10,20.120001,20.200001,19.900000,19.990000,14.309624,35100
2007-12-17,20.040001,20.270000,20.030001,20.150000,14.424162,60900
2007-12-24,19.920000,20.010000,19.850000,20.010000,14.323941,12800
2007-12-31,20.010000,20.150000,20.000000,20.100000,14.536259,19200
2008-01-07,20.129999,20.260000,20.110001,20.250000,14.644732,46800
2008-01-14,20.240000,20.320000,20.160000,20.309999,14.688132,113900
2008-01-21,20.320000,20.320000,20.040001,20.209999,14.615805,87800
2008-01-28,20.200001,20.240000,20.040001,20.230000,14.630276,62400
2008-02-04,20.170000,20.330000,20.139999,20.240000,14.637505,43800
2008-02-11,20.230000,20.270000,20.090000,20.230000,14.630276,68600
2008-02-18,20.200001,20.219999,20.059999,20.180000,14.594103,47700
2008-02-25,20.190001,20.459999,20.100000,20.350000,14.717057,57400
2008-03-03,20.450001,20.500000,20.389999,20.490000,14.818306,36000
2008-03-10,20.480000,20.600000,20.400000,20.510000,14.832763,30100
2008-03-17,20.639999,20.690001,20.549999,20.670000,14.948481,49900
2008-03-24,20.610001,20.629999,20.350000,20.459999,14.796611,33000
2008-03-31,20.469999,20.490000,20.200001,20.360001,14.873527,34700
2008-04-07,20.299999,20.340000,20.200001,20.340000,14.858925,24700
2008-04-14,20.320000,20.360001,20.040001,20.120001,14.698198,38400
2008-04-21,20.090000,20.240000,20.040001,20.049999,14.647065,47200
2008-04-28,20.139999,20.410000,20.059999,20.270000,14.807788,71200
2008-05-05,20.290001,20.379999,20.170000,20.350000,14.866224,14800
2008-05-12,20.420000,20.440001,20.320000,20.440001,14.931963,49400
2008-05-19,20.440001,20.459999,20.209999,20.340000,14.858925,21700
2008-05-26,20.330000,20.330000,20.170000,20.260000,14.800472,20000
2008-06-02,20.299999,20.379999,20.240000,20.320000,14.844305,34700
2008-06-09,20.290001,20.290001,20.020000,20.030001,14.632453,48000
2008-06-16,20.120001,20.209999,20.040001,20.200001,14.756654,44900
2008-06-23,20.170000,20.230000,20.010000,20.040001,14.639759,48300
2008-06-30,20.100000,20.160000,20.000000,20.070000,14.819647,68500
2008-07-07,20.139999,20.230000,20.049999,20.180000,14.900863,64100
2008-07-14,20.110001,20.250000,20.049999,20.120001,14.856554,59100
2008-07-21,20.070000,20.129999,19.969999,20.080000,14.827029,32400
2008-07-28,20.160000,20.240000,20.070000,20.240000,14.945168,21600
2008-08-04,20.280001,20.370001,20.200001,20.320000,15.004238,20100
