Date,Open,High,Low,Close,Adj Close,Volume
2009-10-26,22.350000,22.580000,22.059999,22.059999,18.833929,14200
2009-11-02,22.209999,22.700001,21.920000,22.700001,19.380337,27000
2009-11-09,22.610001,22.870001,22.580000,22.709999,19.388872,31000
2009-11-16,22.820000,23.070000,22.790001,22.940001,19.585239,32900
2009-11-23,22.969999,23.070000,22.049999,22.860001,19.516933,50000
2009-11-30,22.670000,23.170000,22.570000,23.059999,19.687689,46000
2009-12-07,22.990000,23.020000,22.500000,22.910000,19.559624,123000
2009-12-14,23.110001,23.139999,22.730000,22.770000,19.440100,120000
2009-12-21,22.740000,22.969999,22.730000,22.750000,19.423027,78400
2009-12-28,22.770000,22.850000,22.660000,22.700001,19.577650,10300
2010-01-04,22.620001,22.900000,22.620001,22.900000,19.750141,103100
2010-01-11,22.990000,23.040001,22.670000,22.690001,19.569029,54900
2010-01-18,22.760000,23.040001,22.160000,22.240000,19.180923,88900
2010-01-25,22.600000,22.600000,21.950001,21.950001,18.930809,44400
2010-02-01,22.209999,22.420000,21.440001,21.530001,18.568581,79200
2010-02-08,21.549999,21.950001,21.370001,21.620001,18.646202,41600
2010-02-15,21.510000,22.010000,21.500000,21.969999,18.948061,19900
2010-02-22,22.000000,22.129999,21.770000,22.030001,18.999811,24600
2010-03-01,22.020000,22.400000,21.940001,22.400000,19.318916,62300
2010-03-08,22.370001,22.440001,22.170000,22.410000,19.327536,20300
2010-03-15,22.280001,22.540001,22.280001,22.410000,19.327536,31000
2010-03-22,22.370001,22.799999,22.350000,22.670000,19.551777,25600
2010-03-29,22.730000,22.760000,22.530001,22.719999,19.594896,18900
2010-04-05,22.660000,22.780001,22.500000,22.780001,19.646645,26300
2010-04-12,22.889999,23.120001,22.750000,22.950001,19.793261,24300
2010-04-19,22.889999,22.940001,22.440001,22.790001,19.655270,23800
2010-04-26,22.870001,22.900000,22.400000,22.549999,19.448278,53600
2010-05-03,22.530001,22.650000,19.500000,21.240000,18.318472,36500
2010-05-10,21.969999,22.070000,21.379999,21.420000,18.473715,24800
2010-05-17,21.549999,21.570000,20.780001,20.950001,18.068361,38700
2010-05-24,20.799999,21.260000,20.740000,21.230000,18.309843,80500
2010-05-31,21.110001,21.200001,20.760000,20.790001,17.930370,17300
2010-06-07,20.770000,20.790001,20.299999,20.790001,17.930370,21700
2010-06-14,20.969999,21.459999,20.930000,21.260000,18.335722,94800
2010-06-21,21.450001,21.450001,20.690001,20.709999,17.861374,34200
2010-06-28,20.740000,20.740000,20.230000,20.340000,17.705988,15700
2010-07-05,20.400000,20.980000,20.350000,20.790001,18.097717,22100
2010-07-12,20.790001,21.360001,20.790001,21.100000,18.367573,33300
2010-07-19,21.190001,21.500000,20.950001,21.450001,18.672249,6900
2010-07-26,21.450001,21.780001,21.350000,21.400000,18.628721,58300
2010-08-02,21.709999,21.889999,21.600000,21.889999,19.055265,17600
2010-08-09,21.959999,22.040001,21.200001,21.260000,18.506853,33800
2010-08-16,21.360001,21.480000,21.180000,21.200001,18.454620,7600
2010-08-23,21.309999,21.350000,20.950001,20.950001,18.236996,12600
2010-08-30,21.240000,21.879999,21.200001,21.820000,18.994329,32000
2010-09-06,21.760000,21.860001,21.639999,21.850000,19.020447,14700
2010-09-13,21.920000,22.150000,21.920000,22.090000,19.229366,12100
2010-09-20,22.139999,22.520000,22.120001,22.520000,19.603683,21900
2010-09-27,22.490000,22.740000,22.410000,22.440001,19.534040,35600
2010-10-04,22.340000,22.750000,22.200001,22.750000,19.803902,27700
2010-10-11,22.610001,22.940001,22.610001,22.940001,19.969294,22500
2010-10-18,23.070000,23.260000,22.969999,23.260000,20.247854,39900
2010-10-25,23.299999,23.320000,22.990000,23.070000,20.082457,30100
2010-11-01,23.090000,23.540001,22.950001,23.440001,20.404541,27000
2010-11-08,23.420000,23.490000,23.070000,23.070000,20.082457,23800
2010-11-15,23.150000,23.400000,22.910000,23.330000,20.308788,12700
2010-11-22,23.219999,23.219999,22.820000,22.830000,19.873541,11500
2010-11-29,22.760000,23.260000,22.570000,23.260000,20.247854,24400
2010-12-06,23.160000,23.559999,23.160000,23.559999,20.509005,10100
2010-12-13,23.549999,23.730000,23.410000,23.629999,20.569939,22600
2010-12-20,23.629999,24.010000,23.570000,23.570000,20.517710,22200
2010-12-27,23.709999,23.709999,23.480000,23.559999,20.660732,12500
2011-01-03,23.590000,23.709999,23.330000,23.340000,20.467804,43600
2011-01-10,23.350000,23.860001,23.240000,23.860001,20.923809,59600
2011-01-17,23.940001,24.059999,23.799999,23.889999,20.950121,52500
2011-01-24,23.910000,24.219999,23.860001,23.900000,20.958891,31100
2011-01-31,23.980000,24.360001,23.950001,24.280001,21.292128,23700
2011-02-07,24.340000,24.670000,24.340000,24.480000,21.467516,42300
2011-02-14,24.480000,24.780001,24.459999,24.780001,21.730597,19100
2011-02-21,24.430000,24.510000,23.969999,24.240000,21.257053,31200
2011-02-28,24.309999,24.400000,23.940001,24.160000,21.186895,30600
2011-03-07,24.230000,24.270000,23.530001,23.639999,20.730886,44700
2011-03-14,23.340000,23.530001,22.850000,23.500000,20.608112,51400
2011-03-21,23.530001,24.010000,23.530001,24.010000,21.055351,20200
2011-03-28,23.940001,24.080000,23.750000,23.969999,21.020273,20400
2011-04-04,24.100000,24.100000,23.799999,23.910000,20.967655,9000
2011-04-11,23.950001,23.950001,23.639999,23.790001,20.862427,44300
2011-04-18,23.450001,23.950001,23.350000,23.950001,21.002737,21400
2011-04-25,23.980000,24.510000,23.969999,24.340000,21.344742,17000
2011-05-02,24.540001,24.540001,24.100000,24.209999,21.230742,74700
2011-05-09,24.240000,24.309999,24.000000,24.049999,21.090431,14400
2011-05-16,24.120001,24.260000,24.000000,24.180000,21.204433,14100
2011-05-23,23.980000,24.240000,23.770000,24.240000,21.257053,7800
2011-05-30,24.379999,24.379999,23.969999,24.000000,21.046583,17200
2011-06-06,24.010000,24.010000,23.379999,23.379999,20.502876,11100
2011-06-13,23.440001,23.549999,23.180000,23.400000,20.520418,100800
2011-06-20,23.190001,23.559999,23.100000,23.129999,20.283646,102600
2011-06-27,23.219999,23.690001,23.200001,23.690001,20.983574,27600
2011-07-04,23.969999,23.969999,23.690001,23.719999,21.010143,75300
2011-07-11,23.520000,23.520000,22.969999,22.969999,20.345827,86900
2011-07-18,22.950001,23.559999,22.850000,23.559999,20.868427,52400
2011-07-25,23.270000,23.360001,22.820000,22.870001,20.257252,107400
2011-08-01,22.660000,22.700001,21.379999,21.500000,19.043766,38400
2011-08-08,21.219999,21.610001,20.450001,21.610001,19.141195,105000
2011-08-15,21.680000,21.820000,20.500000,20.500000,18.158009,37100
2011-08-22,21.000000,21.320000,20.620001,20.900000,18.512310,85600
2011-08-29,21.410000,21.850000,21.290001,21.290001,18.857763,80700
2011-09-05,20.690001,21.430000,20.639999,20.639999,18.282017,50900
2011-09-12,20.459999,21.379999,20.410000,21.260000,18.831186,16600
2011-09-19,21.049999,21.480000,20.480000,20.770000,18.397161,107100
2011-09-26,20.969999,21.700001,20.969999,21.370001,18.928617,16700
2011-10-03,21.219999,21.600000,20.709999,21.530001,19.070339,97500
2011-10-10,21.990000,22.250000,21.990000,22.160000,19.628366,18100
2011-10-17,22.040001,22.250000,21.910000,22.230000,19.690371,61600
2011-10-24,22.469999,23.070000,22.309999,22.990000,20.363546,32400
2011-10-31,22.709999,22.709999,22.040001,22.610001,20.026955,21000
2011-11-07,22.570000,22.650000,22.250000,22.250000,19.708086,10000
2011-11-14,22.580000,22.580000,22.000000,22.040001,19.522076,12300
2011-11-21,21.809999,21.809999,21.209999,21.209999,18.786900,13700
2011-11-28,21.690001,22.570000,21.680000,22.450001,19.885233,46700
2011-12-05,22.680000,22.680000,22.270000,22.500000,19.929522,25200
2011-12-12,22.299999,22.450001,22.049999,22.059999,19.539791,22100
2011-12-19,22.059999,22.320000,21.820000,22.129999,19.601793,64900
2011-12-26,22.129999,22.180000,22.020000,22.150000,19.816151,11300
2012-01-02,22.389999,22.490000,22.309999,22.469999,20.102432,22600
2012-01-09,22.480000,22.680000,22.459999,22.549999,20.174006,36000
2012-01-16,22.610001,23.040001,22.350000,23.020000,20.594482,31900
2012-01-23,22.980000,23.120001,22.879999,22.969999,20.549746,35100
2012-01-30,22.770000,23.260000,22.730000,23.260000,20.809196,79300
2012-02-06,23.250000,23.459999,23.250000,23.290001,20.836035,20000
2012-02-13,23.450001,23.620001,23.290001,23.590000,21.104424,12100
2012-02-20,23.709999,23.879999,23.600000,23.870001,21.354921,11500
2012-02-27,23.760000,23.900000,23.570000,23.620001,21.131266,45100
2012-03-05,23.670000,23.670000,23.209999,23.520000,21.041800,20200
