Date,Open,High,Low,Close,Adj Close,Volume
2012-11-26,14.960000,14.960000,14.510000,14.550000,14.169497,3000
2012-12-03,14.550000,14.550000,14.550000,14.550000,14.169497,0
2012-12-10,14.550000,14.550000,14.250000,14.250000,13.877341,3500
2012-12-17,14.250000,14.250000,13.880000,13.880000,13.517018,23600
2012-12-24,13.880000,13.880000,13.880000,13.880000,13.517018,0
2012-12-31,13.880000,14.580000,13.880000,14.580000,14.200758,100
2013-01-07,14.580000,14.580000,14.060000,14.170000,13.801423,2700
2013-01-14,14.170000,14.410000,14.170000,14.310000,13.937781,4600
2013-01-21,14.330000,14.330000,13.700000,13.700000,13.343648,4900
2013-01-28,13.220000,13.370000,13.200000,13.370000,13.022231,3500
2013-02-04,13.370000,13.370000,13.200000,13.200000,12.856653,1300
2013-02-11,13.200000,13.200000,12.240000,12.240000,11.921624,3100
2013-02-18,12.210000,12.210000,11.550000,11.720000,11.415151,7200
2013-02-25,11.720000,12.040000,11.620000,11.620000,11.317752,7200
2013-03-04,11.380000,11.600000,11.120000,11.600000,11.298272,38700
2013-03-11,11.600000,11.700000,11.530000,11.530000,11.230093,700
2013-03-18,11.920000,11.960000,11.920000,11.960000,11.648908,700
2013-03-25,11.880000,11.880000,11.630000,11.650000,11.346970,1800
2013-04-01,11.600000,11.600000,10.230000,10.780000,10.499600,9100
2013-04-08,10.780000,10.930000,9.900000,9.900000,9.642489,4800
2013-04-15,9.050000,9.050000,8.250000,8.480000,8.259426,48600
2013-04-22,8.790000,9.470000,8.650000,9.160000,8.921738,4000
2013-04-29,9.190000,9.190000,8.870000,9.050000,8.814600,2100
2013-05-06,9.050000,9.110000,8.610000,8.790000,8.561361,97900
2013-05-13,8.800000,8.800000,8.000000,8.000000,7.791911,8600
2013-05-20,8.260000,8.650000,8.260000,8.440000,8.220466,3000
2013-05-27,8.460000,9.210000,8.430000,9.210000,8.970437,6400
2013-06-03,9.210000,9.210000,9.210000,9.210000,8.970437,0
2013-06-10,9.030000,9.030000,8.600000,8.630000,8.405523,900
2013-06-17,8.500000,8.500000,7.370000,7.490000,7.295177,12500
2013-06-24,7.260000,7.410000,6.820000,7.360000,7.168559,49600
2013-07-01,7.530000,7.530000,7.170000,7.170000,6.983500,16600
2013-07-08,7.200000,7.720000,7.200000,7.720000,7.519194,22500
2013-07-15,7.620000,7.870000,7.620000,7.870000,7.665293,8500
2013-07-22,8.420000,8.870000,8.400000,8.600000,8.376305,12700
2013-07-29,8.540000,8.540000,8.100000,8.100000,7.889312,5800
2013-08-05,8.100000,8.100000,7.450000,7.710000,7.509455,1700
2013-08-12,8.500000,9.630000,8.500000,9.630000,9.379514,4300
2013-08-19,9.460000,9.460000,9.400000,9.400000,9.155495,5200
2013-08-26,9.400000,10.130000,9.020000,9.020000,8.785380,6100
2013-09-02,9.020000,9.020000,8.840000,8.940000,8.707461,1800
2013-09-09,8.970000,8.970000,8.050000,8.050000,7.840611,1900
2013-09-16,8.340000,8.410000,8.340000,8.340000,8.123067,3700
2013-09-23,8.190000,8.250000,8.150000,8.150000,7.938009,2800
2013-09-30,8.150000,8.150000,7.880000,7.880000,7.675033,1200
2013-10-07,7.880000,7.970000,7.410000,7.410000,7.217257,1600
2013-10-14,7.320000,7.710000,7.320000,7.710000,7.509455,600
2013-10-21,7.710000,8.320000,7.710000,8.300000,8.084108,24000
2013-10-28,8.480000,8.660000,8.430000,8.430000,8.210727,9900
2013-11-04,7.810000,7.810000,7.400000,7.400000,7.207518,2700
2013-11-11,7.400000,7.610000,7.400000,7.570000,7.373096,22600
2013-11-18,7.500000,7.500000,7.010000,7.010000,6.827663,6100
2013-11-25,6.990000,7.120000,6.800000,7.120000,6.934801,6600
2013-12-02,7.010000,7.010000,6.660000,6.660000,6.486766,76300
2013-12-09,6.660000,7.030000,6.650000,6.840000,6.662085,79400
2013-12-16,6.840000,6.930000,6.630000,6.660000,6.486766,218500
2013-12-23,6.610000,6.820000,6.550000,6.820000,6.642605,70300
2013-12-30,6.800000,7.180000,6.690000,7.090000,6.979949,38000
2014-01-06,7.140000,7.230000,7.000000,7.230000,7.117776,44800
2014-01-13,7.320000,8.050000,7.320000,8.050000,7.925048,10900
2014-01-20,8.140000,8.240000,8.000000,8.020000,7.895514,10600
2014-01-27,7.980000,8.110000,7.880000,8.100000,7.974274,10000
2014-02-03,8.140000,8.200000,7.960000,8.200000,8.072720,25400
2014-02-10,8.370000,9.160000,8.370000,9.150000,9.007974,13900
2014-02-17,9.260000,9.270000,8.950000,9.270000,9.126112,13000
2014-02-24,9.480000,9.480000,9.150000,9.150000,9.007974,6800
2014-03-03,9.340000,9.340000,9.110000,9.250000,9.106422,10000
2014-03-10,9.310000,10.220000,9.310000,10.000000,9.844781,17700
2014-03-17,10.000000,10.000000,9.200000,9.330000,9.185181,7600
2014-03-24,9.080000,9.080000,8.420000,8.470000,8.338530,13200
2014-03-31,8.510000,8.620000,8.420000,8.620000,8.486200,2200
2014-04-07,8.750000,9.030000,8.750000,8.750000,8.614182,106100
2014-04-14,8.840000,8.900000,8.500000,8.550000,8.417288,17500
2014-04-21,8.440000,8.660000,8.330000,8.660000,8.525580,5100
2014-04-28,8.730000,8.810000,8.730000,8.810000,8.673252,400
2014-05-05,8.810000,8.850000,8.600000,8.600000,8.466512,2500
2014-05-12,8.600000,8.750000,8.500000,8.500000,8.368063,4600
2014-05-19,8.660000,8.660000,8.500000,8.500000,8.368063,0
2014-05-26,8.570000,8.570000,7.950000,7.950000,7.826601,5900
2014-06-02,8.110000,8.300000,8.110000,8.300000,8.171167,2400
2014-06-09,8.300000,9.050000,8.300000,8.980000,8.840612,6600
2014-06-16,9.120000,9.650000,8.980000,9.650000,9.500214,10600
2014-06-23,9.650000,9.770000,9.390000,9.460000,9.313163,7600
2014-06-30,9.620000,9.730000,9.620000,9.670000,9.519902,4600
2014-07-07,9.630000,10.010000,9.620000,10.010000,9.854626,6400
2014-07-14,9.740000,9.820000,9.510000,9.740000,9.588816,10700
2014-07-21,9.730000,9.740000,9.480000,9.480000,9.332850,4000
2014-07-28,9.730000,9.800000,9.580000,9.580000,9.431300,7700
2014-08-04,9.580000,9.770000,9.580000,9.770000,9.618351,3700
2014-08-11,9.770000,9.910000,9.720000,9.910000,9.756177,2800
2014-08-18,9.680000,9.800000,9.550000,9.550000,9.401766,12700
2014-08-25,9.550000,9.820000,9.500000,9.820000,9.667574,10700
2014-09-01,9.610000,9.610000,9.050000,9.080000,8.939061,8100
2014-09-08,9.120000,9.120000,8.730000,8.860000,8.722475,8400
2014-09-15,8.830000,8.850000,8.460000,8.460000,8.328684,3900
2014-09-22,8.210000,8.250000,8.060000,8.230000,8.102253,5300
2014-09-29,8.170000,8.170000,7.800000,7.800000,7.678929,4400
2014-10-06,7.740000,8.240000,7.740000,7.950000,7.826601,2100
2014-10-13,7.950000,7.950000,7.950000,7.950000,7.826601,0
2014-10-20,7.960000,8.160000,7.670000,7.670000,7.550947,7800
2014-10-27,7.670000,7.670000,6.440000,6.440000,6.340039,15800
2014-11-03,6.500000,6.860000,6.120000,6.860000,6.753520,41600
2014-11-10,6.810000,7.030000,6.590000,6.790000,6.684606,18400
2014-11-17,7.130000,7.790000,7.110000,7.560000,7.442655,16000
2014-11-24,7.590000,7.790000,7.040000,7.040000,6.930726,9400
2014-12-01,7.120000,7.540000,7.120000,7.140000,7.029173,4100
2014-12-08,7.240000,7.660000,7.000000,7.230000,7.117776,8600
2014-12-15,7.170000,7.360000,6.600000,7.360000,7.245759,70800
2014-12-22,7.270000,7.270000,6.720000,6.890000,6.783053,35000
2014-12-29,7.130000,7.300000,7.040000,7.130000,7.044272,8400
2015-01-05,7.750000,8.500000,7.730000,8.350000,8.249604,160500
2015-01-12,8.530000,9.200000,8.280000,9.070000,8.960947,89400
2015-01-19,9.070000,9.600000,9.040000,9.040000,8.931308,60700
2015-01-26,8.910000,9.560000,8.860000,9.440000,9.326499,35300
2015-02-02,9.280000,9.410000,8.800000,8.930000,8.822630,29400
2015-02-09,8.870000,8.870000,8.600000,8.650000,8.545996,19100
2015-02-16,8.470000,8.600000,8.250000,8.360000,8.259483,284900
2015-02-23,8.420000,8.670000,8.350000,8.670000,8.565757,12500
2015-03-02,8.680000,8.680000,7.680000,7.690000,7.597539,25100
2015-03-09,7.620000,7.620000,7.150000,7.300000,7.212229,22900
2015-03-16,7.510000,8.010000,7.410000,7.970000,7.874173,10500
2015-03-23,8.030000,8.070000,7.760000,7.760000,7.666698,8600
2015-03-30,7.720000,7.850000,7.600000,7.830000,7.735856,5800
2015-04-06,7.830000,8.020000,7.710000,7.710000,7.617299,0
2015-04-13,7.920000,7.930000,7.820000,7.930000,7.834653,5600
2015-04-20,7.890000,7.900000,7.690000,7.690000,7.597539,1500
2015-04-27,7.690000,8.090000,7.690000,7.850000,7.755616,300
2015-05-04,7.970000,8.000000,7.880000,7.900000,7.805014,8700
2015-05-11,7.900000,8.400000,7.900000,8.280000,8.180446,9900
2015-05-18,8.280000,8.280000,8.070000,8.100000,8.002611,3700
2015-05-25,8.120000,8.120000,7.870000,8.020000,7.923572,3200
2015-06-01,8.080000,8.120000,7.800000,7.800000,7.706217,4700
2015-06-08,7.810000,7.880000,7.690000,7.690000,7.597539,15000
2015-06-15,7.700000,7.850000,7.520000,7.850000,7.755616,1000
2015-06-22,7.850000,7.850000,7.530000,7.530000,7.439463,1600
2015-06-29,7.550000,7.550000,7.400000,7.430000,7.340665,4400
2015-07-06,7.290000,7.580000,7.190000,7.220000,7.133190,19200
2015-07-13,7.100000,7.240000,6.730000,6.740000,6.658961,172600
2015-07-20,6.450000,6.450000,5.800000,6.120000,6.046416,40100
2015-07-27,6.230000,6.320000,6.000000,6.090000,6.016777,12900
2015-08-03,6.250000,6.250000,5.980000,6.210000,6.135334,8300
2015-08-10,6.400000,6.970000,6.380000,6.800000,6.718241,17100
2015-08-17,6.860000,7.490000,6.790000,7.180000,7.093671,32800
2015-08-24,7.040000,7.150000,6.100000,6.520000,6.441607,49600
2015-08-31,6.580000,6.580000,6.400000,6.560000,6.481126,14700
2015-09-07,6.330000,6.350000,6.000000,6.170000,6.095815,4500
2015-09-14,6.170000,6.740000,6.150000,6.740000,6.658961,4200
2015-09-21,6.740000,6.740000,6.270000,6.610000,6.530525,9700
2015-09-28,6.300000,6.600000,6.300000,6.600000,6.520645,3000
2015-10-05,6.900000,7.350000,6.900000,7.330000,7.241868,2800
2015-10-12,7.330000,7.650000,7.330000,7.440000,7.350545,3000
2015-10-19,7.310000,7.400000,7.090000,7.350000,7.261627,6100
2015-10-26,7.610000,7.610000,6.890000,6.890000,6.807158,4100
2015-11-02,6.680000,6.880000,6.400000,6.400000,6.323050,20300
