DATE,Unemployment Rate US,Unemployment Rate Canada,Interest rates us,Interest rates canada,Crude Oil (price per barrel. WTI) ,S&P 500,CPI US,CPI Canada,Long Term Interest Rates US,Long Term Interest Rates Canada,Exchange Rate,
1999-01-01,4.3,7.9,4.5,5,12.52,1279.640015,164.7,,4.72,4.9465,,
1999-02-01,4.4,7.9,4.5,5,12.01,1238.329956,164.7,,5,5.124,,
1999-03-01,4.2,7.9,4.5,4.75,14.68,1286.369995,164.8,,5.23,5.220434783,,
1999-04-01,4.3,8.2,4.5,4.75,17.31,1335.180054,165.9,,5.18,5.02952381,,
1999-05-01,4.2,7.9,4.5,4.5,17.72,1301.839966,166.0,,5.54,5.3595,,
1999-06-01,4.3,7.6,4.5,4.5,17.92,1372.709961,166.0,,5.9,5.580909091,,
1999-07-01,4.3,7.6,4.5,4.5,20.1,1328.719971,166.7,,5.79,5.490952381,,
1999-08-01,4.2,7.4,4.56,4.5,21.28,1320.410034,167.1,,5.94,5.755714286,,
1999-09-01,4.2,7.5,4.75,4.5,23.8,1282.709961,167.8,,5.92,5.721428571,,
1999-10-01,4.1,7.2,4.75,4.5,22.69,1362.930054,168.1,,6.11,6.0895,,
1999-11-01,4.1,6.9,4.86,4.75,25,1388.910034,168.4,,6.03,6.034761905,,
1999-12-01,4,6.8,5,4.75,26.1,1469.25,168.8,,6.28,6.14,,
2000-01-01,4,6.8,5,4.75,27.26,1394.459961,169.3,93.5,6.66,6.4915,,
2000-02-01,4.1,6.9,5.24,5,29.37,1366.420044,170.0,94.1,6.52,6.338571429,,
2000-03-01,4,6.9,5.34,5.25,29.84,1498.579956,171.0,94.8,6.26,6.02826087,,
2000-04-01,3.8,6.7,5.5,5.25,25.72,1452.430054,170.9,94.5,5.99,5.924210526,,
2000-05-01,4,6.6,5.71,5.75,28.79,1420.599976,171.2,94.9,6.44,6.215,,
2000-06-01,4,6.7,6,5.75,31.82,1454.599976,172.2,95.5,6.1,5.895454545,,
2000-07-01,4,6.8,6,5.75,29.7,1430.829956,172.7,95.8,6.05,5.8635,,
2000-08-01,4.1,7,6,5.75,31.26,1517.680054,172.7,95.7,5.83,5.766363636,,
2000-09-01,3.9,6.9,6,5.75,33.88,1436.51001,173.6,96.1,5.8,5.7295,,
2000-10-01,3.9,7,6,5.75,33.11,1429.400024,173.9,96.3,5.74,5.723333333,,
2000-11-01,3.9,6.9,6,5.75,34.42,1314.949951,174.2,96.6,5.72,5.727142857,,
2000-12-01,3.9,6.8,6,5.75,28.44,1320.280029,174.6,96.7,5.24,5.402105263,,
2001-01-01,4.2,6.9,5.52,5.5,29.59,1366.01001,175.6,96.3,5.16,5.418636364,,
2001-02-01,4.2,7,5,5.5,29.61,1239.939941,176.0,96.8,5.1,5.43,,
2001-03-01,4.3,7.1,4.81,5,27.25,1160.329956,176.1,97.1,4.89,5.301363636,,
2001-04-01,4.4,7.1,4.28,4.75,27.49,1249.459961,176.4,97.8,5.14,5.5915,,
2001-05-01,4.3,7,3.73,4.5,28.63,1255.819946,177.3,98.6,5.39,5.851363636,,
2001-06-01,4.5,7.2,3.47,4.5,27.6,1224.380005,177.7,98.7,5.28,5.718095238,,
2001-07-01,4.6,7.1,3.25,4.25,26.43,1211.22998,177.4,98.4,5.24,5.80047619,,
2001-08-01,4.9,7.2,3.16,4,27.37,1133.579956,177.4,98.4,4.97,5.530909091,,
2001-09-01,5,7.2,2.77,3.5,26.2,1040.939941,178.1,98.6,4.73,5.302631579,,
2001-10-01,5.3,7.3,2.02,2.75,22.17,1059.780029,177.6,98.1,4.57,5.232727273,,
2001-11-01,5.5,7.5,1.58,2.25,19.64,1139.449951,177.5,97.2,4.65,5.177142857,,
2001-12-01,5.7,8.1,1.33,2.25,19.39,1148.079956,177.4,97.4,5.09,5.408421053,,
2002-01-01,5.7,8,1.25,2,19.72,1130.199951,177.7,97.6,5.04,5.343636364,1.5863,7648.500000
2002-02-01,5.7,7.9,1.25,2,20.72,1106.72998,178.0,98.2,4.91,5.321,1.6015,7637.500000
2002-03-01,5.7,7.9,1.25,2,24.53,1147.390015,178.5,98.9,5.28,5.667,1.5955,7851.500000
2002-04-01,5.9,7.7,1.25,2.25,26.18,1076.920044,179.3,99.5,5.21,5.658636364,1.5678,7663.399902
2002-05-01,5.8,7.7,1.25,2.25,27.04,1067.140015,179.5,99.7,5.16,5.595909091,1.533,7656.100098
